"sourceId","english","arabic","field","before","after","confidence","applied","reason"
"14:1","YOU","انتي","allowedForEnToAr","false","","medium","false","انتي could be colloquial writing or a misspelling of أنتِ. Register and written form remain uncertain; do not approve or rewrite."
"14:1","YOU","انتي","allowedForArToEn","false","","medium","false","انتي could be colloquial writing or a misspelling of أنتِ. Register and written form remain uncertain; do not approve or rewrite."
"33:0","US","نحن","allowedForEnToAr","false","","medium","false","نحن normally represents a subject pronoun, but English US can occur in constructions translated with Arabic subject forms. Do not categorically reject on case alone; bare-entry construction remains unresolved."
"33:0","US","نحن","allowedForArToEn","false","","medium","false","نحن normally represents a subject pronoun, but English US can occur in constructions translated with Arabic subject forms. Do not categorically reject on case alone; bare-entry construction remains unresolved."
"468:2","FRIEND","صديقي","allowedForEnToAr","false","","medium","false","صديقي is my friend and can be natural when addressing someone as friend. Do not reject every possessive adaptation; this isolated sense needs confirmation."
"468:2","FRIEND","صديقي","allowedForArToEn","false","","medium","false","صديقي is my friend and can be natural when addressing someone as friend. Do not reject every possessive adaptation; this isolated sense needs confirmation."
"144:0","VIDEO","بالفيديو","allowedForEnToAr","false","","medium","false","بالفيديو can naturally occur where English VIDEO modifies a communication medium. Isolated use needs context, so rejection solely for a preposition is too strong."
"144:0","VIDEO","بالفيديو","allowedForArToEn","false","","medium","false","بالفيديو can naturally occur where English VIDEO modifies a communication medium. Isolated use needs context, so rejection solely for a preposition is too strong."
"323:0","TEXT","نصوص","allowedForEnToAr","false","","medium","false","نصوص is plural texts, but TEXT can denote written material collectively. Defer the collective sense instead of automatically rejecting number differences."
"323:0","TEXT","نصوص","allowedForArToEn","false","","medium","false","نصوص is plural texts, but TEXT can denote written material collectively. Defer the collective sense instead of automatically rejecting number differences."
"93:1","PRICE","الاسعار","allowedForEnToAr","false","","medium","false","الاسعار has both a hamza issue and a plural reading; contextual price/prices usage needs review, not automatic morphological rejection."
"93:1","PRICE","الاسعار","allowedForArToEn","false","","medium","false","الاسعار has both a hamza issue and a plural reading; contextual price/prices usage needs review, not automatic morphological rejection."
"90:2","SERVICE","الخدمات","allowedForEnToAr","false","","medium","false","الخدمات may realize collective service in context. Bare-entry number/collective use needs review rather than blanket rejection."
"90:2","SERVICE","الخدمات","allowedForArToEn","false","","medium","false","الخدمات may realize collective service in context. Bare-entry number/collective use needs review rather than blanket rejection."
"256:1","WOMEN","المراة","allowedForEnToAr","false","","medium","false","المراة has an orthographic defect; Arabic singular woman can denote women collectively in some constructions. Do not reject solely for singular/plural form, but do not approve the text yet."
"256:1","WOMEN","المراة","allowedForArToEn","false","","medium","false","المراة has an orthographic defect; Arabic singular woman can denote women collectively in some constructions. Do not reject solely for singular/plural form, but do not approve the text yet."
"495:0","TAX","ضريبي","allowedForEnToAr","false","","medium","false","ضريبي can be tax-related in an attributive construction or my tax as written. The intended reading is unresolved, not automatically invalid because it is adjectival."
"495:0","TAX","ضريبي","allowedForArToEn","false","","medium","false","ضريبي can be tax-related in an attributive construction or my tax as written. The intended reading is unresolved, not automatically invalid because it is adjectival."
"373:2","CUSTOMER","العملاء","allowedForEnToAr","false","","medium","false","العملاء can occur naturally for attributive English CUSTOMER, as in customer service. Keep construction review instead of absolute singular/plural rejection."
"373:2","CUSTOMER","العملاء","allowedForArToEn","false","","medium","false","العملاء can occur naturally for attributive English CUSTOMER, as in customer service. Keep construction review instead of absolute singular/plural rejection."
"339:0","PROFILE","التشكيلة","allowedForEnToAr","false","","medium","false","التشكيلة is a standard lineup/composition term. PROFILE might have a specialized overlap but is not certified here; review the sense rather than make an unsupported categorical rejection."
"339:0","PROFILE","التشكيلة","allowedForArToEn","false","","medium","false","التشكيلة is a standard lineup/composition term. PROFILE might have a specialized overlap but is not certified here; review the sense rather than make an unsupported categorical rejection."
