"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason"
"2","0","AND","وال","review","uncertain","medium","needs-linguistic-confirmation","AND → وال: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h2:t0","review","uncertain","وال","وال","وال","و","false",""
"4","0","A","أداة تنكير","review","msa","medium","needs-linguistic-confirmation","A → أداة تنكير: Arabic has no direct indefinite article; this is a grammatical explanation rather than a standalone equivalent.","AI-assisted linguistic review","","false","stage3a:h4:t0","review","uncertain","أداة تنكير","أداةتنكير","أداةتنكير","أداة تنكير","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"6","0","FOR","لاجل","review","uncertain","medium","needs-linguistic-confirmation","FOR → لاجل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h6:t0","review","uncertain","لاجل","لاجل","لاجل","من أجل","false",""
"9","0","THAT","هذا","review","uncertain","medium","needs-linguistic-confirmation","THAT → هذا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h9:t0","review","uncertain","هذا","هذا","هذا","هذا","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"14","0","YOU","انت","review","uncertain","medium","needs-linguistic-confirmation","YOU → انت: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h14:t0","review","uncertain","انت","انت","انت","أنت.","false",""
"21","0","AS","حسب","review","uncertain","medium","needs-linguistic-confirmation","AS → حسب: According to is context-specific; cannot certify it as a general standalone equivalent.","AI-assisted linguistic review","","false","stage3a:h21:t0","review","uncertain","حسب","حسب","حسب","حسب","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"23","0","ALL","كلهم","review","uncertain","medium","needs-linguistic-confirmation","ALL → كلهم: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h23:t0","review","uncertain","كلهم","كلهم","كلهم","الكل","false",""
"23","1","ALL","كله","review","uncertain","medium","needs-linguistic-confirmation","ALL → كله: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h23:t1","review","uncertain","كله","كله","كله","الكل","false",""
"24","0","HAVE","عندي","review","msa","medium","needs-linguistic-confirmation","HAVE → عندي: Possession and perfect auxiliary uses require sentence context; first-person عندي and auxiliary قد are not general equivalents.","AI-assisted linguistic review","","false","stage3a:h24:t0","review","uncertain","عندي","عندي","عندي","قد","false",""
"24","1","HAVE","قد","review","msa","medium","needs-linguistic-confirmation","HAVE → قد: Possession and perfect auxiliary uses require sentence context; first-person عندي and auxiliary قد are not general equivalents.","AI-assisted linguistic review","","false","stage3a:h24:t1","review","uncertain","قد","قد","قد","قد","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"25","1","NEW","جدد","review","msa","medium","inflection-review","Valid masculine plural adjective in MSA; defer standalone inflection preference rather than reject a legitimate plural form.","AI-assisted linguistic review","","false","stage3a:h25:t1","review","uncertain","جدد","جدد","جدد","جديد","false",""
"26","2","MORE","اكثر","review","uncertain","medium","needs-linguistic-confirmation","MORE → اكثر: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h26:t2","review","uncertain","اكثر","اكثر","اكثر","المزيد","false",""
"27","0","AN","أداة تنكير","review","msa","medium","needs-linguistic-confirmation","AN → أداة تنكير: Arabic has no direct indefinite article; this is a grammatical explanation rather than a standalone equivalent.","AI-assisted linguistic review","","false","stage3a:h27:t0","review","uncertain","أداة تنكير","أداةتنكير","أداةتنكير","أداة تنكير","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"30","0","WILL","ويل","review","uncertain","medium","needs-linguistic-confirmation","WILL → ويل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h30:t0","review","uncertain","ويل","ويل","ويل","ويل","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"34","1","ABOUT","بشان","review","uncertain","medium","needs-linguistic-confirmation","ABOUT → بشان: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h34:t1","review","uncertain","بشان","بشان","بشان","حول","false",""
