seed,size,mode,policy,reason,solverAttempts,timeoutChecks,viableTemplates,validationErrors,qualityErrors
"2","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","60","6","[]","[]"
"2","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","523","69","24","[]","[]"
"2","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","57","6","[]","[]"
"3","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","444","69","24","[]","[]"
"3","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","29","6","[]","[]"
"5","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","16","6","[]","[]"
"5","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","305","77","24","[]","[]"
"5","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","71","6","[]","[]"
"6","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","55","6","[]","[]"
"6","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","66","6","[]","[]"
"7","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","305","55","24","[]","[]"
"8","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","67","6","[]","[]"
"9","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","37","6","[]","[]"
"9","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","363","57","24","[]","[]"
"9","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","42","6","[]","[]"
"10","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","304","66","24","[]","[]"
"11","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","47","6","[]","[]"
"11","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","167","101","24","[]","[]"
"11","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","59","6","[]","[]"
"12","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","49","6","[]","[]"
"13","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","42","6","[]","[]"
"13","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","267","82","24","[]","[]"
"14","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","48","6","[]","[]"
"14","11","en_to_ar","compatibility","solver_deadline_observed_root_cause_unestablished","2","70","6","[]","[]"
"14","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","44","6","[]","[]"
"16","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","68","6","[]","[]"
"17","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","228","72","24","[]","[]"
"17","13","en_to_ar","compatibility","solver_deadline_observed_root_cause_unestablished","2","7","6","[]","[]"
"17","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","61","6","[]","[]"
"18","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","49","6","[]","[]"
"19","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","285","68","24","[]","[]"
"20","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","28","6","[]","[]"
"20","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","324","77","24","[]","[]"
"20","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","31","6","[]","[]"
"21","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","55","6","[]","[]"
"21","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","327","82","24","[]","[]"
"22","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","65","6","[]","[]"
"23","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","287","77","24","[]","[]"
"24","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","32","6","[]","[]"
"24","13","en_to_ar","compatibility","solver_deadline_observed_root_cause_unestablished","2","56","6","[]","[]"
"26","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","32","6","[]","[]"
"26","11","en_to_ar","compatibility","solver_deadline_observed_root_cause_unestablished","2","60","6","[]","[]"
"26","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","227","81","24","[]","[]"
"27","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","246","76","24","[]","[]"
"28","7","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","140","24","[]","[]"
"28","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","40","6","[]","[]"
"28","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","131","103","24","[]","[]"
"28","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","68","6","[]","[]"
"29","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","188","95","24","[]","[]"
"30","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","226","82","24","[]","[]"
