seed,size,mode,policy,success,generationMs,entries,intersections,candidateCount,candidateLengths,solverAttempts,timeoutChecks,viableTemplates,totalTemplates,validationErrors,qualityErrors,failureReason
"1","7","en_to_ar","approved-only","true","3.376291000000492","26","36","2000","{""2"":50,""3"":393,""4"":392,""5"":392,""6"":392,""7"":381}","1","0","6","6","[]","[]",""
"1","7","ar_to_en","approved-only","true","109.22049999999945","22","41","1429","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410}","1","0","24","24","[]","[]",""
"1","9","en_to_ar","approved-only","false","1702.4154580000031","0","0","2000","{""2"":54,""3"":332,""4"":332,""5"":331,""6"":331,""7"":331,""8"":201,""9"":88}","2","29","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"1","9","ar_to_en","approved-only","true","357.80633300000045","32","64","1801","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194}","3","5","24","24","[]","[]",""
"1","11","en_to_ar","approved-only","true","36.29449999999997","59","85","2000","{""2"":54,""3"":313,""4"":314,""5"":314,""6"":314,""7"":313,""8"":219,""9"":105,""10"":31,""11"":23}","1","0","6","6","[]","[]",""
"1","11","ar_to_en","approved-only","false","4500.788458999999","0","0","1917","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194,""10"":59,""11"":57}","121","48","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"1","13","en_to_ar","approved-only","false","1805.9292080000014","0","0","2000","{""2"":54,""3"":305,""4"":305,""5"":305,""6"":305,""7"":305,""8"":228,""9"":115,""10"":33,""11"":24,""12"":16,""13"":5}","83","1","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"1","13","ar_to_en","approved-only","false","4511.651958999999","0","0","1958","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194,""10"":59,""11"":57,""12"":15,""13"":26}","230","43","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","7","en_to_ar","approved-only","true","3.2342500000013388","26","35","2000","{""2"":50,""3"":393,""4"":392,""5"":392,""6"":392,""7"":381}","1","0","6","6","[]","[]",""
"2","7","ar_to_en","approved-only","true","16.356291000000056","22","41","1429","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410}","1","0","24","24","[]","[]",""
"2","9","en_to_ar","approved-only","false","1702.7835000000014","0","0","2000","{""2"":54,""3"":332,""4"":332,""5"":331,""6"":331,""7"":331,""8"":201,""9"":88}","2","38","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","9","ar_to_en","approved-only","true","1098.317167000001","32","64","1801","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194}","7","14","24","24","[]","[]",""
"2","11","en_to_ar","approved-only","false","1804.0688749999972","0","0","2000","{""2"":54,""3"":313,""4"":314,""5"":314,""6"":314,""7"":313,""8"":219,""9"":105,""10"":31,""11"":23}","2","44","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","11","ar_to_en","approved-only","false","4501.742333000002","0","0","1917","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194,""10"":59,""11"":57}","154","44","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","13","en_to_ar","approved-only","false","1804.9663750000036","0","0","2000","{""2"":54,""3"":305,""4"":305,""5"":305,""6"":305,""7"":305,""8"":228,""9"":115,""10"":33,""11"":24,""12"":16,""13"":5}","10","1","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","13","ar_to_en","approved-only","false","4512.394625000001","0","0","1958","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194,""10"":59,""11"":57,""12"":15,""13"":26}","254","43","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","7","en_to_ar","approved-only","true","3.6636250000010477","26","35","2000","{""2"":50,""3"":393,""4"":392,""5"":392,""6"":392,""7"":381}","1","0","6","6","[]","[]",""
"3","7","ar_to_en","approved-only","true","124.83204100000148","22","41","1429","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410}","1","0","24","24","[]","[]",""
"3","9","en_to_ar","approved-only","true","28.94708399999945","40","59","2000","{""2"":54,""3"":332,""4"":332,""5"":331,""6"":331,""7"":331,""8"":201,""9"":88}","1","0","6","6","[]","[]",""
"3","9","ar_to_en","approved-only","true","690.9362500000061","32","64","1801","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194}","5","13","24","24","[]","[]",""
"3","11","en_to_ar","approved-only","false","1804.3049580000006","0","0","2000","{""2"":54,""3"":313,""4"":314,""5"":314,""6"":314,""7"":313,""8"":219,""9"":105,""10"":31,""11"":23}","2","48","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","11","ar_to_en","approved-only","false","4502.075958000001","0","0","1917","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194,""10"":59,""11"":57}","142","44","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","13","en_to_ar","approved-only","false","1806.3434590000033","0","0","2000","{""2"":54,""3"":305,""4"":305,""5"":305,""6"":305,""7"":305,""8"":228,""9"":115,""10"":33,""11"":24,""12"":16,""13"":5}","2","33","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","13","ar_to_en","approved-only","false","4512.669125","0","0","1958","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194,""10"":59,""11"":57,""12"":15,""13"":26}","228","36","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"4","7","en_to_ar","approved-only","true","11.957875000000058","26","37","2000","{""2"":50,""3"":393,""4"":392,""5"":392,""6"":392,""7"":381}","1","0","6","6","[]","[]",""
"4","7","ar_to_en","approved-only","true","11.978957999999693","22","41","1429","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410}","1","0","24","24","[]","[]",""
"4","9","en_to_ar","approved-only","false","1702.3654999999999","0","0","2000","{""2"":54,""3"":332,""4"":332,""5"":331,""6"":331,""7"":331,""8"":201,""9"":88}","2","24","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"4","9","ar_to_en","approved-only","true","877.948292000001","32","64","1801","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194}","6","15","24","24","[]","[]",""
"4","11","en_to_ar","approved-only","false","1804.3408750000017","0","0","2000","{""2"":54,""3"":313,""4"":314,""5"":314,""6"":314,""7"":313,""8"":219,""9"":105,""10"":31,""11"":23}","2","52","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"4","11","ar_to_en","approved-only","false","4500.914749999996","0","0","1917","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194,""10"":59,""11"":57}","122","49","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"4","13","en_to_ar","approved-only","false","1806.711334000007","0","0","2000","{""2"":54,""3"":305,""4"":305,""5"":305,""6"":305,""7"":305,""8"":228,""9"":115,""10"":33,""11"":24,""12"":16,""13"":5}","2","33","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"4","13","ar_to_en","approved-only","false","4482.716334000012","0","0","1958","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410,""8"":178,""9"":194,""10"":59,""11"":57,""12"":15,""13"":26}","274","37","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"5","7","en_to_ar","approved-only","true","3.2870419999962905","24","36","2000","{""2"":50,""3"":393,""4"":392,""5"":392,""6"":392,""7"":381}","1","0","6","6","[]","[]",""
"5","7","ar_to_en","approved-only","true","24.02529199999117","22","41","1429","{""2"":15,""3"":172,""4"":292,""5"":282,""6"":258,""7"":410}","1","0","24","24","[]","[]",""
