"size","mode","seed","beforeCount","afterCount","removedCanonicalAnswers","removedPairs","beforeSuccess","afterSuccess","lostSuccess","gainedSuccess"
"7","ar_to_en","1","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","2","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","3","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","4","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","5","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","6","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","7","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","8","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","9","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","10","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","11","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","12","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","13","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","14","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","15","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","16","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","17","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","18","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","19","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","20","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","21","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","22","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","23","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","24","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","25","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","26","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","27","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","28","1807","1851","0","0","false","false","false","false"
"7","ar_to_en","29","1807","1851","0","0","true","true","false","false"
"7","ar_to_en","30","1807","1851","0","0","true","true","false","false"
"7","en_to_ar","1","2000","2000","731","845","true","true","false","false"
"7","en_to_ar","2","2000","2000","718","833","true","true","false","false"
"7","en_to_ar","3","2000","2000","721","826","true","true","false","false"
"7","en_to_ar","4","2000","2000","714","831","true","true","false","false"
"7","en_to_ar","5","2000","2000","723","827","true","true","false","false"
"7","en_to_ar","6","2000","2000","758","855","true","true","false","false"
"7","en_to_ar","7","2000","2000","743","860","true","true","false","false"
"7","en_to_ar","8","2000","2000","730","825","true","true","false","false"
"7","en_to_ar","9","2000","2000","716","841","true","true","false","false"
"7","en_to_ar","10","2000","2000","714","835","true","true","false","false"
"7","en_to_ar","11","2000","2000","746","858","true","true","false","false"
"7","en_to_ar","12","2000","2000","738","844","false","true","false","true"
"7","en_to_ar","13","2000","2000","733","844","true","true","false","false"
"7","en_to_ar","14","2000","2000","749","857","true","true","false","false"
"7","en_to_ar","15","2000","2000","723","833","true","true","false","false"
"7","en_to_ar","16","2000","2000","759","877","true","true","false","false"
"7","en_to_ar","17","2000","2000","727","848","true","true","false","false"
"7","en_to_ar","18","2000","2000","735","846","true","true","false","false"
"7","en_to_ar","19","2000","2000","756","861","true","true","false","false"
"7","en_to_ar","20","2000","2000","713","837","true","true","false","false"
"7","en_to_ar","21","2000","2000","731","851","true","true","false","false"
"7","en_to_ar","22","2000","2000","734","846","true","true","false","false"
"7","en_to_ar","23","2000","2000","729","840","true","true","false","false"
"7","en_to_ar","24","2000","2000","738","858","true","true","false","false"
"7","en_to_ar","25","2000","2000","725","840","true","true","false","false"
"7","en_to_ar","26","2000","2000","721","841","true","true","false","false"
"7","en_to_ar","27","2000","2000","710","835","true","true","false","false"
"7","en_to_ar","28","2000","2000","727","858","true","true","false","false"
"7","en_to_ar","29","2000","2000","732","847","true","true","false","false"
"7","en_to_ar","30","2000","2000","728","838","true","true","false","false"
"9","ar_to_en","1","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","2","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","3","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","4","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","5","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","6","2223","2272","0","0","false","true","false","true"
"9","ar_to_en","7","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","8","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","9","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","10","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","11","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","12","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","13","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","14","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","15","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","16","2223","2272","0","0","true","false","true","false"
"9","ar_to_en","17","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","18","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","19","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","20","2223","2272","0","0","true","false","true","false"
"9","ar_to_en","21","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","22","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","23","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","24","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","25","2223","2272","0","0","true","false","true","false"
"9","ar_to_en","26","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","27","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","28","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","29","2223","2272","0","0","true","true","false","false"
"9","ar_to_en","30","2223","2272","0","0","true","false","true","false"
"9","en_to_ar","1","2000","2000","833","956","true","true","false","false"
"9","en_to_ar","2","2000","2000","841","954","true","true","false","false"
"9","en_to_ar","3","2000","2000","834","990","true","true","false","false"
"9","en_to_ar","4","2000","2000","821","950","true","true","false","false"
"9","en_to_ar","5","2000","2000","837","960","true","true","false","false"
"9","en_to_ar","6","2000","2000","834","963","true","true","false","false"
"9","en_to_ar","7","2000","2000","851","966","true","true","false","false"
"9","en_to_ar","8","2000","2000","872","994","false","true","false","true"
"9","en_to_ar","9","2000","2000","835","968","true","true","false","false"
