"seed","size","mode","template","attempt","row","col","direction","length","pattern","constraints","liveDomain","fullPoolMatches","fullPoolUnused","sampledUnused","reason","observerReason"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","3","12","down","2","ت?","[{""position"":0,""characters"":[""ت""]},{""position"":1,""characters"":[""ا"",""ت"",""ج"",""ح"",""ص"",""ظ"",""ق"",""ك"",""و"",""ي""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","10","4","down","2","وا","[{""position"":0,""characters"":[""و""]},{""position"":1,""characters"":[""ا""]}]","0","1","0","0","used-word exhaustion","all-different"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","10","4","down","2","لا","[{""position"":0,""characters"":[""ل""]},{""position"":1,""characters"":[""ا""]}]","0","1","0","0","used-word exhaustion","all-different"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","10","10","across","2","اب","[{""position"":1,""characters"":[""ب""]},{""position"":0,""characters"":[""ا""]}]","0","1","0","0","used-word exhaustion","all-different"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","12","5","across","2","??","[{""position"":1,""characters"":[""ا"",""ح"",""ص"",""ق"",""ك"",""ي""]},{""position"":0,""characters"":[""ج"",""خ""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","12","5","across","2","ج?","[{""position"":1,""characters"":[""ا"",""ح"",""ص"",""ق"",""ك"",""ي""]},{""position"":0,""characters"":[""ج""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","9","6","down","4","م???","[{""position"":0,""characters"":[""م""]},{""position"":1,""characters"":[""ا"",""ر"",""ق"",""ل"",""ن""]},{""position"":2,""characters"":[""ف"",""م""]},{""position"":3,""characters"":[""ا"",""ح"",""ر"",""ش"",""ط""]}]","0","1","0","0","used-word exhaustion","arc-support"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","10","6","across","2","با","[{""position"":1,""characters"":[""ا""]},{""position"":0,""characters"":[""ب""]}]","0","1","0","0","used-word exhaustion","all-different"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","10","4","down","2","با","[{""position"":0,""characters"":[""ب""]},{""position"":1,""characters"":[""ا""]}]","0","1","0","0","used-word exhaustion","all-different"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","9","6","down","4","مامح","[{""position"":0,""characters"":[""م""]},{""position"":1,""characters"":[""ا""]},{""position"":2,""characters"":[""م""]},{""position"":3,""characters"":[""ح""]}]","0","1","0","0","used-word exhaustion","all-different"
"1","13","en_to_ar","1101110011011/1111111111011/0110011100110/0110011011111/1101110011011/1101100110110/0011001100111/0110111001111/1110110011111/1111001111011/1101101100110/1110111111111/1110011011011","1","11","5","down","2","ل?","[{""position"":0,""characters"":[""ل""]},{""position"":1,""characters"":[""ش"",""م""]}]","0","0","0","0","full-pool support absent","arc-support"
"1","13","ar_to_en","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","1","0","10","down","13","??L??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""L""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""A"",""C"",""D"",""E"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","0","1","0","0","used-word exhaustion","arc-support"
