family,policy,answer,occurrences,arabicClues,category,functionWord,commonShortForm,historicalAbbreviationFlag,historicalNameFlag,learnerReviewRecommended,reason,priorAuditCategories
two-fully-checked,compatibility,OD,30,"[""غضب إلهي""]",lexical role unresolved,False,False,False,False,True,"Experimental-use triage, not a rejection: sound/clipped/specialist/unresolved token needs a separate two-letter learner policy.",[]
two-fully-checked,compatibility,MA,30,"[""أمي""]",lexical role unresolved,False,False,True,False,True,"Experimental-use triage, not a rejection: sound/clipped/specialist/unresolved token needs a separate two-letter learner policy.","[""abbreviation""]"
two-fully-checked,compatibility,OS,30,"[""عظم""]",lexical role unresolved,False,False,True,False,True,"Experimental-use triage, not a rejection: sound/clipped/specialist/unresolved token needs a separate two-letter learner policy.","[""abbreviation""]"
two-fully-checked,compatibility,GO,30,"[""اذهبي""]",ordinary lexical word,False,False,False,False,False,Common English use; this is not a fresh approval of every Arabic mapping.,[]
two-fully-checked,compatibility,EM,30,"[""الحرف \""م\""""]",lexical role unresolved,False,False,True,False,True,"Experimental-use triage, not a rejection: sound/clipped/specialist/unresolved token needs a separate two-letter learner policy.","[""abbreviation""]"
two-fully-checked,compatibility,TI,30,"[""نغمة موسيقية""]",lexical role unresolved,False,False,True,False,True,"Experimental-use triage, not a rejection: sound/clipped/specialist/unresolved token needs a separate two-letter learner policy.","[""abbreviation""]"
two-fully-checked,compatibility,AT,30,"[""في""]",function word,True,False,False,False,False,Common English use; this is not a fresh approval of every Arabic mapping.,[]
two-fully-checked,compatibility,LO,30,"[""انظر!""]",interjection/sound,False,False,True,False,True,"Experimental-use triage, not a rejection: sound/clipped/specialist/unresolved token needs a separate two-letter learner policy.","[""abbreviation""]"
two-fully-checked,compatibility,TO,30,"[""من أجل""]",function word,True,False,False,False,False,Common English use; this is not a fresh approval of every Arabic mapping.,[]
two-fully-checked,compatibility,OR,29,"[""أو""]",function word,True,False,False,False,False,Common English use; this is not a fresh approval of every Arabic mapping.,[]
two-fully-checked,compatibility,TA,29,"[""شكراً (عامية بريطانية)""]",interjection/sound,False,False,True,False,True,"Experimental-use triage, not a rejection: sound/clipped/specialist/unresolved token needs a separate two-letter learner policy.","[""abbreviation"", ""editorial-note""]"
two-fully-checked,compatibility,WE,29,"[""نحن.""]",function word,True,False,False,False,False,Common English use; this is not a fresh approval of every Arabic mapping.,[]
