"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","stratum","sense"
"3069","1","BOOKING","جز","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","BOOKING — جز: جز means shearing/cutting, not reservation or booking; the missing initial letter leaves a different word. Second pass: The surviving Arabic word is shearing/cutting, whereas the same headword already supplies intact reservation relationships. Preserve the corrupt record but exclude it.","AI-assisted linguistic review","[]","rejected",""
"2841","1","SUGGESTED","رحت","rejected","msa","high","false","false","false","false","verb","wrong-or-corrupt-relationship","SUGGESTED — رحت: رحت means went; it is not suggested. This is a distinct verb, not a natural inflection of suggest. Second pass: Went is a different verb from suggested; ordinary inflection does not connect these meanings. The intact participial alternatives remain available.","AI-assisted linguistic review","[]","rejected",""
"1716","3","RUSSIAN","روسيا","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","RUSSIAN — روسيا: روسيا names Russia, not the adjective/person/language Russian. The geographic entity is a materially different referent. Second pass: Second reading confirms a country name, not the person, language or adjective. Reject only this relationship; other Russian relationships remain valid.","AI-assisted linguistic review","[]","rejected",""
"5493","0","TIN","تين","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","TIN — تين: تين means figs, not the metal tin. Do not accept phonetic resemblance as a translation. Second pass: Arabic figs and English tin metal are semantically unrelated. The phonetic resemblance does not support an alternative English sense.","AI-assisted linguistic review","[]","rejected",""
"3853","2","LEG","القدم","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","LEG — القدم: القدم is foot, not leg; this is an anatomical referent mismatch, not a harmless synonym. Second pass: Foot is a distinct body part from leg in learner anatomy. This is not simply a morphology or synonym difference.","AI-assisted linguistic review","[]","rejected",""
"1679","3","SPANISH","اسبانيا","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","SPANISH — اسبانيا: اسبانيا names Spain, not Spanish; additionally its orthography needs review. Do not promote a place-name relationship as a demonym. Second pass: The country Spain and the language/demonym Spanish are distinct referents. Retain the source text and reject only this country-name relationship.","AI-assisted linguistic review","[]","rejected",""
"2811","0","DON","دون","review","uncertain","medium","","","","","uncertain","register-review","DON — دون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","reference-conflict",""
"1958","0","PAPERBACK","غلاف ورقي","review","msa","medium","","","","","noun","construction-or-sense-review","PAPERBACK — غلاف ورقي: غلاف ورقي denotes a paper cover; the dictionary may intend the binding rather than the book, so leave the standalone noun mapping unresolved.","AI-assisted linguistic review","[]","reference-conflict",""
"2200","2","WHOLESALE","الجملة","review","msa","medium","","","","","noun","construction-or-sense-review","WHOLESALE — الجملة: الجملة needs the trading construction to establish wholesale rather than sentence; review rather than synonym restriction.","AI-assisted linguistic review","[]","reference-conflict",""
"2765","1","DOT","دوت","review","uncertain","medium","","","","","noun","register-review","DOT — دوت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","reference-conflict",""
