experiment,seed,size,mode,policy,discoveryIndex,rank,slots,lengths,quality,score,viable,attempts,solverMs,signature
"baseline","1","7","ar_to_en","compatibility","2","0","22","{""3"":{""slots"":18,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","126","781","true","1","7.138125000000173","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","compatibility","5","1","22","{""3"":{""slots"":18,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","126","781","true","0","0","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","compatibility","6","2","22","{""3"":{""slots"":18,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","126","781","true","0","0","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","compatibility","7","3","22","{""3"":{""slots"":18,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","126","781","true","0","0","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","compatibility","9","4","22","{""3"":{""slots"":18,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","126","781","true","0","0","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","compatibility","14","5","22","{""3"":{""slots"":18,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","126","781","true","0","0","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","compatibility","16","6","22","{""3"":{""slots"":18,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","126","781","true","0","0","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","compatibility","19","7","22","{""3"":{""slots"":18,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","126","781","true","0","0","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","compatibility","0","8","18","{""3"":{""slots"":8,""candidates"":391},""5"":{""slots"":6,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","118","1172","true","0","0","1110111/1110111/1111111/1111100/1111111/0011111/0011111"
"baseline","1","7","ar_to_en","compatibility","1","9","18","{""3"":{""slots"":8,""candidates"":391},""5"":{""slots"":6,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","118","1172","true","0","0","1110111/1110111/1111111/1111100/1111111/0011111/0011111"
"baseline","1","7","ar_to_en","compatibility","21","10","18","{""3"":{""slots"":8,""candidates"":391},""5"":{""slots"":6,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","118","1172","true","0","0","1110111/1110111/1111111/1111100/1111111/0011111/0011111"
"baseline","1","7","ar_to_en","compatibility","23","11","18","{""3"":{""slots"":8,""candidates"":391},""5"":{""slots"":6,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","118","1172","true","0","0","1111100/1111100/1111111/0011111/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","compatibility","11","12","16","{""3"":{""slots"":6,""candidates"":391},""5"":{""slots"":5,""candidates"":391},""7"":{""slots"":5,""candidates"":390}}","110","1172","true","0","0","1110111/1110111/1111111/1111111/1111111/0011100/0011100"
"baseline","1","7","ar_to_en","compatibility","20","13","16","{""3"":{""slots"":6,""candidates"":391},""5"":{""slots"":5,""candidates"":391},""7"":{""slots"":5,""candidates"":390}}","110","1172","true","0","0","1111100/1111100/1111111/0011111/1111111/1111100/1111100"
"baseline","1","7","ar_to_en","compatibility","22","14","16","{""3"":{""slots"":6,""candidates"":391},""5"":{""slots"":5,""candidates"":391},""7"":{""slots"":5,""candidates"":390}}","110","1172","true","0","0","1111100/1111100/1111111/0011111/1111111/1111100/1111100"
"baseline","1","7","ar_to_en","compatibility","8","15","16","{""3"":{""slots"":6,""candidates"":391},""4"":{""slots"":4,""candidates"":391},""5"":{""slots"":2,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","104","1563","true","0","0","0011100/1111100/1111111/1110111/1111111/0011111/0011100"
"baseline","1","7","ar_to_en","compatibility","12","16","16","{""3"":{""slots"":6,""candidates"":391},""4"":{""slots"":4,""candidates"":391},""5"":{""slots"":2,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","104","1563","true","0","0","0011110/0011110/1111111/1110111/1111111/0111100/0111100"
"baseline","1","7","ar_to_en","compatibility","18","17","16","{""3"":{""slots"":6,""candidates"":391},""4"":{""slots"":4,""candidates"":391},""5"":{""slots"":2,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","104","1563","true","0","0","0011110/0011110/1111111/1110111/1111111/0111100/0111100"
"baseline","1","7","ar_to_en","compatibility","10","18","16","{""3"":{""slots"":8,""candidates"":391},""5"":{""slots"":4,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","104","1172","true","0","0","0011100/0111110/1111111/1110111/1111111/0111110/0011100"
"baseline","1","7","ar_to_en","compatibility","3","19","16","{""3"":{""slots"":7,""candidates"":391},""4"":{""slots"":4,""candidates"":391},""5"":{""slots"":1,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","102","1563","true","0","0","0011100/0111100/1111111/1110111/1111111/0011110/0011110"
"baseline","1","7","ar_to_en","compatibility","13","20","16","{""3"":{""slots"":7,""candidates"":391},""4"":{""slots"":4,""candidates"":391},""5"":{""slots"":1,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","102","1563","true","0","0","0011100/0111100/1111111/1110111/1111111/0011110/0011110"
"baseline","1","7","ar_to_en","compatibility","15","21","16","{""3"":{""slots"":8,""candidates"":391},""4"":{""slots"":2,""candidates"":391},""5"":{""slots"":2,""candidates"":391},""7"":{""slots"":4,""candidates"":390}}","102","1563","true","0","0","0011100/0111100/1111111/1110111/1111111/0111110/0011100"
"baseline","1","7","ar_to_en","compatibility","17","22","16","{""3"":{""slots"":8,""candidates"":391},""4"":{""slots"":3,""candidates"":391},""6"":{""slots"":1,""candidates"":390},""7"":{""slots"":4,""candidates"":390}}","102","1562","true","0","0","0111100/0111100/1111111/1110111/1111111/0111100/0011100"
"baseline","1","7","ar_to_en","compatibility","4","23","14","{""3"":{""slots"":4,""candidates"":391},""4"":{""slots"":4,""candidates"":391},""7"":{""slots"":6,""candidates"":390}}","98","1172","true","0","0","0011100/0111100/1111111/1111111/1111111/0011110/0011100"
"baseline","1","7","ar_to_en","approved-only","0","0","22","{""3"":{""slots"":18,""candidates"":120},""7"":{""slots"":4,""candidates"":219}}","126","339","true","1","125.18895800000018","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","2","1","22","{""3"":{""slots"":18,""candidates"":120},""7"":{""slots"":4,""candidates"":219}}","126","339","true","1","125.02370899999983","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","11","2","22","{""3"":{""slots"":18,""candidates"":120},""7"":{""slots"":4,""candidates"":219}}","126","339","true","1","125.04408400000011","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","12","3","22","{""3"":{""slots"":18,""candidates"":120},""7"":{""slots"":4,""candidates"":219}}","126","339","true","1","125.01658300000008","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","13","4","22","{""3"":{""slots"":18,""candidates"":120},""7"":{""slots"":4,""candidates"":219}}","126","339","true","1","125.01683300000013","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","15","5","22","{""3"":{""slots"":18,""candidates"":120},""7"":{""slots"":4,""candidates"":219}}","126","339","true","1","125.00949999999989","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","18","6","22","{""3"":{""slots"":18,""candidates"":120},""7"":{""slots"":4,""candidates"":219}}","126","339","true","1","125.02766699999984","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","21","7","22","{""3"":{""slots"":18,""candidates"":120},""7"":{""slots"":4,""candidates"":219}}","126","339","true","1","125.01545900000019","1110111/1110111/1111111/0011100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","16","8","18","{""3"":{""slots"":8,""candidates"":120},""5"":{""slots"":6,""candidates"":266},""7"":{""slots"":4,""candidates"":219}}","118","605","true","1","125.0698339999999","0011111/0011111/1111111/1111100/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","23","9","18","{""3"":{""slots"":8,""candidates"":120},""5"":{""slots"":6,""candidates"":266},""7"":{""slots"":4,""candidates"":219}}","118","605","true","1","125.05458399999998","1110111/1110111/1111111/1111100/1111111/0011111/0011111"
"baseline","1","7","ar_to_en","approved-only","4","10","16","{""3"":{""slots"":6,""candidates"":120},""5"":{""slots"":5,""candidates"":266},""7"":{""slots"":5,""candidates"":219}}","110","605","true","1","125.07279199999994","0011111/0011111/1111111/1111100/1111111/0011111/0011111"
"baseline","1","7","ar_to_en","approved-only","6","11","16","{""3"":{""slots"":6,""candidates"":120},""5"":{""slots"":5,""candidates"":266},""7"":{""slots"":5,""candidates"":219}}","110","605","true","1","125.02158400000008","1111100/1111100/1111111/0011111/1111111/1111100/1111100"
"baseline","1","7","ar_to_en","approved-only","9","12","16","{""3"":{""slots"":6,""candidates"":120},""5"":{""slots"":5,""candidates"":266},""7"":{""slots"":5,""candidates"":219}}","110","605","true","1","125.02479200000016","0011100/0011100/1111111/1111111/1111111/1110111/1110111"
"baseline","1","7","ar_to_en","approved-only","10","13","16","{""3"":{""slots"":6,""candidates"":120},""5"":{""slots"":5,""candidates"":266},""7"":{""slots"":5,""candidates"":219}}","110","605","true","1","125.02929199999971","1111100/1111100/1111111/0011111/1111111/1111100/1111100"
"baseline","1","7","ar_to_en","approved-only","17","14","16","{""3"":{""slots"":6,""candidates"":120},""5"":{""slots"":5,""candidates"":266},""7"":{""slots"":5,""candidates"":219}}","110","605","true","1","125.02279199999975","1111100/1111100/1111111/0011111/1111111/1111100/1111100"
"baseline","1","7","ar_to_en","approved-only","22","15","16","{""3"":{""slots"":6,""candidates"":120},""5"":{""slots"":5,""candidates"":266},""7"":{""slots"":5,""candidates"":219}}","110","605","true","1","125.01949999999988","1111100/1111100/1111111/0011111/1111111/1111100/1111100"
"baseline","1","7","ar_to_en","approved-only","1","16","16","{""3"":{""slots"":6,""candidates"":120},""4"":{""slots"":4,""candidates"":269},""5"":{""slots"":2,""candidates"":266},""7"":{""slots"":4,""candidates"":219}}","104","874","true","1","125.02483299999994","0011110/0011110/1111111/1110111/1111111/0111100/0111100"
"baseline","1","7","ar_to_en","approved-only","5","17","16","{""3"":{""slots"":6,""candidates"":120},""4"":{""slots"":4,""candidates"":269},""5"":{""slots"":2,""candidates"":266},""7"":{""slots"":4,""candidates"":219}}","104","874","true","1","125.05749999999989","0011100/0011111/1111111/1110111/1111111/1111100/0011100"
