"sourceId","english","original","categories","status","register","confidence","reasonCode","reason","proposedReplacement","applied","reviewer","sources","headwordIndex","translationIndex","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","metadataChanged","repetitionAssessment"
"h15:t0","IT","بل...","[""possibly-malformed""]","rejected","uncertain","high","wrong-or-foreign-relation","بل means rather/but, not the pronoun IT; the trailing ellipsis does not supply a usable translation.","","false","AI-assisted linguistic review","[]","15","0","review","uncertain","بل...","بل","بل","true",""
"h16:t3","NOT","مش","[""dialect-rejected""]","rejected","dialect","high","dialect","Retain the relationship-specific dialect rejection established in Stage 2; no MSA rewrite.","","false","AI-assisted linguistic review","[""https://en.wiktionary.org/wiki/مش#Egyptian_Arabic""]","16","3","rejected","dialect","مش","مش","مش","false",""
"h81:t0","HOW","ازاي","[""dialect-rejected""]","rejected","dialect","high","dialect","Retain the relationship-specific dialect rejection established in Stage 2; no MSA rewrite.","","false","AI-assisted linguistic review","[""https://en.wiktionary.org/wiki/ازاي#Egyptian_Arabic""]","81","0","rejected","dialect","ازاي","ازاي","ازاي","false",""
"h81:t1","HOW","شلون","[""dialect-rejected""]","rejected","dialect","high","dialect","Retain the relationship-specific dialect rejection established in Stage 2; no MSA rewrite.","","false","AI-assisted linguistic review","[""https://en.wiktionary.org/wiki/شلون""]","81","1","rejected","dialect","شلون","شلون","شلون","false",""
"h91:t0","THAN","من...","[""possibly-malformed""]","approved","msa","high","editorial-residue","من is the MSA comparative connector corresponding to THAN. The ellipsis is editorial residue, not part of the word.","من","true","AI-assisted linguistic review","[]","91","0","review","uncertain","من","من","من","true",""
"h218:t2","BECAUSE","عشان","[""dialect-rejected""]","rejected","dialect","high","dialect","Retain the relationship-specific dialect rejection established in Stage 2; no MSA rewrite.","","false","AI-assisted linguistic review","[""https://en.wiktionary.org/wiki/عشان""]","218","2","rejected","dialect","عشان","عشان","عشان","false",""
"h345:t2","JOHN","جون جون","[""repeated-word"",""proper-name""]","rejected","uncertain","high","personal-or-geographic-name","This relationship renders an identified personal name, surname, month abbreviation/name or geographic proper noun, outside the standard general-vocabulary pool. No spelling rewrite is needed for exclusion.","","false","AI-assisted linguistic review","[]","345","2","review","uncertain","جون جون","جونجون","جونجون","true","uncertain"
"h355:t0","WHY","ليش","[""dialect-rejected""]","rejected","dialect","high","dialect","Retain the relationship-specific dialect rejection established in Stage 2; no MSA rewrite.","","false","AI-assisted linguistic review","[""https://uark.pressbooks.pub/levantinecolloquialarabic/chapter/6-4-grammar-2-asking-why-ليش/""]","355","0","rejected","dialect","ليش","ليش","ليش","false",""
"h397:t1","CANADA","كندا كندا","[""repeated-word""]","rejected","uncertain","high","personal-or-geographic-name","This relationship renders an identified personal name, surname, month abbreviation/name or geographic proper noun, outside the standard general-vocabulary pool. No spelling rewrite is needed for exclusion.","","false","AI-assisted linguistic review","[]","397","1","review","uncertain","كندا كندا","كنداكندا","كنداكندا","true","uncertain"
"h418:t4","BOX","مربع مربع","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","418","4","review","uncertain","مربع مربع","مربعمربع","مربعمربع","false","uncertain"
"h439:t2","REALLY","حقا حقا","[""repeated-word""]","review","msa","medium","meaningful-repetition","حقا حقا can be emphatic, so repetition is not necessarily corruption; the intended intensity is unspecified.","حقا","false","AI-assisted linguistic review","[]","439","2","review","uncertain","حقا حقا","حقاحقا","حقاحقا","true","meaningful"
"h463:t2","JULY","يوليو يوليو","[""repeated-word""]","rejected","msa","high","redundant-repetition","JULY is valid month vocabulary, not an abbreviation-source false positive. The single existing يوليو counterpart is valid; reject only this accidentally repeated relationship.","يوليو","false","AI-assisted linguistic review","[]","463","2","review","uncertain","يوليو يوليو","يوليويوليو","يوليويوليو","true","accidental"
"h467:t3","TEST","اختبار اختبار","[""repeated-word""]","rejected","msa","high","redundant-repetition","In this TEST sense, doubling is accidental. The valid counterpart 'اختبار' already exists under this headword, so reject the malformed duplicate without adding another relationship.","اختبار","false","AI-assisted linguistic review","[]","467","3","review","uncertain","اختبار اختبار","اختباراختبار","اختباراختبار","true","accidental"
"h588:t2","MAKING","صنع صنع","[""repeated-word""]","rejected","msa","high","redundant-repetition","In this MAKING sense, doubling is accidental. The valid counterpart 'صنع' already exists under this headword, so reject the malformed duplicate without adding another relationship.","صنع","false","AI-assisted linguistic review","[]","588","2","review","uncertain","صنع صنع","صنعصنع","صنعصنع","true","accidental"
"h606:t1","LONDON","لندن”","[""possibly-malformed"",""place-name""]","rejected","uncertain","high","geographic-name","The supplied Arabic denotes a geographic proper name, not a general lexical sense; exclude this relationship without rewriting it.","","false","AI-assisted linguistic review","[]","606","1","review","uncertain","لندن”","لندن”","لندن”","true",""
"h619:t2","GARDEN","حديقة حديقة","[""repeated-word""]","rejected","msa","high","redundant-repetition","In this GARDEN sense, doubling is accidental. The valid counterpart 'حديقة' already exists under this headword, so reject the malformed duplicate without adding another relationship.","حديقة","false","AI-assisted linguistic review","[]","619","2","review","uncertain","حديقة حديقة","حديقةحديقة","حديقةحديقة","true","accidental"
"h635:t4","STORIES","قصص قصص","[""repeated-word""]","rejected","msa","high","redundant-repetition","In this STORIES sense, doubling is accidental. The valid counterpart 'قصص' already exists under this headword, so reject the malformed duplicate without adding another relationship.","قصص","false","AI-assisted linguistic review","[]","635","4","review","uncertain","قصص قصص","قصصقصص","قصصقصص","true","accidental"
"h658:t1","AUSTRALIA","أستراليا أستراليا”","[""possibly-malformed""]","rejected","uncertain","high","geographic-name","The supplied Arabic denotes a geographic proper name, not a general lexical sense; exclude this relationship without rewriting it.","","false","AI-assisted linguistic review","[]","658","1","review","uncertain","أستراليا أستراليا”","أسترالياأستراليا”","أسترالياأستراليا”","true",""
"h731:t3","FRANCE","فرنسا”","[""possibly-malformed"",""place-name""]","rejected","uncertain","high","geographic-name","The supplied Arabic denotes a geographic proper name, not a general lexical sense; exclude this relationship without rewriting it.","","false","AI-assisted linguistic review","[]","731","3","review","uncertain","فرنسا”","فرنسا”","فرنسا”","true",""
"h777:t3","CHEAP","رخيصة رخيصة","[""repeated-word""]","rejected","msa","high","redundant-repetition","In this CHEAP sense, doubling is accidental. The valid counterpart 'رخيصة' already exists under this headword, so reject the malformed duplicate without adding another relationship.","رخيصة","false","AI-assisted linguistic review","[]","777","3","review","uncertain","رخيصة رخيصة","رخيصةرخيصة","رخيصةرخيصة","true","accidental"
"h788:t2","EUROPE","أوروبا”","[""possibly-malformed""]","rejected","uncertain","high","geographic-name","The supplied Arabic denotes a geographic proper name, not a general lexical sense; exclude this relationship without rewriting it.","","false","AI-assisted linguistic review","[]","788","2","review","uncertain","أوروبا”","أوروبا”","أوروبا”","true",""
"h803:t4","FUNCTION","وظيفة وظيفة","[""repeated-word""]","rejected","msa","high","redundant-repetition","In this FUNCTION sense, doubling is accidental. The valid counterpart 'وظيفة' already exists under this headword, so reject the malformed duplicate without adding another relationship.","وظيفة","false","AI-assisted linguistic review","[]","803","4","review","uncertain","وظيفة وظيفة","وظيفةوظيفة","وظيفةوظيفة","true","accidental"
"h818:t1","GERMANY","ألمانيا ألمانيا","[""repeated-word"",""place-name""]","rejected","uncertain","high","personal-or-geographic-name","This relationship renders an identified personal name, surname, month abbreviation/name or geographic proper noun, outside the standard general-vocabulary pool. No spelling rewrite is needed for exclusion.","","false","AI-assisted linguistic review","[]","818","1","review","uncertain","ألمانيا ألمانيا","ألمانياألمانيا","ألمانياألمانيا","true","uncertain"
"h834:t2","JAMES","جيمس جيمس","[""repeated-word"",""proper-name""]","rejected","uncertain","high","personal-or-geographic-name","This relationship renders an identified personal name, surname, month abbreviation/name or geographic proper noun, outside the standard general-vocabulary pool. No spelling rewrite is needed for exclusion.","","false","AI-assisted linguistic review","[]","834","2","review","uncertain","جيمس جيمس","جيمسجيمس","جيمسجيمس","true","uncertain"
"h846:t3","MAGAZINE","مجلة مجلة","[""repeated-word""]","rejected","msa","high","redundant-repetition","In this MAGAZINE sense, doubling is accidental. The valid counterpart 'مجلة' already exists under this headword, so reject the malformed duplicate without adding another relationship.","مجلة","false","AI-assisted linguistic review","[]","846","3","review","uncertain","مجلة مجلة","مجلةمجلة","مجلةمجلة","true","accidental"
"h863:t2","LOAN","قرض قرض","[""repeated-word""]","rejected","msa","high","redundant-repetition","In this LOAN sense, doubling is accidental. The valid counterpart 'قرض' already exists under this headword, so reject the malformed duplicate without adding another relationship.","قرض","false","AI-assisted linguistic review","[]","863","2","review","uncertain","قرض قرض","قرضقرض","قرضقرض","true","accidental"
"h873:t1","MICHAEL","مايكل مايكل","[""repeated-word"",""proper-name""]","rejected","uncertain","high","personal-or-geographic-name","This relationship renders an identified personal name, surname, month abbreviation/name or geographic proper noun, outside the standard general-vocabulary pool. No spelling rewrite is needed for exclusion.","","false","AI-assisted linguistic review","[]","873","1","review","uncertain","مايكل مايكل","مايكلمايكل","مايكلمايكل","true","uncertain"
"h877:t2","STEP","خطوة خطوة","[""repeated-word""]","review","msa","medium","meaningful-repetition","خطوة خطوة is distributive, meaning step by step. It is meaningful but not an unambiguous equivalent of standalone STEP.","خطوة","false","AI-assisted linguistic review","[]","877","2","review","uncertain","خطوة خطوة","خطوةخطوة","خطوةخطوة","true","meaningful"
"h885:t2","PAUL","بول بول","[""repeated-word""]","rejected","uncertain","high","personal-or-geographic-name","This relationship renders an identified personal name, surname, month abbreviation/name or geographic proper noun, outside the standard general-vocabulary pool. No spelling rewrite is needed for exclusion.","","false","AI-assisted linguistic review","[]","885","2","review","uncertain","بول بول","بولبول","بولبول","true","uncertain"
