priority,category,english,arabic,source_ids,reason,suggestion
"1","possibly-malformed","IT","بل...","h15:t0","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","consolidated-duplicate","NOT","لا.","h16:t4 h16:t1","Consolidated; original display and reference retained in action log",""
"1","dialect-rejected","NOT","مش","h16:t3","Relationship-specific dialect evidence: https://en.wiktionary.org/wiki/مش#Egyptian_Arabic",""
"1","consolidated-duplicate","THEY","هم.","h48:t2 h48:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","THERE","هناك.","h60:t1 h60:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","WHO","مَن","h69:t2 h69:t0","Consolidated; original display and reference retained in action log",""
"1","dialect-rejected","HOW","ازاي","h81:t0","Relationship-specific dialect evidence: https://en.wiktionary.org/wiki/ازاي#Egyptian_Arabic",""
"1","dialect-rejected","HOW","شلون","h81:t1","Relationship-specific dialect evidence: https://en.wiktionary.org/wiki/شلون#Gulf_Arabic",""
"1","possibly-malformed","THAN","من...","h91:t0","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","consolidated-duplicate","THEM","هم.","h122:t1 h122:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","PLEASE","رجاءً","h133:t4 h133:t1","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","WELL","حسناً","h145:t1 h145:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","SHE","هي.","h156:t2 h156:t1","Consolidated; original display and reference retained in action log",""
"1","dialect-rejected","BECAUSE","عشان","h218:t2","Relationship-specific dialect evidence: https://en.wiktionary.org/wiki/عشان#Egyptian_Arabic",""
"1","repeated-word","JOHN","جون جون","h345:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جون"
"1","dialect-rejected","WHY","ليش","h355:t0","Relationship-specific dialect evidence: https://uark.pressbooks.pub/levantinecolloquialarabic/chapter/6-4-grammar-2-asking-why-ليش/",""
"1","consolidated-duplicate","WHY","لماذا؟","h355:t3 h355:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","CANADA","كندا كندا","h397:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كندا"
"1","repeated-word","BOX","مربع مربع","h418:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مربع"
"1","repeated-word","REALLY","حقا حقا","h439:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حقا"
"1","repeated-word","JULY","يوليو يوليو","h463:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","يوليو"
"1","repeated-word","TEST","اختبار اختبار","h467:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","اختبار"
"1","repeated-word","MAKING","صنع صنع","h588:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","صنع"
"1","possibly-malformed","LONDON","لندن”","h606:t1","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","GARDEN","حديقة حديقة","h619:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حديقة"
"1","repeated-word","STORIES","قصص قصص","h635:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قصص"
"1","consolidated-duplicate","AWAY","بعيداً","h655:t1 h655:t0","Consolidated; original display and reference retained in action log",""
"1","possibly-malformed","AUSTRALIA","أستراليا أستراليا”","h658:t1","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","consolidated-duplicate","FIVE","خمسة.","h717:t3 h717:t0","Consolidated; original display and reference retained in action log",""
"1","possibly-malformed","FRANCE","فرنسا”","h731:t3","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","CHEAP","رخيصة رخيصة","h777:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","رخيصة"
"1","possibly-malformed","EUROPE","أوروبا”","h788:t2","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","consolidated-duplicate","EDIT","حرّر","h798:t4 h798:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","TOGETHER","معاً","h799:t3 h799:t2","Consolidated; original display and reference retained in action log",""
"1","repeated-word","FUNCTION","وظيفة وظيفة","h803:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","وظيفة"
"1","repeated-word","GERMANY","ألمانيا ألمانيا","h818:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ألمانيا"
