english,arabic
the,الـ
of,من
and,و
to,من أجل
a,أداة تنكير
in,في
for,من أجل
is,هو كذلك
on,على
that,هذا
by,بواسطة
this,هذا
with,مع
i,أولاً
you,أنت.
it,بل...
not,لا.
or,أو
be,كن
are,نعم.
from,من
at,في
as,حسب
your,الخاص بك
all,الكل
have,قد
new,جديد
more,المزيد
an,أداة تنكير
was,كان
we,نحن.
will,ويل
home,منزل
can,يمكن
us,نحن
about,حول
if,لو
page,الصفحة
my,بلدي
has,لديه
search,البحث
free,مجانا
but,لكن
our,لدينا
one,واحد
other,أخرى
do,افعل
no,لا
information,معلومات
time,الوقت
they,هم.
site,الموقع
he,هو.
up,فوق
may,مايو
what,ما هذا؟
which,التي
their,لهم
news,اخبار
out,خارجا
use,الاستخدام
any,أي منها
there,هناك.
see,انظر
only,فقط
so,أجل.
his,له
when,متى
contact,الاتصال
here,هنا
business,الأعمال
who,مَن
web,شبكة الإنترنت
also,أيضا
now,الآن
help,مساعدة
get,الحصول على
pm,بعد الظهر
view,عرض
online,على الانترنت
c,(ج)
e,هـ
first,أولاً
am,أنا.
been,كان
would,سوف
how,كيف
were,كانت
me,أنا.
s,’إس
services,الخدمات
some,بعض
these,هذه
click,انقر فوق
its,هاته
like,مثل
service,الخدمة
x,س
than,من...
find,العثور على
price,السعر
date,التاريخ
back,عودة
top,أعلى
people,الناس
had,كان
list,قائمة
name,الاسم
just,فقط
over,أكثر من
state,الدولة
year,السنة
day,اليوم
into,إلى داخل
email,البريد الإلكتروني
two,اثنان
health,الصحة
n,لا يوجد
world,العالم
re,إعادة النظر
next,التالي
used,مستعمل
go,اذهبي
b,(ب)
work,العمل
last,الأخير
most,معظم
products,المنتجات
music,الموسيقى
buy,شراء
data,البيانات
make,جعل
them,هم.
should,ينبغي
product,المنتج
system,نظام
post,الوظائف
her,لها
city,المدينة
t,ر ر
add,إضافة
policy,السياسة
number,الرقم
such,مثل هذه
please,رجاءً
available,متاح
copyright,حقوق النشر
support,الدعم
message,الرسالة
after,بعد
best,أفضل
software,البرامجيات
then,إذاً
jan,يان
good,جيد
video,فيديو
well,حسناً
d,د د
where,أين
info,معلومات
rights,الحقوق
public,الجمهور
books,الكتب
high,مرتفع
school,مدرسة
through,عن طريق
m,م
each,لكل منها
links,روابط
she,هي.
review,الاستعراض
years,سنوات
order,ترتيب
very,جدا
privacy,الخصوصية
book,الكتاب
items,البنود
company,الشركة
r,ص ع
read,قراءة
group,المجموعة
need,حاجة
many,كثيرة
user,المستخدم
said,قال
de,دي دي
does,لا يفعل
set,مجموعة
under,تحت
general,عام
research,البحوث
university,الجامعة
january,يناير كانون الثاني
mail,البريد الإلكتروني
full,كامل
map,خريطة
reviews,استعراض
program,البرنامج
life,حياته
know,اعرف
games,العاب
way,الطريقة
days,أيام
management,الإدارة
p,ع
part,جزء
could,يمكن
great,عظيم
united,المتحدة
hotel,فندق
real,حقيقي
f,(و و)
item,البند
international,الدولية
center,المركز
ebay,ايباي
must,يجب
store,متجر
travel,السفر
comments,تعليقات
made,مصنوع
development,التنمية
report,التقرير
off,قبالة
member,عضو
details,التفاصيل
line,خط
terms,الشروط والأحكام
before,قبل
hotels,فنادق
did,فعلت
send,ارسال
right,يمين
type,النوع
because,لأن
local,محلي
those,هؤلاء
using,استخدام
results,النتائج
office,مكتب
education,التعليم
national,وطني
car,سيارة
design,تصميم
take,خذ
posted,منشورة
internet,الإنترنت
address,العنوان
community,المجتمع
within,داخل
states,الدول
area,المنطقة
want,تريد
phone,الهاتف
dvd,دي في دي
shipping,الشحن
reserved,محجوز
subject,الموضوع
between,بين
forum,المنتدى
family,الأسرة
l,ل.
long,طويل
based,على أساس
w,ث
code,الكود
show,عرض
o,س س
even,حتى
black,أسود
check,تحقق
special,خاص
prices,الأسعار
website,الموقع الشبكي
index,الفهرس
being,يجري
women,النساء
much,الكثير
sign,علامة
file,ملف
link,رابط
open,مفتوح
today,اليوم
technology,التكنولوجيا
south,الجنوب
case,القضية
project,مشروع
same,نفس الشيء
pages,صفحات
uk,المملكة المتحدة
version,النسخة
section,الباب
own,الخاصة بك
found,وجدت
sports,الرياضات
house,منزل
related,ذات صلة
security,الأمن
both,كلاهما
g,ز
county,مقاطعة
american,الأمريكية
photo,الصورة
game,لعبة
members,الأعضاء
power,قوة
while,بينما
care,الرعاية
network,شبكة
down,أسفل
computer,الكمبيوتر
systems,أنظمة
three,ثلاثة
total,المجموع
place,مكان
end,النهاية
following,تابع
download,تحميل
h,ح
him,هو
without,بدون
per,لكل فرد
access,الوصول
think,فكر
north,الشمال
resources,الموارد
current,الحالي
posts,الوظائف
big,كبير
media,وسائط الإعلام
law,القانون
control,التحكم
water,المياه
history,التاريخ
pictures,الصور
size,الحجم
art,الفن
personal,البيانات الشخصية
since,منذ
including,بما فيها
guide,دليل
shop,متجر
directory,الدليل
board,مجلس الإدارة
location,الموقع
change,التغيير
white,أبيض
text,نص
small,صغير
rating,التقييم
rate,المعدل
government,الحكومة
children,الأطفال
during,خلال
usa,الولايات المتحدة الأمريكية
return,العودة
students,الطلاب
