"id","size","mode","length","pattern","failedSeeds","recurring","selectedTarget","before","after","addedAnswers","zeroToSupported","remainsZero","criticalToHealthy"
"4c342f7f1d209fe7","13","ar_to_en","3","??U","[1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,20,21,23,24,25,26,27,28,29]","true","false","2","2","[]","false","false","false"
"24abfd3d66fc9292","13","ar_to_en","3","U??","[1,2,3,4,5,9,11,12,13,14,15,17,18,19,21,22,23,24,25,27]","true","false","2","2","[]","false","false","false"
"4b0fee66793e9ed3","13","ar_to_en","13","??T??????????","[1,2,3,6,7,8,9,12,14,16,17,18,21,22,23,25,26,27,28,29]","true","false","2","2","[]","false","false","false"
"006cf12fafd33439","11","ar_to_en","3","ET?","[1,2,4,6,7,8,10,12,13,15,16,17,20,21,23,24,25,28,29]","true","false","1","1","[]","false","false","false"
"66cb5a96e6c8addd","13","ar_to_en","13","??T???????N??","[1,2,3,6,7,8,9,10,11,14,16,17,18,22,25,26,27,28,29]","true","false","1","1","[]","false","false","false"
"532352ef0fa450dd","13","ar_to_en","3","?T?","[1,2,4,5,7,12,15,16,19,21,22,23,25,26,27,28,29]","true","false","1","1","[]","false","false","false"
"06adab22cef1b67f","11","ar_to_en","3","U??","[4,5,6,7,8,9,11,13,15,18,19,20,23,25,28,29,30]","true","false","2","2","[]","false","false","false"
"179305022eb218bf","11","ar_to_en","11","?EC????????","[4,7,8,9,11,12,18,19,20,22,23,24,25,27,28,29,30]","true","true","2","3","[""EXPERIENCES""]","false","false","false"
"6581f6328d990adc","13","ar_to_en","3","??U","[1,3,4,8,10,12,14,17,18,20,21,22,23,24,27,28,29]","true","false","2","2","[]","false","false","false"
"d4583e25abc56fb9","11","ar_to_en","3","??U","[2,3,4,5,6,8,9,12,15,18,19,21,24,27,28,29,30]","true","false","2","2","[]","false","false","false"
"4d9e48cb1cec4c9b","13","ar_to_en","13","??O???????N??","[1,2,3,6,8,9,10,12,14,18,22,25,26,27,28,29]","true","false","1","1","[]","false","false","false"
"f6040f9b27b3a7bf","13","ar_to_en","13","??T??????????","[1,3,6,8,9,14,15,16,18,22,24,25,26,27,28,29]","true","false","2","2","[]","false","false","false"
"9b36dacca5905d17","11","ar_to_en","11","??N????????","[5,6,7,8,9,11,12,13,15,18,19,20,22,23,24,30]","true","false","3","3","[]","false","false","false"
"fea3a86ff44c8400","11","ar_to_en","11","??M?????I??","[4,6,7,8,9,12,13,15,18,19,22,23,24,28,29,30]","true","false","3","3","[]","false","false","false"
"5cc5f4c18a4e9521","11","ar_to_en","3","?NN","[4,5,8,9,13,15,17,18,19,20,21,24,25,29,30]","true","false","1","1","[]","false","false","false"
"a3adbb48b0fadd51","11","ar_to_en","11","??R?????I??","[4,5,7,8,9,11,12,15,18,21,22,23,24,29,30]","true","false","1","1","[]","false","false","false"
"b1c0f62ecc3ef0e0","11","ar_to_en","11","??C?????P??","[5,6,7,9,11,12,15,17,18,19,21,22,23,24,30]","true","false","1","1","[]","false","false","false"
"346797adb28978f8","11","ar_to_en","11","??C????????","[2,5,6,7,9,12,15,18,19,22,23,24,25,27,30]","true","true","2","3","[""EXPERIENCES""]","false","false","false"
"0d9a45f7bb9a156f","13","ar_to_en","13","??O????I??N??","[1,2,3,6,8,9,16,18,20,22,24,25,26,29]","true","false","1","1","[]","false","false","false"
"31026e7251d3edd3","13","ar_to_en","3","?T?","[3,4,7,8,9,10,11,12,13,14,17,21,25,28]","true","false","1","1","[]","false","false","false"
"3e17860aa1d1aedb","13","ar_to_en","3","?T?","[3,4,6,7,8,9,12,14,16,22,23,24,28,30]","true","false","1","1","[]","false","false","false"
"e3a5d3b17584790c","13","ar_to_en","3","ET?","[6,7,8,10,12,13,16,17,20,22,24,26,28,30]","true","false","1","1","[]","false","false","false"
"9967c17a07d14601","11","ar_to_en","3","??U","[2,4,5,10,11,16,17,18,19,20,22,23,29,30]","true","false","2","2","[]","false","false","false"
"b6e0558eb923675d","11","ar_to_en","3","??I","[4,5,6,8,9,13,15,18,19,21,24,28,29,30]","true","false","2","2","[]","false","false","false"
"e96c86fcd6b07027","13","ar_to_en","3","??C","[1,3,7,8,9,10,11,12,14,21,25,27,28,29]","true","false","2","2","[]","false","false","false"
"014dc7cd968b6179","11","ar_to_en","3","?CI","[2,3,4,6,13,15,16,17,20,25,27,28,29]","true","false","1","1","[]","false","false","false"
"8476447517398c92","13","ar_to_en","13","??O???????E??","[1,2,3,6,8,9,12,18,22,25,27,28,29]","true","false","1","1","[]","false","false","false"
"cf2bfe4a026fa8a4","11","ar_to_en","11","??O?????P??","[6,7,9,12,15,19,21,22,23,24,25,27,30]","true","false","1","1","[]","false","false","false"
"e7ee189f3b3deaf6","13","ar_to_en","13","??E???????N??","[2,3,6,9,16,18,20,21,22,25,26,28,29]","true","false","1","1","[]","false","false","false"
"884089a16a03b954","13","ar_to_en","3","??U","[2,4,5,8,10,12,13,14,17,21,22,23,30]","true","false","2","2","[]","false","false","false"
"8b16776af7bac5f2","13","ar_to_en","13","??E??????????","[2,3,6,8,9,16,18,22,25,26,27,28,29]","true","false","2","2","[]","false","false","false"
"3c5a7e00f857662a","11","ar_to_en","3","??D","[5,8,9,10,13,15,17,18,19,20,24,28,30]","true","false","3","3","[]","false","false","false"
"e4a8dfcf7ab3c5a6","11","ar_to_en","11","??N????????","[5,7,9,11,12,15,17,18,21,22,23,24,30]","true","false","3","3","[]","false","false","false"
"99269ac9bdd1eac8","11","ar_to_en","3","??S","[4,5,6,8,9,13,15,18,19,28,29,30]","true","false","0","0","[]","false","true","false"
"07e780c4343123c0","11","ar_to_en","3","??E","[5,6,8,9,10,15,18,19,20,24,28,30]","true","true","1","3","[""BEE"",""BYE""]","false","false","false"
"0d00928d9ec488da","13","ar_to_en","13","??O???????E??","[1,2,3,6,8,9,10,16,18,22,25,29]","true","false","1","1","[]","false","false","false"
"2255e98898f41bf5","13","ar_to_en","13","??T???????N??","[1,2,3,6,8,9,15,16,18,22,26,27]","true","false","1","1","[]","false","false","false"
"7d6dbd4423678e66","11","ar_to_en","3","??E","[4,5,6,8,9,13,15,18,19,28,29,30]","true","false","1","1","[]","false","false","false"
"90288c716a8a5cfb","13","ar_to_en","3","?T?","[7,10,12,13,14,18,19,20,24,27,28,29]","true","false","1","1","[]","false","false","false"
"e8a4dcc4d490abcf","13","ar_to_en","3","AT?","[8,9,14,15,18,20,21,24,27,28,29,30]","true","false","1","1","[]","false","false","false"
"71c78e0bdbc9a53f","13","ar_to_en","13","??E??????????","[1,2,3,6,9,12,21,22,25,27,28,29]","true","false","2","2","[]","false","false","false"
"be1645f5851e8c1b","11","ar_to_en","3","??I","[4,5,8,9,13,15,17,18,19,25,29,30]","true","false","2","2","[]","false","false","false"
"db5db47697fce1ca","11","ar_to_en","3","???","[5,8,9,10,13,18,19,20,24,26,28,30]","true","false","2","2","[]","false","false","false"
"414a404eb5efaad0","11","ar_to_en","3","??O","[4,5,6,8,9,13,15,18,19,28,29,30]","true","false","3","3","[]","false","false","false"
"fe9c7fde86304ddf","13","ar_to_en","13","??E??????????","[2,6,9,15,16,18,22,25,26,27,28,29]","true","false","3","3","[]","false","false","false"
"475b089811d0b0ab","11","ar_to_en","3","??I","[5,6,9,10,15,18,19,20,24,28,30]","true","false","1","1","[]","false","false","false"
"baf6a6519100a348","13","ar_to_en","3","?F?","[2,4,5,7,12,15,16,22,27,28,29]","true","false","1","1","[]","false","false","false"
"02d5c31da8973a3f","13","ar_to_en","3","U??","[3,5,6,8,12,13,15,23,24,25,27]","true","false","2","2","[]","false","false","false"
"3a37005a1fd4e509","13","ar_to_en","3","??U","[1,2,10,16,17,18,19,24,25,26,30]","true","false","2","2","[]","false","false","false"
