"sourceId","english","original","categories","status","register","confidence","reasonCode","reason","proposedReplacement","applied","reviewer","sources","headwordIndex","translationIndex","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","metadataChanged","repetitionAssessment"
"h91:t0","THAN","من...","[""possibly-malformed""]","approved","msa","high","editorial-residue","من is the MSA comparative connector corresponding to THAN. The ellipsis is editorial residue, not part of the word.","من","true","AI-assisted linguistic review","[]","91","0","review","uncertain","من","من","من","true",""
"h1468:t5","PLANT","مصنع مصنع","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'مصنع' is a natural MSA rendering of the identified PLANT sense. The second identical word adds no intended meaning here.","مصنع","true","AI-assisted linguistic review","[]","1468","5","review","uncertain","مصنع","مصنعمصنع","مصنع","true","accidental"
"h2660:t0","PROPER","السليم السليم","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'السليم' is a natural MSA rendering of the identified PROPER sense. The second identical word adds no intended meaning here.","السليم","true","AI-assisted linguistic review","[]","2660","0","review","uncertain","السليم","السليمالسليم","السليم","true","accidental"
"h2771:t2","REASONABLE","معقول معقول","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'معقول' is a natural MSA rendering of the identified REASONABLE sense. The second identical word adds no intended meaning here.","معقول","true","AI-assisted linguistic review","[]","2771","2","review","uncertain","معقول","معقولمعقول","معقول","true","accidental"
"h2916:t1","KILL","قتل قتل","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'قتل' is a natural MSA rendering of the identified KILL sense. The second identical word adds no intended meaning here.","قتل","true","AI-assisted linguistic review","[]","2916","1","review","uncertain","قتل","قتلقتل","قتل","true","accidental"
"h3147:t1","GUN","بندقية بندقية","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'بندقية' is a natural MSA rendering of the identified GUN sense. The second identical word adds no intended meaning here.","بندقية","true","AI-assisted linguistic review","[]","3147","1","review","uncertain","بندقية","بندقيةبندقية","بندقية","true","accidental"
"h3257:t0","OUTLET","منفذ منفذ","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'منفذ' is a natural MSA rendering of the identified OUTLET sense. The second identical word adds no intended meaning here.","منفذ","true","AI-assisted linguistic review","[]","3257","0","review","uncertain","منفذ","منفذمنفذ","منفذ","true","accidental"
"h3903:t3","ALARM","إنذار إنذار","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'إنذار' is a natural MSA rendering of the identified ALARM sense. The second identical word adds no intended meaning here.","إنذار","true","AI-assisted linguistic review","[]","3903","3","review","uncertain","إنذار","إنذارإنذار","إنذار","true","accidental"
"h4244:t0","VENTURE","مشروع مشروع","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'مشروع' is a natural MSA rendering of the identified VENTURE sense. The second identical word adds no intended meaning here.","مشروع","true","AI-assisted linguistic review","[]","4244","0","review","uncertain","مشروع","مشروعمشروع","مشروع","true","accidental"
"h4321:t1","EAR","الأذن الأذن","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'الأذن' is a natural MSA rendering of the identified EAR sense. The second identical word adds no intended meaning here.","الأذن","true","AI-assisted linguistic review","[]","4321","1","review","uncertain","الأذن","الأذنالأذن","الأذن","true","accidental"
"h4551:t0","INDOOR","داخلي داخلي","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'داخلي' is a natural MSA rendering of the identified INDOOR sense. The second identical word adds no intended meaning here.","داخلي","true","AI-assisted linguistic review","[]","4551","0","review","uncertain","داخلي","داخليداخلي","داخلي","true","accidental"
"h4600:t1","MILL","مطحنة مطحنة","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'مطحنة' is a natural MSA rendering of the identified MILL sense. The second identical word adds no intended meaning here.","مطحنة","true","AI-assisted linguistic review","[]","4600","1","review","uncertain","مطحنة","مطحنةمطحنة","مطحنة","true","accidental"
"h4655:t0","RECORDER","مسجل مسجل","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'مسجل' is a natural MSA rendering of the identified RECORDER sense. The second identical word adds no intended meaning here.","مسجل","true","AI-assisted linguistic review","[]","4655","0","review","uncertain","مسجل","مسجلمسجل","مسجل","true","accidental"
"h4714:t0","PAD","وسادة وسادة","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'وسادة' is a natural MSA rendering of the identified PAD sense. The second identical word adds no intended meaning here.","وسادة","true","AI-assisted linguistic review","[]","4714","0","review","uncertain","وسادة","وسادةوسادة","وسادة","true","accidental"
"h5301:t2","ISLAM","الإسلام”","[""possibly-malformed""]","approved","msa","high","editorial-residue","Remove the stray closing quotation mark from this otherwise valid MSA rendering.","الإسلام","true","AI-assisted linguistic review","[]","5301","2","review","uncertain","الإسلام","الإسلام”","الإسلام","true",""
"h5329:t0","ACUTE","حاد حاد","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'حاد' is a natural MSA rendering of the identified ACUTE sense. The second identical word adds no intended meaning here.","حاد","true","AI-assisted linguistic review","[]","5329","0","review","uncertain","حاد","حادحاد","حاد","true","accidental"
"h5449:t1","PLANNER","مخطط مخطط","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'مخطط' is a natural MSA rendering of the identified PLANNER sense. The second identical word adds no intended meaning here.","مخطط","true","AI-assisted linguistic review","[]","5449","1","review","uncertain","مخطط","مخططمخطط","مخطط","true","accidental"
"h5538:t0","SPECTACULAR","مذهلة مذهلة","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'مذهلة' is a natural MSA rendering of the identified SPECTACULAR sense. The second identical word adds no intended meaning here.","مذهلة","true","AI-assisted linguistic review","[]","5538","0","review","uncertain","مذهلة","مذهلةمذهلة","مذهلة","true","accidental"
"h5648:t0","SUCKING","مص مص","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'مص' is a natural MSA rendering of the identified SUCKING sense. The second identical word adds no intended meaning here.","مص","true","AI-assisted linguistic review","[]","5648","0","review","uncertain","مص","مصمص","مص","true","accidental"
"h5862:t0","AUTOS","السيارات السيارات","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'السيارات' expresses the ordinary AUTOS sense; the second identical token adds no intended meaning here. Apply the natural single form.","السيارات","true","AI-assisted linguistic review","[]","5862","0","review","uncertain","السيارات","السياراتالسيارات","السيارات","true","accidental"
"h6044:t0","STREAMING","تدفق تدفق","[""repeated-word""]","approved","msa","high","accidental-repetition","The single form 'تدفق' is a natural MSA rendering of the identified STREAMING sense. The second identical word adds no intended meaning here.","تدفق","true","AI-assisted linguistic review","[]","6044","0","review","uncertain","تدفق","تدفقتدفق","تدفق","true","accidental"
