"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","sense"
"527","0","SELL","بيع","approved","msa","high","true","true","true","true","verb","natural-preferred","SELL — بيع: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","527:0","بيع","false",""
"528","0","OPTIONS","خيارات","approved","msa","high","true","true","true","true","noun","natural-preferred","OPTIONS — خيارات: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","528:0","خيارات","false",""
"528","1","OPTIONS","الخيارات","approved","msa","high","true","true","false","false","noun","valid-alternative","OPTIONS — الخيارات: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","528:1","خيارات","false",""
"529","0","EXPERIENCE","خبرة","approved","msa","high","true","true","true","true","noun","natural-preferred","EXPERIENCE — خبرة (practical expertise): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","529:0","الخبرة","false","practical expertise"
"529","1","EXPERIENCE","التجربة","approved","msa","high","true","true","false","false","noun","valid-alternative","EXPERIENCE — التجربة (an experience): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","529:1","الخبرة","false","an experience"
"529","2","EXPERIENCE","الخبرة","approved","msa","high","true","true","false","false","noun","valid-alternative","EXPERIENCE — الخبرة (practical expertise): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","529:2","الخبرة","false","practical expertise"
"529","3","EXPERIENCE","الخبرات","approved","msa","high","true","true","false","false","noun","valid-alternative","EXPERIENCE — الخبرات (accumulated experience): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","529:3","الخبرة","false","accumulated experience"
"529","4","EXPERIENCE","تجربة","approved","msa","high","true","true","true","true","noun","natural-preferred","EXPERIENCE — تجربة (an experience): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","529:4","الخبرة","false","an experience"
"530","0","RATES","المعدلات","approved","msa","high","true","true","false","false","noun","valid-alternative","RATES — المعدلات: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","530:0","المعدلات","false",""
"530","1","RATES","معدلات","approved","msa","high","true","true","true","true","noun","natural-preferred","RATES — معدلات: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","530:1","المعدلات","false",""
"531","0","CREATE","يخلق","approved","msa","high","true","true","false","false","verb","valid-alternative","CREATE — يخلق: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","531:0","إنشاء","false",""
"531","1","CREATE","خلق","approved","msa","high","true","true","false","false","verb","valid-alternative","CREATE — خلق: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","531:1","إنشاء","false",""
"531","2","CREATE","انشاء","review","msa","medium","","","","","verb","orthography-review","CREATE — انشاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","531:2","إنشاء","false",""
"531","3","CREATE","انشئ","review","msa","medium","","","","","verb","orthography-review","CREATE — انشئ: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","531:3","إنشاء","false",""
"531","4","CREATE","إنشاء","approved","msa","high","true","true","true","true","verb","natural-preferred","CREATE — إنشاء: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","531:4","إنشاء","false",""
"532","0","KEY","المفتاح","approved","msa","high","true","true","false","false","noun","valid-alternative","KEY — المفتاح: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","532:0","مفتاح","false",""
"532","1","KEY","مفتاح","approved","msa","high","true","true","true","true","noun","natural-preferred","KEY — مفتاح: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","532:1","مفتاح","false",""
"533","0","BODY","الجسد","approved","msa","high","true","true","false","false","noun","valid-alternative","BODY — الجسد: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","533:0","الجسم","false",""
"533","1","BODY","جسم","approved","msa","high","true","true","true","true","noun","natural-preferred","BODY — جسم: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","533:1","الجسم","false",""
"533","2","BODY","جثة","approved","msa","high","true","true","false","false","noun","valid-alternative","BODY — جثة (dead body): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","533:2","الجسم","false","dead body"
"533","3","BODY","جسد","approved","msa","high","true","true","false","false","noun","valid-alternative","BODY — جسد: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","533:3","الجسم","false",""
"533","4","BODY","الجسم","approved","msa","high","true","true","false","false","noun","valid-alternative","BODY — الجسم: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","533:4","الجسم","false",""
"534","0","YOUNG","شاب","approved","msa","high","true","true","true","true","adjective","natural-preferred","YOUNG — شاب: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","534:0","الشباب","false",""
"534","1","YOUNG","شابة","approved","msa","high","true","true","false","false","adjective","valid-alternative","YOUNG — شابة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","534:1","الشباب","false",""
"534","2","YOUNG","صغار","approved","msa","high","true","true","false","false","adjective","valid-alternative","YOUNG — صغار: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","534:2","الشباب","false",""
"534","3","YOUNG","الشباب","review","msa","medium","","","","","adjective","construction-or-sense-review","YOUNG — الشباب: الشباب is youth/young people; an isolated adjective-to-collective reading needs confirmation.","AI-assisted linguistic review","[]","534:3","الشباب","true",""
"536","0","IMPORTANT","هام","approved","msa","high","true","true","false","false","adjective","valid-alternative","IMPORTANT — هام: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","536:0","مهم","false",""
"536","1","IMPORTANT","مهمة","approved","msa","high","true","true","false","false","adjective","valid-alternative","IMPORTANT — مهمة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","536:1","مهم","false",""
"536","2","IMPORTANT","مهم","approved","msa","high","true","true","true","true","adjective","natural-preferred","IMPORTANT — مهم: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","536:2","مهم","false",""
"536","3","IMPORTANT","المهم","approved","msa","high","true","true","false","false","adjective","valid-alternative","IMPORTANT — المهم: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","536:3","مهم","false",""
"537","0","FIELD","الميدان","approved","msa","high","true","true","false","false","noun","valid-alternative","FIELD — الميدان (field of activity): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","537:0","حقل","false","field of activity"
"537","1","FIELD","حقل","approved","msa","high","true","true","true","true","noun","natural-preferred","FIELD — حقل (land): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","537:1","حقل","false","land"
"537","2","FIELD","الحقل","approved","msa","high","true","true","false","false","noun","valid-alternative","FIELD — الحقل (land): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","537:2","حقل","false","land"
"537","3","FIELD","ميدان","approved","msa","high","true","true","false","false","noun","valid-alternative","FIELD — ميدان (field of activity): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","537:3","حقل","false","field of activity"
"538","0","FEW","قليلون","approved","msa","high","true","true","false","false","determiner","valid-alternative","FEW — قليلون: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","538:0","عدد قليل","false",""
"538","1","FEW","قليلة","approved","msa","high","true","true","false","false","determiner","valid-alternative","FEW — قليلة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","538:1","عدد قليل","false",""
"538","2","FEW","قلة","approved","msa","high","true","true","false","false","determiner","valid-alternative","FEW — قلة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","538:2","عدد قليل","false",""
"538","3","FEW","عدد قليل","approved","msa","high","true","true","true","true","determiner","natural-preferred","FEW — عدد قليل: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","538:3","عدد قليل","false",""
"539","0","EAST","شرقي","approved","msa","high","true","true","false","false","noun/adjective/adverb","valid-alternative","EAST — شرقي: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","539:0","الشرق","false",""
