"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","sense"
"1082","0","CABLE","كيبل","review","uncertain","medium","","","","","noun","register-review","CABLE — كيبل: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1082:0","كابل","false",""
"1084","0","TAKING","اخذ","review","msa","medium","","","","","verb","orthography-review","TAKING — اخذ: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1084:0","أخذ","false",""
"1087","0","COMING","ات","review","msa","medium","","","","","adjective","orthography-review","COMING — ات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1087:0","قادمة","false",""
"1092","0","MACHINE","الة","review","msa","medium","","","","","noun","orthography-review","MACHINE — الة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1092:0","آلة","false",""
"1092","2","MACHINE","الالة","review","msa","medium","","","","","noun","orthography-review","MACHINE — الالة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1092:2","آلة","false",""
"1092","4","MACHINE","ماكنة","review","uncertain","medium","","","","","noun","register-review","MACHINE — ماكنة: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1092:4","آلة","false",""
"1098","0","STATISTICS","احصاءات","review","msa","medium","","","","","noun","orthography-review","STATISTICS — احصاءات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:0","الإحصاءات","false",""
"1098","1","STATISTICS","الاحصائيات","review","msa","medium","","","","","noun","orthography-review","STATISTICS — الاحصائيات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:1","الإحصاءات","false",""
"1098","2","STATISTICS","الاحصاءات","review","msa","medium","","","","","noun","orthography-review","STATISTICS — الاحصاءات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:2","الإحصاءات","false",""
"1098","3","STATISTICS","الاحصاء","review","msa","medium","","","","","noun","orthography-review","STATISTICS — الاحصاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:3","الإحصاءات","false",""
"1098","4","STATISTICS","احصائيات","review","msa","medium","","","","","noun","orthography-review","STATISTICS — احصائيات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:4","الإحصاءات","false",""
"1103","0","FOLLOW","متابعه","review","msa","medium","","","","","verb","orthography-review","FOLLOW — متابعه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1103:0","تابع","false",""
"1105","0","INVESTMENT","للاستثمار","review","msa","medium","","","","","noun","construction-or-sense-review","INVESTMENT — للاستثمار: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1105:0","الاستثمار","false",""
