seed,size,mode,policy,reason,solverAttempts,timeoutChecks,viableTemplates,validationErrors,qualityErrors
"1","7","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","142","24","[]","[]"
"1","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","24","6","[]","[]"
"1","9","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","134","48","24","[]","[]"
"1","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","363","36","24","[]","[]"
"1","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","8","9","6","[]","[]"
"1","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"2","7","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","114","24","[]","[]"
"2","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","35","6","[]","[]"
"2","9","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","119","49","24","[]","[]"
"2","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","44","6","[]","[]"
"2","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","359","37","24","[]","[]"
"2","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","15","6","[]","[]"
"2","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"3","7","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","125","24","[]","[]"
"3","9","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","151","42","24","[]","[]"
"3","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","34","6","[]","[]"
"3","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","370","33","24","[]","[]"
"3","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","38","6","[]","[]"
"3","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
