priority,category,english,arabic,source_ids,reason,suggestion
"2","abbreviation","THE","ال","h0:t0","likely normal word; abbreviation-source match alone does not establish a nonlexical sense",""
"2","editorial-note","MY","لي (ضمير ملكية)","h37:t1","Parenthetical/bracketed text; review before treating as an answer",""
"2","abbreviation","OUT","اخرج","h57:t0","likely normal word; abbreviation-source match alone does not establish a nonlexical sense",""
"2","abbreviation","OUT","خارج","h57:t1","likely normal word; abbreviation-source match alone does not establish a nonlexical sense",""
"2","abbreviation","OUT","خارجا","h57:t2","likely normal word; abbreviation-source match alone does not establish a nonlexical sense",""
"2","abbreviation","OUT","خرج","h57:t3","likely normal word; abbreviation-source match alone does not establish a nonlexical sense",""
"2","transliteration","MUSIC","موسيقى","h118:t0","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","transliteration","MUSIC","موسيقي","h118:t1","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","abbreviation","JAN","يناير","h142:t0","uncertain; abbreviation-source match alone does not establish a nonlexical sense",""
"2","abbreviation","JAN","جان","h142:t1","uncertain; abbreviation-source match alone does not establish a nonlexical sense",""
"2","abbreviation","JAN","يان","h142:t2","uncertain; abbreviation-source match alone does not establish a nonlexical sense",""
"2","editorial-note","DID","فعل (ماضي)","h214:t1","Parenthetical/bracketed text; review before treating as an answer",""
"2","transliteration","INTERNET","انترنت","h230:t1","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","transliteration","LONG","لونغ","h244:t0","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","transliteration","BLACK","بلاك","h249:t2","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","transliteration","LINK","لينك","h260:t1","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","transliteration","AMERICAN","امريكيون","h279:t1","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","transliteration","NORTH","نورث","h300:t0","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","abbreviation","USA","امريكا","h330:t0","clear abbreviation/acronym; abbreviation-source match alone does not establish a nonlexical sense",""
"2","english-acronym","USA","امريكا","h330:t0","Explicit acronym/abbreviation hint; no automatic exclusion",""
"2","proper-name","JOHN","جون","h345:t0","Known name spelling; lexical senses may also exist",""
"2","proper-name","JOHN","يوحنا","h345:t1","Known name spelling; lexical senses may also exist",""
"2","proper-name","JOHN","جون جون","h345:t2","Known name spelling; lexical senses may also exist",""
"2","transliteration","CARD","كارد","h383:t2","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","transliteration","CANADA","كندا","h397:t0","Approximate consonant skeleton match; loanwords and coincidences are valid possibilities",""
"2","brand-name","WINDOWS","النوافذ","h421:t0","Known brand/product spelling; lexical senses may also exist",""
