"sourceId","english","arabic","field","before","after","reason","confidence","applied"
"1836:1","AMATEUR","هاوية","status","review","approved","هاوية is the regular feminine of amateur. The unrelated abyss homograph does not invalidate this person sense; crossings help.","high","true"
"1836:1","AMATEUR","هاوية","allowedForEnToAr","","true","هاوية is the regular feminine of amateur. The unrelated abyss homograph does not invalidate this person sense; crossings help.","high","true"
"1836:1","AMATEUR","هاوية","allowedForArToEn","","true","هاوية is the regular feminine of amateur. The unrelated abyss homograph does not invalidate this person sense; crossings help.","high","true"
"1836:1","AMATEUR","هاوية","preferredForEnToAr","","false","هاوية is the regular feminine of amateur. The unrelated abyss homograph does not invalidate this person sense; crossings help.","high","true"
"1836:1","AMATEUR","هاوية","preferredForArToEn","","false","هاوية is the regular feminine of amateur. The unrelated abyss homograph does not invalidate this person sense; crossings help.","high","true"
"1858:3","ICE","جليد","sense","frozen water","","Natural frozen-water noun for ice.","high","true"
"4751:2","SAD","محزن","sense","","saddening","محزن expresses sad in sad news, distinct from feeling sad. Add a short relationship-specific sense to distinguish the causal adjective.","high","true"
"1664:2","HITS","الزيارات","status","approved","review","Web visits and individual server hits are not identical units. Leave this common loose usage for sense review rather than approve it merely as a familiar web term.","high","true"
"1664:2","HITS","الزيارات","allowedForEnToAr","true","","Web visits and individual server hits are not identical units. Leave this common loose usage for sense review rather than approve it merely as a familiar web term.","high","true"
"1664:2","HITS","الزيارات","allowedForArToEn","true","","Web visits and individual server hits are not identical units. Leave this common loose usage for sense review rather than approve it merely as a familiar web term.","high","true"
"1664:2","HITS","الزيارات","preferredForEnToAr","false","","Web visits and individual server hits are not identical units. Leave this common loose usage for sense review rather than approve it merely as a familiar web term.","high","true"
"1664:2","HITS","الزيارات","preferredForArToEn","false","","Web visits and individual server hits are not identical units. Leave this common loose usage for sense review rather than approve it merely as a familiar web term.","high","true"
