"mode","pattern","beforeUniqueAnswers","afterUniqueAnswers","scope"
"ar_to_en","????????U??","1","3","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??????PI?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??????PR?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","????A?F??","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","????A?N??","0","4","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","????S?F??","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","????S?N??","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","???AK?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","???RK?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??A??????????","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??C??????????","1","3","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??C??O","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??D??????????","1","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??E??????????","1","5","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??F?S????","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??G??????????","1","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??I?????I??","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??I?????N??","1","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??K????","1","3","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??M??????????","1","3","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??M????B?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??M????I?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??MY?????","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??N??????????","1","6","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??O??????????","1","5","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??OI","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??P??????????","1","2","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??R??????????","0","3","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??U????????","1","3","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","??V??????????","1","2","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?D??T????","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?DC","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?EO??????","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?EU??????","0","2","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?FS","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?GS","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?IC","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?IP??????","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?KM???","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?KR","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?KS","0","2","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?LE","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?M?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?M??A","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?MK?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?NS","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?O??????A","0","2","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?O??????P","0","3","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?OA??????","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?RP??????","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?RS","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?TC??????","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?TE??????","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?TL??????","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?TV??????","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?U??A????","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?W??T","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?WG","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","?WS","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","A?M","0","2","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","AH?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","AO?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","AT?","1","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","AU?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","AY?","1","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","B?M","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","CC?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","CD?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","CE?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","CI?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","CS?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","DD?","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","DR?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","DT?","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","E?I","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","EA?","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","EA?????","0","2","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","EAU????","0","0","13-cell indexed pool before sampling; ignores used-word constraints"
"ar_to_en","EC?","0","1","13-cell indexed pool before sampling; ignores used-word constraints"
