"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"2765","1","DOT","دوت","review","uncertain","medium","","","","","noun","register-review","DOT — دوت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2765:1","دوت","true"
"2811","0","DON","دون","review","uncertain","medium","","","","","uncertain","register-review","DON — دون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2811:0","دون","true"
"2229","2","THEATRE","المسرح المسرحي","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","THEATRE — المسرح المسرحي: المسرح المسرحي is tautological and not a natural isolated equivalent; preserve text pending repair.","AI-assisted linguistic review","[]","2229:2","المسرح المسرحي","true"
"3265","1","PAN","عموم","review","msa","medium","","","","","uncertain","construction-or-sense-review","PAN — عموم: عموم may reflect the bound prefix pan- rather than the ordinary cookware verb/noun; leave unresolved.","AI-assisted linguistic review","[]","3265:1","عموم","true"
"1708","0","PET","الحيوانات الأليفة","review","msa","medium","","","","","noun","construction-or-sense-review","PET — الحيوانات الأليفة: The plural animals expression lacks the singular pet reading without context; review the relationship rather than reject mere morphology.","AI-assisted linguistic review","[]","1708:0","الحيوانات الأليفة","true"
"1724","4","CONNECT","الاتصال","review","msa","medium","","","","","verb","construction-or-sense-review","CONNECT — الاتصال: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1724:4","الاتصال","true"
"1836","2","AMATEUR","الهواة","review","msa","medium","","","","","noun","construction-or-sense-review","AMATEUR — الهواة: الهواة is collective/plural; review learner presentation without rejecting the legitimate root meaning.","AI-assisted linguistic review","[]","1836:2","الهواة","true"
"3509","1","WOW","نجاح باهر","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","WOW — نجاح باهر: نجاح باهر means resounding success; it is not the interjection wow. A colloquial English noun sense needs separate support.","AI-assisted linguistic review","[]","3509:1","نجاح باهر","true"
"3615","1","TAB","لسان","review","msa","medium","","","","","noun","construction-or-sense-review","TAB — لسان: لسان can mean a projecting tab in a compound, but the bare tongue clue needs sense support.","AI-assisted linguistic review","[]","3615:1","لسان","true"
"2155","1","FOLLOWS","فيما يلي","review","msa","medium","","","","","verb","construction-or-sense-review","FOLLOWS — فيما يلي: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2155:1","فيما يلي","true"
"2200","2","WHOLESALE","الجملة","review","msa","medium","","","","","noun","construction-or-sense-review","WHOLESALE — الجملة: الجملة needs the trading construction to establish wholesale rather than sentence; review rather than synonym restriction.","AI-assisted linguistic review","[]","2200:2","الجملة","true"
"2217","0","BROTHER","اخي","review","msa","medium","","","","","noun","orthography-review","BROTHER — اخي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2217:0","اخي","true"
"2362","2","VINTAGE","خمر","review","msa","medium","","","","","noun","construction-or-sense-review","VINTAGE — خمر: خمر is wine generically, not a vintage/year or the adjective vintage. A specialized sense requires review.","AI-assisted linguistic review","[]","2362:2","خمر","true"
"3009","1","CONTINUES","تابع","review","msa","medium","","","","","verb","construction-or-sense-review","CONTINUES — تابع: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","3009:1","تابع","true"
"2444","0","MANAGED","تدار","review","msa","medium","","","","","verb","construction-or-sense-review","MANAGED — تدار: تدار is present passive is managed; the headword may be participial but the isolated temporal mapping is unclear.","AI-assisted linguistic review","[]","2444:0","تدار","true"
"2531","0","PERFORMED","أداء","review","msa","medium","","","","","verb","construction-or-sense-review","PERFORMED — أداء: أداء gives performance/the action, while performed asserts a completed act; review the construction rather than reject every verbal-noun equivalent.","AI-assisted linguistic review","[]","2531:0","أداء","true"
"2667","1","SEEKING","البحث","review","msa","medium","","","","","noun","construction-or-sense-review","SEEKING — البحث: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2667:1","البحث","true"
"2734","3","CIRCUIT","دائرة الدائرة","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","CIRCUIT — دائرة الدائرة: دائرة الدائرة is a duplicated genitive construction, not the natural circuit label; preserve pending repair.","AI-assisted linguistic review","[]","2734:3","دائرة الدائرة","true"
"4458","1","TOE","اصبع القدم","review","msa","medium","","","","","noun","orthography-review","TOE — اصبع القدم: The intended toe expression is recognizable but اصبع lacks its initial hamza; defer text correction.","AI-assisted linguistic review","[]","4458:1","اصبع القدم","true"
"3106","1","BIOGRAPHY","السيرة الذاتية","review","msa","medium","","","","","noun","construction-or-sense-review","BIOGRAPHY — السيرة الذاتية: السيرة الذاتية usually denotes autobiography/CV; a broader biography reading needs context.","AI-assisted linguistic review","[]","3106:1","السيرة الذاتية","true"
"3231","2","THREADS","المواضيع","review","msa","medium","","","","","noun","construction-or-sense-review","THREADS — المواضيع: المواضيع can be discussion threads in a forum, but the isolated topic/thread relationship needs context.","AI-assisted linguistic review","[]","3231:2","المواضيع","true"
"1682","0","SETTING","إعداد الإعداد","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","SETTING — إعداد الإعداد: إعداد الإعداد repeats the noun inside an unnatural genitive construction; preserve but withhold both directions pending repair.","AI-assisted linguistic review","[]","1682:0","إعداد الإعداد","true"
"1718","1","AFRICAN","افريقي","review","msa","medium","","","","","adjective","orthography-review","AFRICAN — افريقي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1718:1","افريقي","true"
"3354","0","DEPENDING","حسب","review","msa","medium","","","","","preposition","construction-or-sense-review","DEPENDING — حسب: حسب works in depending on constructions; the isolated word loses the dependency complement and needs review.","AI-assisted linguistic review","[]","3354:0","حسب","true"
"3465","4","DRAWING","رسم الرسم","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","DRAWING — رسم الرسم: رسم الرسم duplicates the noun; withhold the malformed standalone label without silently removing words.","AI-assisted linguistic review","[]","3465:4","رسم الرسم","true"
"1909","1","DOLLARS","دولار","review","msa","medium","","","","","noun","construction-or-sense-review","DOLLARS — دولار: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1909:1","دولار","true"
"4141","1","EXHIBIT","معرض","review","msa","medium","","","","","noun","construction-or-sense-review","EXHIBIT — معرض: معرض can be an exhibition/showroom; defer the individual-exhibit mapping rather than broadly reject secondary uses.","AI-assisted linguistic review","[]","4141:1","معرض","true"
"1957","1","ITALIAN","الايطالية","review","msa","medium","","","","","noun","orthography-review","ITALIAN — الايطالية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1957:1","الايطالية","true"
"1958","0","PAPERBACK","غلاف ورقي","review","msa","medium","","","","","noun","construction-or-sense-review","PAPERBACK — غلاف ورقي: غلاف ورقي denotes a paper cover; the dictionary may intend the binding rather than the book, so leave the standalone noun mapping unresolved.","AI-assisted linguistic review","[]","1958:0","غلاف ورقي","true"
"2020","1","AFFILIATE","التابعة لها","review","msa","medium","","","","","adjective","construction-or-sense-review","AFFILIATE — التابعة لها: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2020:1","التابعة لها","true"
"1661","2","FORMER","السابقون","review","msa","medium","","","","","noun","construction-or-sense-review","FORMER — السابقون: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1661:2","السابقون","true"
"2685","1","CERTIFICATION","الشهادات","review","msa","medium","","","","","noun","construction-or-sense-review","CERTIFICATION — الشهادات: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2685:1","الشهادات","true"
