"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","preferredForEnToAr","preferredForArToEn","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason"
"7","0","IS","هو كذلك","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds a subject and “so”; a whole response is not the isolated copula.","AI-assisted linguistic review","","false","false","false","stage3a:h7:t0","review","uncertain","هو كذلك","هوكذلك","هوكذلك","هو كذلك","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"13","0","I","أولاً","rejected","msa","high","incorrect-or-mismatched-equivalent","Ordinal “first”, not the first-person pronoun.","AI-assisted linguistic review","","false","false","false","stage3a:h13:t0","review","uncertain","أولاً","أولا","أولا","أولاً","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"14","1","YOU","انتي","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h14:t1","review","uncertain","انتي","انتي","انتي","أنت.","false",""
"18","0","ARE","نعم.","rejected","msa","high","incorrect-or-mismatched-equivalent","Affirmative “yes”, not a form of be.","AI-assisted linguistic review","","false","false","false","stage3a:h18:t0","review","uncertain","نعم.","نعم","نعم","نعم.","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"22","0","YOUR","تك","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Detached suffix fragment; not a standalone natural Arabic equivalent.","AI-assisted linguistic review","","false","false","false","stage3a:h22:t0","review","uncertain","تك","تك","تك","الخاص بك","false",""
"26","1","MORE","اكتر","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h26:t1","review","uncertain","اكتر","اكتر","اكتر","المزيد","false",""
"30","1","WILL","راح","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h30:t1","review","uncertain","راح","راح","راح","ويل","false",""
"33","0","US","نحن","rejected","msa","high","incorrect-or-mismatched-equivalent","Subject pronoun “we”; does not represent the object pronoun us.","AI-assisted linguistic review","","false","false","false","stage3a:h33:t0","review","uncertain","نحن","نحن","نحن","نحن","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"41","1","BUT","بس","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h41:t1","review","uncertain","بس","بس","بس","لكن","false",""
"53","2","WHAT","ايش","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h53:t2","review","uncertain","ايش","ايش","ايش","ما هذا؟","false",""
"53","3","WHAT","شنو","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h53:t3","review","uncertain","شنو","شنو","شنو","ما هذا؟","false",""
"63","0","SO","أجل.","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Means yes; does not establish a standalone equivalent for so.","AI-assisted linguistic review","","false","false","false","stage3a:h63:t0","review","uncertain","أجل.","أجل","أجل","أجل.","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"64","0","HIS","ده","rejected","dialect","high","incorrect-or-mismatched-equivalent","Egyptian demonstrative “this”, not his.","AI-assisted linguistic review","","false","false","false","stage3a:h64:t0","review","uncertain","ده","ده","ده","له","false",""
"69","1","WHO","اللي","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h69:t1","review","uncertain","اللي","اللي","اللي","مَن","false",""
"71","1","ALSO","كمان","rejected","dialect","high","dialect-form","Colloquial form in this English sense; not suitable for the MSA-only learner pool. No replacement applied.","AI-assisted linguistic review","","false","false","false","stage3a:h71:t1","review","uncertain","كمان","كمان","كمان","أيضا","false",""
"78","0","AM","أنا.","rejected","msa","high","incorrect-or-mismatched-equivalent","First-person pronoun “I”, not the verb am.","AI-assisted linguistic review","","false","false","false","stage3a:h78:t0","review","uncertain","أنا.","أنا","أنا","أنا.","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"83","0","ME","أنا.","rejected","msa","high","incorrect-or-mismatched-equivalent","Subject pronoun “I”, not an object-pronoun equivalent.","AI-assisted linguistic review","","false","false","false","stage3a:h83:t0","review","uncertain","أنا.","أنا","أنا","أنا.","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"88","0","ITS","هاته","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Demonstrative form, not the third-person possessive its.","AI-assisted linguistic review","","false","false","false","stage3a:h88:t0","review","uncertain","هاته","هاته","هاته","هاته","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"90","2","SERVICE","الخدمات","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural services, not singular service.","AI-assisted linguistic review","","false","false","false","stage3a:h90:t2","review","uncertain","الخدمات","الخدمات","الخدمات","الخدمة","false",""
"93","1","PRICE","الاسعار","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural prices, not singular price.","AI-assisted linguistic review","","false","false","false","stage3a:h93:t1","review","uncertain","الاسعار","الاسعار","الاسعار","السعر","false",""
"93","2","PRICE","سعره","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds a possessive: its/his price.","AI-assisted linguistic review","","false","false","false","stage3a:h93:t2","review","uncertain","سعره","سعره","سعره","السعر","false",""
"110","1","WORLD","العالمي","rejected","msa","high","incorrect-or-mismatched-equivalent","Adjective global/worldwide, not the noun world.","AI-assisted linguistic review","","false","false","false","stage3a:h110:t1","review","uncertain","العالمي","العالمي","العالمي","العالم","false",""
"124","1","PRODUCT","منتجات","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural products, not singular product.","AI-assisted linguistic review","","false","false","false","stage3a:h124:t1","review","uncertain","منتجات","منتجات","منتجات","المنتج","false",""
"124","3","PRODUCT","المنتجات","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural products, not singular product.","AI-assisted linguistic review","","false","false","false","stage3a:h124:t3","review","uncertain","المنتجات","المنتجات","المنتجات","المنتج","false",""
"126","4","POST","الوظائف","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural jobs/posts, not a singular post.","AI-assisted linguistic review","","false","false","false","stage3a:h126:t4","review","uncertain","الوظائف","الوظائف","الوظائف","الوظائف","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"130","0","POLICY","السياسات","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural policies, not singular policy.","AI-assisted linguistic review","","false","false","false","stage3a:h130:t0","review","uncertain","السياسات","السياسات","السياسات","السياسة","false",""
"139","2","BEST","ضل","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Truncated/wrong lexical form, not best.","AI-assisted linguistic review","","false","false","false","stage3a:h139:t2","review","uncertain","ضل","ضل","ضل","أفضل","false",""
"144","0","VIDEO","بالفيديو","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds the preposition with/by to video.","AI-assisted linguistic review","","false","false","false","stage3a:h144:t0","review","uncertain","بالفيديو","بالفيديو","بالفيديو","فيديو","false",""
"152","3","SCHOOL","المدارس","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural schools, not singular school.","AI-assisted linguistic review","","false","false","false","stage3a:h152:t3","review","uncertain","المدارس","المدارس","المدارس","مدرسة","false",""
"172","0","DOES","لا يفعل","rejected","msa","high","incorrect-or-mismatched-equivalent","Negates the verb: does not do, instead of does.","AI-assisted linguistic review","","false","false","false","stage3a:h172:t0","review","uncertain","لا يفعل","لايفعل","لايفعل","لا يفعل","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"184","3","LIFE","حياته","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds a possessive: his life.","AI-assisted linguistic review","","false","false","false","stage3a:h184:t3","review","uncertain","حياته","حياته","حياته","حياته","true","Reference supports a relationship not certified by this review; reference is not authoritative."
"194","1","HOTEL","دق","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Means knocking/pounding, not hotel.","AI-assisted linguistic review","","false","false","false","stage3a:h194:t1","review","uncertain","دق","دق","دق","فندق","false",""
"195","0","REAL","ريال","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Currency/name transliteration, not the adjective real.","AI-assisted linguistic review","","false","false","false","stage3a:h195:t0","review","uncertain","ريال","ريال","ريال","حقيقي","false",""
"209","2","DETAILS","للتفاصيل","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds the preposition for/to to details.","AI-assisted linguistic review","","false","false","false","stage3a:h209:t2","review","uncertain","للتفاصيل","للتفاصيل","للتفاصيل","التفاصيل","false",""
