"sourceId","english","arabic","stratum","oldDecision"
"351:0","TITLE","اللقب","unapplied-qa","{""arabic"":""اللقب"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""appellation""}"
"516:3","ACT","تصرف","unapplied-qa","{""arabic"":""تصرف"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"173:2","SET","مجموعة","unapplied-qa","{""arabic"":""مجموعة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""collection""}"
"285:3","CARE","الرعاية","unapplied-qa","{""arabic"":""الرعاية"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"266:1","PROJECT","المشروع","unapplied-qa","{""arabic"":""المشروع"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"201:3","STORE","متجر","unapplied-qa","{""arabic"":""متجر"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""shop""}"
"404:2","CREDIT","رصيد","unapplied-qa","{""arabic"":""رصيد"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""account balance""}"
"275:0","RELATED","ذات صلة","unapplied-qa","{""arabic"":""ذات صلة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adjective phrase""}"
"201:1","STORE","المخزن","unapplied-qa","{""arabic"":""المخزن"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""storage place""}"
"194:2","HOTEL","فندق","unapplied-qa","{""arabic"":""فندق"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"478:1","FEEDBACK","ردود الفعل","unapplied-qa","{""arabic"":""ردود الفعل"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"380:0","ARTICLE","مقالة","unapplied-qa","{""arabic"":""مقالة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""piece of writing""}"
"503:4","PAYMENT","دفع","unapplied-qa","{""arabic"":""دفع"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"242:4","FORUM","الملتقى","unapplied-qa","{""arabic"":""الملتقى"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"320:1","LOCATION","الموقع","unapplied-qa","{""arabic"":""الموقع"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"155:3","LINKS","الروابط","unapplied-qa","{""arabic"":""الروابط"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"331:0","RETURN","العودة","unapplied-qa","{""arabic"":""العودة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"514:4","STORES","مخازن","unapplied-qa","{""arabic"":""مخازن"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"68:3","BUSINESS","الأعمال","unapplied-qa","{""arabic"":""الأعمال"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"213:0","HOTELS","فنادق","unapplied-qa","{""arabic"":""فنادق"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"187:3","WAY","الطريقة","unapplied-qa","{""arabic"":""الطريقة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""method""}"
"460:2","BETTER","أفضل","unapplied-qa","{""arabic"":""أفضل"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"495:3","TAX","الضريبة","unapplied-qa","{""arabic"":""الضريبة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"179:2","MAIL","البريد الإلكتروني","unapplied-qa","{""arabic"":""البريد الإلكتروني"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""electronic mail""}"
"358:1","CLASS","الفصل","unapplied-qa","{""arabic"":""الفصل"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""school class""}"
"490:2","FINANCIAL","المالية","unapplied-qa","{""arabic"":""المالية"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"413:3","LOOK","انظر","unapplied-qa","{""arabic"":""انظر"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""verb"",""sense"":""look (imperative)""}"
"391:1","LEARN","تعلم","unapplied-qa","{""arabic"":""تعلم"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""verb""}"
"145:0","WELL","حسنا","unapplied-qa","{""arabic"":""حسنا"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adverb""}"
"219:2","LOCAL","المحلية","unapplied-qa","{""arabic"":""المحلية"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"399:0","TEEN","المراهق","unapplied-qa","{""arabic"":""المراهق"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"302:1","CURRENT","تيار","unapplied-qa","{""arabic"":""تيار"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""flow""}"
"96:4","TOP","أعلى","unapplied-qa","{""arabic"":""أعلى"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"198:3","CENTER","الوسط","unapplied-qa","{""arabic"":""الوسط"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""middle""}"
