size,mode,length,beforeIndexed,afterIndexed,beforeUnique,afterUnique,beforeSampledMedian,afterSampledMedian
"7","en_to_ar","2","47","50","40","42","47","50"
"7","en_to_ar","3","324","406","277","341","324","393"
"7","en_to_ar","4","617","826","567","730","437","392"
"7","en_to_ar","5","656","798","596","719","436","392"
"7","en_to_ar","6","475","596","438","545","436","392"
"7","en_to_ar","7","320","381","296","353","320","381"
"7","en_to_ar","8","0","0","0","0","0","0"
"7","en_to_ar","9","0","0","0","0","0","0"
"7","en_to_ar","10","0","0","0","0","0","0"
"7","en_to_ar","11","0","0","0","0","0","0"
"7","en_to_ar","12","0","0","0","0","0","0"
"7","en_to_ar","13","0","0","0","0","0","0"
"9","en_to_ar","2","50","54","42","45","50","54"
"9","en_to_ar","3","356","455","300","372","342","332"
"9","en_to_ar","4","709","1001","636","856","342","332"
"9","en_to_ar","5","806","1006","712","875","342","331"
"9","en_to_ar","6","596","778","536","682","341","331"
"9","en_to_ar","7","435","535","390","478","341","331"
"9","en_to_ar","8","167","201","155","183","167","201"
"9","en_to_ar","9","75","88","73","86","75","88"
"9","en_to_ar","10","0","0","0","0","0","0"
"9","en_to_ar","11","0","0","0","0","0","0"
"9","en_to_ar","12","0","0","0","0","0","0"
"9","en_to_ar","13","0","0","0","0","0","0"
"11","en_to_ar","2","50","54","42","45","50","54"
"11","en_to_ar","3","364","469","305","377","329","313"
"11","en_to_ar","4","727","1035","649","879","330","314"
"11","en_to_ar","5","853","1069","749","921","329","314"
"11","en_to_ar","6","624","819","557","711","329","314"
"11","en_to_ar","7","483","591","431","526","329","313"
"11","en_to_ar","8","178","219","163","197","178","219"
"11","en_to_ar","9","88","105","83","99","88","105"
"11","en_to_ar","10","22","31","22","30","22","31"
"11","en_to_ar","11","16","23","16","23","16","23"
"11","en_to_ar","12","0","0","0","0","0","0"
"11","en_to_ar","13","0","0","0","0","0","0"
"13","en_to_ar","2","50","54","42","45","50","54"
"13","en_to_ar","3","367","473","306","379","324","305"
"13","en_to_ar","4","731","1044","651","882","325","305"
"13","en_to_ar","5","870","1091","764","940","324","305"
"13","en_to_ar","6","631","830","562","717","324","305"
"13","en_to_ar","7","502","623","445","550","324","305"
"13","en_to_ar","8","180","228","165","205","180","228"
"13","en_to_ar","9","94","115","88","106","94","115"
"13","en_to_ar","10","24","33","23","31","24","33"
"13","en_to_ar","11","16","24","16","24","16","24"
"13","en_to_ar","12","13","16","13","16","13","16"
"13","en_to_ar","13","2","5","2","5","2","5"
"7","ar_to_en","2","15","15","15","15","15","15"
"7","ar_to_en","3","120","172","120","172","120","172"
"7","ar_to_en","4","269","292","269","292","269","292"
"7","ar_to_en","5","266","282","266","282","266","282"
"7","ar_to_en","6","239","258","239","258","239","258"
"7","ar_to_en","7","219","410","219","410","219","410"
"7","ar_to_en","8","0","0","0","0","0","0"
"7","ar_to_en","9","0","0","0","0","0","0"
"7","ar_to_en","10","0","0","0","0","0","0"
"7","ar_to_en","11","0","0","0","0","0","0"
"7","ar_to_en","12","0","0","0","0","0","0"
"7","ar_to_en","13","0","0","0","0","0","0"
"9","ar_to_en","2","15","15","15","15","15","15"
"9","ar_to_en","3","120","172","120","172","120","172"
"9","ar_to_en","4","269","292","269","292","269","292"
"9","ar_to_en","5","266","282","266","282","266","282"
"9","ar_to_en","6","239","258","239","258","239","258"
"9","ar_to_en","7","219","410","219","410","219","410"
"9","ar_to_en","8","167","178","167","178","167","178"
"9","ar_to_en","9","78","194","78","194","78","194"
"9","ar_to_en","10","0","0","0","0","0","0"
"9","ar_to_en","11","0","0","0","0","0","0"
"9","ar_to_en","12","0","0","0","0","0","0"
"9","ar_to_en","13","0","0","0","0","0","0"
"11","ar_to_en","2","15","15","15","15","15","15"
"11","ar_to_en","3","120","172","120","172","120","172"
"11","ar_to_en","4","269","292","269","292","269","292"
"11","ar_to_en","5","266","282","266","282","266","282"
"11","ar_to_en","6","239","258","239","258","239","258"
"11","ar_to_en","7","219","410","219","410","219","410"
"11","ar_to_en","8","167","178","167","178","167","178"
"11","ar_to_en","9","78","194","78","194","78","194"
"11","ar_to_en","10","54","59","54","59","54","59"
"11","ar_to_en","11","28","57","28","57","28","57"
"11","ar_to_en","12","0","0","0","0","0","0"
"11","ar_to_en","13","0","0","0","0","0","0"
"13","ar_to_en","2","15","15","15","15","15","15"
"13","ar_to_en","3","120","172","120","172","120","172"
"13","ar_to_en","4","269","292","269","292","269","292"
"13","ar_to_en","5","266","282","266","282","266","282"
"13","ar_to_en","6","239","258","239","258","239","258"
"13","ar_to_en","7","219","410","219","410","219","410"
"13","ar_to_en","8","167","178","167","178","167","178"
"13","ar_to_en","9","78","194","78","194","78","194"
"13","ar_to_en","10","54","59","54","59","54","59"
"13","ar_to_en","11","28","57","28","57","28","57"
"13","ar_to_en","12","14","15","14","15","14","15"
"13","ar_to_en","13","8","26","8","26","8","26"
