"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"546","3","GIRLS","لبنات","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","GIRLS — لبنات: لبنات denotes bricks/building blocks or contains an intrusive ل; it is not a natural translation of girls.","AI-assisted linguistic review","[]","546:3","بنات","false"
"550","2","SOMETHING","حاجه","rejected","dialect","high","false","false","false","false","pronoun","dialect","SOMETHING — حاجه: حاجه used for an indefinite something is colloquial and also has spelling issues. Do not substitute a new MSA expression.","AI-assisted linguistic review","[]","550:2","شيء ما","false"
"569","0","ALWAYS","دايما","rejected","dialect","high","false","false","false","false","adverb","dialect","ALWAYS — دايما: دايما in this spelling is the colloquial always form; the natural MSA alternative دائما is separately preserved.","AI-assisted linguistic review","[]","569:0","دائما","false"
"597","4","STAR","ستار","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","STAR — ستار: ستار means curtain or covering, not the English star sense; phonetic resemblance does not validate the relationship.","AI-assisted linguistic review","[]","597:4","نجمة","false"
"702","0","LOT","لوط","rejected","msa","high","false","false","false","false","noun/determiner","wrong-or-corrupt-relationship","LOT — لوط: لوط is the proper name Lot, not an approved general vocabulary meaning of LOT.","AI-assisted linguistic review","[]","702:0","الكثير","false"
"718","0","UPON","بعد الظهر","rejected","msa","high","false","false","false","false","preposition","wrong-or-corrupt-relationship","UPON — بعد الظهر: بعد الظهر means afternoon and does not express the preposition upon.","AI-assisted linguistic review","[]","718:0","بعد الظهر","true"
"784","3","MARK","علامة العلامة","rejected","msa","high","false","false","false","false","noun/verb","wrong-or-corrupt-relationship","MARK — علامة العلامة: علامة العلامة is an unexplained duplicated possessive phrase, not a normal learner equivalent of mark.","AI-assisted linguistic review","[]","784:3","علامة العلامة","true"
"848","2","CAMERA","كاميرا الكاميرا","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","CAMERA — كاميرا الكاميرا: كاميرا الكاميرا is an unexplained duplicated phrase, not a natural vocabulary translation of camera.","AI-assisted linguistic review","[]","848:2","كاميرا الكاميرا","true"
"878","2","ENGINEERING","الهندسة الهندسية","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","ENGINEERING — الهندسة الهندسية: الهندسة الهندسية is redundant engineering engineering; do not silently remove the adjective.","AI-assisted linguistic review","[]","878:2","الهندسة الهندسية","true"
"884","4","LICENSE","ترخيص الترخيص","rejected","msa","high","false","false","false","false","noun/verb","wrong-or-corrupt-relationship","LICENSE — ترخيص الترخيص: ترخيص الترخيص is an unexplained repetition/possessive construction, not a natural license equivalent.","AI-assisted linguistic review","[]","884:4","ترخيص الترخيص","true"
"897","1","CHURCH","كنيست","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","CHURCH — كنيست: كنيست refers to Knesset rather than church; a similar written form is not sufficient translation evidence.","AI-assisted linguistic review","[]","897:1","الكنيسة","false"
"962","1","COPY","علم","rejected","msa","high","false","false","false","false","noun/verb","wrong-or-corrupt-relationship","COPY — علم: علم means knowledge/science/flag or a distinct verb, not a natural copy equivalent.","AI-assisted linguistic review","[]","962:1","نسخ","false"
"994","2","SCREEN","شاشة الشاشة","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","SCREEN — شاشة الشاشة: شاشة الشاشة is an unexplained duplicated possessive phrase, not a natural screen equivalent.","AI-assisted linguistic review","[]","994:2","شاشة الشاشة","true"
"1040","0","CAME","جيت","rejected","dialect","high","false","false","false","false","verb","dialect","CAME — جيت: جيت is the colloquial came form in this relationship; جاء remains the separate approved MSA equivalent.","AI-assisted linguistic review","[]","1040:0","جاء","false"
"1065","0","CAREER","مسير","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","CAREER — مسير: مسير is a march/course without the professional sense needed for career; not a natural learner-facing career equivalent as stored.","AI-assisted linguistic review","[]","1065:0","مسيرته المهنية","false"
"1070","1","BRITISH","بريطانيا","rejected","msa","high","false","false","false","false","adjective/noun","wrong-or-corrupt-relationship","BRITISH — بريطانيا: بريطانيا is Britain, a country, not British as a person/adjective. This changes the referent rather than naturally adapting morphology.","AI-assisted linguistic review","[]","1070:1","البريطانيون","false"
