"sourceId","english","arabic","field","before","after","reason","confidence","applied"
"546:3","GIRLS","لبنات","status","rejected","review","لبنات can be ل plus بنات meaning for girls, as well as bricks; the earlier categorical wrong-meaning rejection is too strong. Review the construction and retain both exclusions until resolved.","high","true"
"878:2","ENGINEERING","الهندسة الهندسية","status","rejected","review","الهندسة الهندسية is redundant but its technical intent is not proven impossible. Move categorical corruption rejection to review while retaining both exclusions; do not delete words.","high","true"
"1065:0","CAREER","مسير","status","rejected","review","مسير can denote a course/progress, overlapping a broad career trajectory. The professional reading is not established, so review with existing exclusions instead of categorical rejection.","high","true"
"1018:2","MIND","العقل","partOfSpeech","noun/verb","noun","العقل expresses mind/intellect. Record the English noun sense rather than carrying the unrelated verb POS.","high","true"
"740:2","RECORDS","المحاضر","sense","","official minutes","المحاضر are minutes/official records, a legitimate distinct RECORDS sense.","high","true"
"709:1","DIRECTOR","مدير","preferredForEnToAr","true","false","مدير is a valid manager/director sense and remains allowed. Whether it should be preferred over the separate film-director sense is context-dependent; the proposed preference downgrade is medium-confidence only.","medium","false"
"709:1","DIRECTOR","مدير","preferredForArToEn","true","false","مدير is a valid manager/director sense and remains allowed. Whether it should be preferred over the separate film-director sense is context-dependent; the proposed preference downgrade is medium-confidence only.","medium","false"
"820:3","WATCH","مشاهدة","partOfSpeech","noun/verb","verb","مشاهدة is the watching event corresponding to the verb WATCH; avoid labelling the timepiece noun for this relationship.","high","true"
"870:1","SORT","فرز","partOfSpeech","noun/verb","verb","فرز names sorting, naturally representing the SORT verb/action; distinct from SORT meaning kind.","high","true"
"920:1","FACE","واجه","partOfSpeech","noun/verb","verb","واجه is FACE meaning confront, not the body-part noun. Narrow POS to this relationship.","high","true"
"820:1","WATCH","ساعة","partOfSpeech","noun/verb","noun","ساعة legitimately identifies a wristwatch/timepiece; clock/hour alternatives are not exclusion evidence.","high","true"
"881:1","QUICK","سريع","partOfSpeech","adjective/adverb","adjective","سريع is the quick adjective. Narrow the POS for this relationship rather than importing an English adverb reading.","high","true"
"555:0","NIGHT","ليلا","partOfSpeech","noun/adverb","adverb","ليلا is at night/by night. Record the adverbial English NIGHT construction and keep the normal Arabic case form.","high","true"
"690:5","CLOSE","إغلاق","partOfSpeech","adjective/verb","verb","إغلاق naturally cites CLOSE as a shutting action; record verb for this relationship, not the near adjective.","high","true"
"940:2","FRENCH","بالفرنسية","partOfSpeech","adjective/noun/adverb","noun","بالفرنسية naturally renders French as the language in speaking/writing constructions. The Arabic preposition does not disqualify it; label the English language noun.","high","true"
"940:2","FRENCH","بالفرنسية","sense","","French language","بالفرنسية naturally renders French as the language in speaking/writing constructions. The Arabic preposition does not disqualify it; label the English language noun.","high","true"
"1054:3","FINE","لا بأس","partOfSpeech","noun/adjective","adjective","لا بأس is a natural expression for being fine/okay, not the monetary penalty noun.","high","true"
"882:0","NONE","لا أحد","sense","","no person","لا أحد is the nobody sense of NONE, valid alongside nonpersonal none meanings.","high","true"
"617:0","SHARE","مشاركة","partOfSpeech","verb/noun","verb","مشاركة naturally cites SHARE as sharing/participation; label the action verb rather than the portion noun.","high","true"
"987:0","BAR","الحانة","preferredForEnToAr","false","true","الحانة is a valid MSA bar/tavern. Preferring the definite form over حانة is debatable; propose but do not apply the preference change without stronger evidence.","medium","false"
"987:0","BAR","الحانة","preferredForArToEn","false","true","الحانة is a valid MSA bar/tavern. Preferring the definite form over حانة is debatable; propose but do not apply the preference change without stronger evidence.","medium","false"
"884:1","LICENSE","ترخيص","preferredForEnToAr","false","true","ترخيص is a valid license/licensing sense. Preference over رخصة depends on permission versus document sense; the proposed preference upgrade is medium-confidence only.","medium","false"
"884:1","LICENSE","ترخيص","preferredForArToEn","false","true","ترخيص is a valid license/licensing sense. Preference over رخصة depends on permission versus document sense; the proposed preference upgrade is medium-confidence only.","medium","false"
