"sourceId","english","arabic","before","after","reason","confidence","productionMetadataChanged"
"1783:0","WHOSE","الذين","wrong-or-corrupt-relationship","batch005-qa-independent-pass","The supplied relative pronoun lacks the possession relation expressed by whose.","high","false"
"6749:0","UNCLE","عمو","dialect","batch005-qa-independent-pass","This familiar uncle address is colloquial; standard عم remains a separate valid relationship.","high","false"
"5024:0","LIVER","كب","wrong-or-corrupt-relationship","batch005-qa-independent-pass","The truncated word has no supported organ sense; POS for the intended relationship is unresolved.","high","false"
"2717:1","HIDE","تبي","dialect","batch005-qa-independent-pass","The Gulf want expression is neither MSA nor a translation of hide.","high","false"
"2452:2","BATH","باث","register-review","batch005-qa-independent-pass","A Bath name transliteration does not supply the ordinary bathing noun.","high","false"
"3859:1","STEREO","ستيريو","register-review","batch005-qa-independent-pass","The sound-system borrowing is recognizable, but this pass does not establish its standalone MSA register convention.","high","false"
"2483:0","BETA","بيتا","register-review","batch005-qa-independent-pass","The Greek-letter borrowing is plausible; retain review pending register/learner-scope evidence rather than automatic approval.","high","false"
"3809:0","GRACE","جريس","register-review","batch005-qa-independent-pass","This reads a name transliteration, not the grace/blessing noun.","high","false"
"2400:1","ANIME","أنيمي","register-review","batch005-qa-independent-pass","The borrowed genre spelling needs register/orthographic support, not automatic dialect rejection.","high","false"
"2158:0","CAMP","كامب","register-review","batch005-qa-independent-pass","The transliteration is not established as a natural MSA camp noun.","high","false"
"7061:2","OOPS","أوبس","register-review","batch005-qa-independent-pass","The borrowed interjection is familiar but MSA register remains unresolved.","high","false"
"2212:2","FORT","فورت","register-review","batch005-qa-independent-pass","Name-like transliteration does not establish a natural MSA fortress noun.","high","false"
"5528:4","RAT","فأر","construction-or-sense-review","batch005-qa-independent-pass","Mouse versus rat is a real learner distinction; broader rodent usage remains unresolved.","high","false"
"2914:0","LANE","لين","register-review","batch005-qa-independent-pass","لين can express softness or a name; it does not establish the lane/roadway sense.","high","false"
"1704:2","DETAIL","التفاصيل","construction-or-sense-review","batch005-qa-independent-pass","The singular/uncountable detail versus plural details relationship needs a supported construction before approval.","high","false"
"1731:4","INSTALLATION","تركيب التثبيت","unsuitable-pending-review","batch005-qa-independent-pass","The redundant installation compound is not a clean standalone label; preserve for review.","high","false"
"2064:2","CLAIMS","2- المطالبات","unsuitable-pending-review","batch005-qa-independent-pass","The numbered editorial prefix is extraneous translation data; no silent stripping.","high","false"
"2071:5","TOUCH","لمسة اللمس","unsuitable-pending-review","batch005-qa-independent-pass","The redundant genitive touch label is not a natural isolated equivalent.","high","false"
"2166:2","FILL","املا","orthography-review","batch005-qa-independent-pass","The intended fill imperative is recognizable, but its final hamza is missing.","high","false"
"2808:1","IDEAL","ديال","unsuitable-pending-review","batch005-qa-independent-pass","This is not an established MSA ideal equivalent; retain withheld without inventing a replacement.","high","false"
"1784:0","COVERAGE","الشمول","construction-or-sense-review","batch005-qa-independent-pass","Comprehensiveness/inclusion is not necessarily coverage; a construction is needed.","high","false"
"1758:0","OLDER","الاقدم","orthography-review","batch005-qa-independent-pass","Recognizable older/earlier adjective, but the initial hamza is missing.","high","false"
"5758:1","BOMB","بله","unsuitable-pending-review","batch005-qa-independent-pass","The supplied form does not establish a bomb meaning or a secure register.","high","false"
"2341:0","REVENUE","ايرادات","orthography-review","batch005-qa-independent-pass","The revenue plural has omitted initial hamza; preserve for orthographic review.","high","false"
"6580:1","BUTLER","بتلر","register-review","batch005-qa-independent-pass","Name-like borrowing does not establish the domestic-service role in natural MSA.","high","false"
"2140:3","SORRY","آسفه","orthography-review","batch005-qa-independent-pass","The final ه needs orthographic review for the feminine sorry adjective.","high","false"
"2001:1","ERRORS","اخطاء","orthography-review","batch005-qa-independent-pass","The intended errors noun lacks the initial hamza.","high","false"
"2179:1","CLUBS","اندية","orthography-review","batch005-qa-independent-pass","The clubs plural lacks the initial hamza.","high","false"
"2533:0","SAMPLES","العينات","valid-alternative","batch005-qa-independent-pass","Standard plural samples with an article; both directions remain valid.","high","false"
