seed,size,mode,policy,reason,solverAttempts,timeoutChecks,viableTemplates,validationErrors,qualityErrors
"1","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","48","52","24","[]","[]"
"1","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","146","38","24","[]","[]"
"2","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","60","6","[]","[]"
"2","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","64","51","24","[]","[]"
"2","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","57","6","[]","[]"
"2","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","151","44","24","[]","[]"
"3","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","52","57","24","[]","[]"
"3","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","34","6","[]","[]"
"3","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","142","43","24","[]","[]"
"4","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","149","41","24","[]","[]"
"5","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","19","6","[]","[]"
"5","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","56","63","24","[]","[]"
"5","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","74","6","[]","[]"
"5","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","165","41","24","[]","[]"
"6","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","49","6","[]","[]"
"6","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","46","61","24","[]","[]"
"6","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","65","6","[]","[]"
"6","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","150","38","24","[]","[]"
"7","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","49","50","24","[]","[]"
"7","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","110","43","24","[]","[]"
"8","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","63","6","[]","[]"
"8","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","118","45","24","[]","[]"
"8","13","ar_to_en","compatibility","solver_deadline_observed_root_cause_unestablished","24","147","24","[]","[]"
"9","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","38","6","[]","[]"
"9","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","47","48","24","[]","[]"
"9","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","41","6","[]","[]"
"9","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","153","44","24","[]","[]"
"10","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","52","60","24","[]","[]"
"10","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","128","46","24","[]","[]"
"11","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","42","6","[]","[]"
"11","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","42","68","24","[]","[]"
"11","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","62","6","[]","[]"
"11","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","182","39","24","[]","[]"
"12","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","47","6","[]","[]"
"12","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","132","41","24","[]","[]"
"13","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","38","6","[]","[]"
"13","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","49","52","24","[]","[]"
"13","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","121","45","24","[]","[]"
