seed,size,mode,policy,reason,solverAttempts,timeoutChecks,viableTemplates,validationErrors,qualityErrors
"1","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","7","4","6","[]","[]"
"1","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","151","44","24","[]","[]"
"2","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","56","52","24","[]","[]"
"2","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","35","6","[]","[]"
"2","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","185","47","24","[]","[]"
"3","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","53","45","24","[]","[]"
"3","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","44","6","[]","[]"
"3","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","167","40","24","[]","[]"
"4","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","57","6","[]","[]"
"4","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","171","39","24","[]","[]"
"5","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","49","59","24","[]","[]"
"5","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","181","42","24","[]","[]"
"6","9","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","67","24","[]","[]"
"6","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","29","6","[]","[]"
"6","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","64","48","24","[]","[]"
"6","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","137","43","24","[]","[]"
"7","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","46","6","[]","[]"
"7","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","51","55","24","[]","[]"
"7","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","186","37","24","[]","[]"
"8","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","45","6","[]","[]"
"8","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","54","6","[]","[]"
"8","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","152","41","24","[]","[]"
"9","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","29","6","[]","[]"
"9","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","57","52","24","[]","[]"
"9","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","54","6","[]","[]"
"9","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","171","38","24","[]","[]"
"10","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","156","44","24","[]","[]"
"11","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","47","6","[]","[]"
"11","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","67","64","24","[]","[]"
"11","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","61","6","[]","[]"
"11","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","165","40","24","[]","[]"
"12","7","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","3","42","6","[]","[]"
"12","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","48","6","[]","[]"
"12","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","44","50","24","[]","[]"
"12","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","183","40","24","[]","[]"
"13","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","39","6","[]","[]"
"13","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","38","6","[]","[]"
"13","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","46","58","24","[]","[]"
"13","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","197","41","24","[]","[]"
"14","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","42","6","[]","[]"
"14","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","47","79","24","[]","[]"
"14","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","30","6","[]","[]"
"14","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","171","41","24","[]","[]"
"15","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","53","49","24","[]","[]"
"15","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","31","6","[]","[]"
"15","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","198","38","24","[]","[]"
"16","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","45","54","24","[]","[]"
"16","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","186","40","24","[]","[]"
"17","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","172","43","24","[]","[]"
"18","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","55","53","24","[]","[]"
"18","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","169","42","24","[]","[]"
"19","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","166","41","24","[]","[]"
"20","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","30","6","[]","[]"
"20","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","70","65","24","[]","[]"
"20","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","33","6","[]","[]"
"20","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","156","44","24","[]","[]"
"21","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","34","6","[]","[]"
"21","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","38","49","24","[]","[]"
"21","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","64","6","[]","[]"
"21","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","196","38","24","[]","[]"
"22","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","51","6","[]","[]"
"22","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","51","59","24","[]","[]"
"22","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","166","43","24","[]","[]"
"23","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","55","50","24","[]","[]"
"23","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","166","39","24","[]","[]"
"24","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","65","50","24","[]","[]"
"24","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","39","6","[]","[]"
"24","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","142","40","24","[]","[]"
"25","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","153","38","24","[]","[]"
"26","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","25","6","[]","[]"
"26","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","52","72","24","[]","[]"
"26","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","180","36","24","[]","[]"
"27","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","47","58","24","[]","[]"
"27","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","71","6","[]","[]"
"27","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","151","37","24","[]","[]"
"28","7","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","151","24","[]","[]"
"28","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","47","58","24","[]","[]"
"28","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","73","6","[]","[]"
"28","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","173","39","24","[]","[]"
"29","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","34","6","[]","[]"
"29","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","52","47","24","[]","[]"
"29","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","72","6","[]","[]"
"29","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","158","40","24","[]","[]"
"30","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","180","41","24","[]","[]"
