family,densityCeiling,layouts,fills,validPuzzles,impossibleProofs,unknownWithin150ms,medianFullLengthSlots,validZeroFullLength,validOneFullLength,validTwoFullLength
block-run-3,0.18,100,0,0,98,2,4.0,0,0,0
block-run-3,0.22,100,0,0,90,10,2.0,0,0,0
block-run-3,0.26,150,0,0,97,53,1.5,0,0,0
block-run-3,0.3,150,6,0,66,78,1.0,0,0,0
fully-checked,0.18,100,0,0,100,0,4.0,0,0,0
fully-checked,0.22,100,0,0,100,0,4.0,0,0,0
fully-checked,0.26,150,0,0,150,0,4.0,0,0,0
fully-checked,0.3,150,0,0,150,0,4.0,0,0,0
symmetric-unchecked,0.18,100,0,0,85,15,3.0,0,0,0
symmetric-unchecked,0.22,100,1,1,44,55,2.0,1,0,0
symmetric-unchecked,0.26,150,41,41,25,84,0.0,27,1,13
symmetric-unchecked,0.3,150,127,127,8,15,0.0,93,7,24
unchecked,0.18,100,0,0,93,7,3.0,0,0,0
unchecked,0.22,100,1,1,64,35,1.0,1,0,0
unchecked,0.26,150,37,37,28,85,1.0,11,21,5
unchecked,0.3,150,127,127,4,19,0.0,81,40,6
