# Fresh same-assistant second pass from English/Arabic-only view. Index|code+controlledPOS|short sense or empty|reason. Original choices hidden in the review view, not erased from conversational memory.
0|Dn||ولاد is the colloquial boys form, not the standard أولاد entry. Keep rejection without rewriting.
1|Xn||الدورة الثانية is a second session/course, not session without qualification. The extra ordinal is materially misleading for a generic clue.
2|Xn||المانيا names Germany; German denotes language/person/adjective. This changes referent, not merely inflection.
3|Pn|contest|مباراة is a match/contest; a distinct valid sense, not the matching-action sense.
4|An|agent or operative|عميلة naturally denotes a female agent/operative; gender does not exclude either direction.
5|Pj|not concrete|مجردة is abstract feminine; preserve natural gender morphology.
6|An|filtering device|المرشح can denote a filter device. Candidate ambiguity is an unrelated valid Arabic reading, not reverse exclusion evidence.
7|Pn|falling|سقوط names a fall/falling event; distinguish it from the autumn season.
8|An|cooling device|المروحة is the cooling-device fan, not an admirer. Noun and sense are clear.
9|An|agreement|العقد is a contract/agreement. Arabic article is valid and nonpreference does not exclude it.
10|Pn|solid piece|كتلة naturally expresses a block/mass; retain the concrete noun sense.
11|An|season|الربيع identifies the spring season, a distinct sense from a coil or water source.
12|Pn|metal|الرصاص is the metal lead; it cannot express the leadership verb.
13|Pj|overweight|سمين is the fat adjective applied to body build, separate from the substance noun.
14|An|delegation|بعثة is a mission/delegation; valid alongside task/مهمة.
15|Pn|ancestry|عرق expresses race/ancestry in this context; sweat and vein readings do not bar it.
16|Pn|teaching staff|أعضاء هيئة التدريس naturally names faculty as the teaching staff, not a university division.
17|An|delegation|البعثة is the definite mission/delegation noun; preserve the shared sense with بعثة.
18|Pn|remainder|بقية is the rest/remainder, distinct from repose.
19|An|capital city|العاصمة is the city sense of capital, not financial assets.
20|Pn|filtering device|مرشح can denote a filter; different Arabic readings do not make this legitimate sense unsuitable.
21|Pn|financial capital|رأس المال is the natural financial-capital expression; preserve both source spaces and the distinct sense.
22|Pv|aim at|استهداف is an Arabic action noun naturally citing TARGET as a verb; not the objective noun sense.
23|Aj||جاهزة is ready feminine, a natural adjective relation.
24|Aj||كلاسيكية is a conventional classic/classical adjective form; no noun sense is needed here.
25|Pj||عميق is the deep adjective, a natural MSA equivalent.
26|Ab||عميقا naturally realizes adverbial deep, as in dig deep; case morphology does not force adjective-only treatment.
27|An|agreement|الصفقة is an agreement/deal noun, not the handle/deal-with verb.
28|Av|come near|الاقتراب naturally cites APPROACH as coming near; preserve the action-noun rendering of the English verb.
29|Pn||احترام is respect as a noun; the other finite Arabic form expresses the separate verb use.
30|Aj||سعيدة is a natural happy adjective, not a finite happiness-causing verb.
31|Pn||التصويت names the voting process, a legitimate vote noun sense.
32|Aj||عادلة is the fair/just adjective in feminine form.
33|An||ذكرا is a case-marked male noun in this citation. Both noun and adjective English uses exist, but the entity reading is better supported here; narrow POS without exclusion.
34|Aj||الدنيا is minimum/lowest feminine in a relevant construction; preserve the adjective use.
35|Aj||منصف is fair/impartial. It is a natural adjective equivalent regardless of a competing عادل.
36|Pj|preset|افتراضي naturally expresses default as a preset adjective, not nonpayment.
37|Pj||شمالي is the northern adjective, distinct from the standalone direction noun north.
38|Aj|without light|مظلمة expresses dark feminine, not darkness as a noun.
39|Av||يلعب is a natural finite expression of playing. English -ing and Arabic finite morphology can correspond.
40|Pn|body fat|الدهون is fat as a substance/collective noun; English mass and Arabic plural are compatible.
41|Pv|fracture|كسر naturally cites break as a fracturing action, separate from a rest break noun.
42|An||الذكر denotes the male as an entity. Use noun for this definite citation rather than importing every possible adjectival use of MALE.
43|Aj||محددة is specified feminine, a clear adjectival relationship.
44|Aj||عميقة is deep feminine; preserve it as an allowed nonpreferred alternative.
45|Av||المحاولة naturally cites TRYING as attempting; a masdar and English participial action can correspond.
46|Av|fracture|تكسر expresses the break/fracture event in finite Arabic. It is the verb relationship, not a pause noun.
47|An||الاستثمار is investment as an activity, a natural noun alternative with an article.
48|An||المحاكمة is trial in court, a natural noun equivalent.
49|An||أماكن الإقامة is accommodation/lodging; its multiword plural form naturally expresses English accommodation.
50|An||المهام expresses functions/tasks, a legitimate noun equivalent despite alternatives.
51|Aj||المستقلة is independent feminine definite; no extra sense label needed.
52|An||القرن expresses century. Horn is another Arabic reading, not grounds for restriction.
53|Aj||القائمة can mean existing/standing feminine in the intended construction; preserve the adjective reading, not the list noun.
54|Ab||ولذلك naturally renders therefore with an Arabic conjunction prefix. That grammatical adaptation is not itself an exclusion.
55|An||السفينة is a ship; article variation remains valid.
56|An|leadership|القيادة is command as leadership, not an individual order; retain the distinct noun sense.
57|An||الدليل naturally expresses evidence/proof. Guide is another possible Arabic reading, not a ban.
58|Oj||اضافي requires the standard hamza in إضافي. Preserve spelling review and do not silently change the answer.
59|Cn||المحاكمات is trials; generic/collective English trial usage might support it but is not confirmed here. Do not reject number alone.
60|On||إبني has the wrong hamza convention for ابني and includes possession. Keep spelling/construction review without a text edit.
61|Cv||تولد may support a born construction depending on voice and context; retain review, not automatic tense exclusion.
62|Oj||ات is a defective written form for the intended coming adjective. Keep the original and defer spelling repair.
63|Oj||اساسي lacks hamza in أساسي. Recognizable MSA adjective, still unsuitable for automatic approval as written.
64|Un||جرانت is the Grant name rendering, not a certified grant verb/financial award. Exclude pending classification while preserving the record.
65|Oj||ايجابية lacks hamza in إيجابية. Preserve the original for orthographic review.
66|On||فكره has a letter/spelling issue for فكرة. Do not turn the normalization function into a spelling corrector.
67|On||الايدي lacks hamza in الأيدي; retain review rather than assuming dialect.
68|Uu||ابت does not establish the father citation; possible vocative damage remains unresolved. Keep both directions excluded.
69|On||اداة lacks the hamza of أداة. Meaning recognizable, spelling unresolved.
70|Un||فالى is a name/phonetic rendering rather than a certified MSA valley equivalent.
71|Un||ستيل is an unestablished phonetic rendering for the steel substance in this learner entry; do not replace it automatically.
72|Rn||تلفون is a widespread borrowing, but its preferred MSA spelling/register needs evidence. Do not reject merely as informal.
