"sourceId","english","arabic","field","before","after","reason"
"1:0","OF","من","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"2:1","AND","و","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"3:0","TO","من أجل","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"5:0","IN","في","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"6:1","FOR","من أجل","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"7:0","IS","هو كذلك","allowedForEnToAr","","false","Preserve earlier intentional exclusion of a nonapproved relationship, independently of preference."
"7:0","IS","هو كذلك","allowedForArToEn","","false","Preserve earlier intentional exclusion of a nonapproved relationship, independently of preference."
"8:0","ON","على","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"11:0","THIS","هذا","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"11:1","THIS","هذه","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"12:0","WITH","مع","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"13:0","I","أولاً","allowedForEnToAr","","false","Preserve earlier intentional exclusion of a nonapproved relationship, independently of preference."
"13:0","I","أولاً","allowedForArToEn","","false","Preserve earlier intentional exclusion of a nonapproved relationship, independently of preference."
"14:1","YOU","انتي","allowedForEnToAr","","false","Preserve earlier intentional exclusion of a nonapproved relationship, independently of preference."
"14:1","YOU","انتي","allowedForArToEn","","false","Preserve earlier intentional exclusion of a nonapproved relationship, independently of preference."
"14:2","YOU","أنت.","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"18:0","ARE","نعم.","allowedForEnToAr","","false","Preserve earlier intentional exclusion of a nonapproved relationship, independently of preference."
"18:0","ARE","نعم.","allowedForArToEn","","false","Preserve earlier intentional exclusion of a nonapproved relationship, independently of preference."
"19:0","FROM","من","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
"20:0","AT","في","allowedForArToEn","","true","Product-policy migration: valid approved relationship is not excluded by nonpreference/synonym ambiguity. Not a new linguistic approval."
