"english","headwordIndex","before","after","reason"
"THAN","91","review","approved","All relationships individually reviewed and approved as MSA"
"JOHN","345","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"LONDON","606","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"FRANCE","731","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"GERMANY","818","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"JAMES","834","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"MICHAEL","873","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"MARY","1435","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"PARIS","1594","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"LOUIS","1999","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"PROPER","2660","review","approved","All relationships individually reviewed and approved as MSA"
"OUTLET","3257","review","approved","All relationships individually reviewed and approved as MSA"
"VENTURE","4244","review","approved","All relationships individually reviewed and approved as MSA"
"SEAN","4283","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"INDOOR","4551","review","approved","All relationships individually reviewed and approved as MSA"
"RECORDER","4655","review","approved","All relationships individually reviewed and approved as MSA"
"MARC","4695","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"PAD","4714","review","approved","All relationships individually reviewed and approved as MSA"
"MARIE","4798","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"MORRIS","5028","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"ACUTE","5329","review","approved","All relationships individually reviewed and approved as MSA"
"SPECTACULAR","5538","review","approved","All relationships individually reviewed and approved as MSA"
"SUCKING","5648","review","approved","All relationships individually reviewed and approved as MSA"
"LYNN","5698","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"AUTOS","5862","review","approved","All relationships individually reviewed and approved as MSA"
"STREAMING","6044","review","approved","All relationships individually reviewed and approved as MSA"
"JOAN","6654","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"BIZARRE","6841","review","approved","All relationships individually reviewed and approved as MSA"
"SHAW","7296","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"CARROLL","7504","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"COATING","8201","review","approved","All relationships individually reviewed and approved as MSA"
"ADAPTOR","8267","review","approved","All relationships individually reviewed and approved as MSA"
"ITALIA","8800","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"LOCKING","8853","review","approved","All relationships individually reviewed and approved as MSA"
"JAN","142","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"USA","330","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"DEC","470","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"AMERICA","535","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"NOV","575","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"FAX","586","review","approved","All relationships individually reviewed and approved as MSA"
"NET","631","review","approved","All relationships individually reviewed and approved as MSA"
"DAVID","685","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"FEB","696","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"MICROSOFT","737","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"AUG","749","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"INDIA","867","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"GOOGLE","896","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"HTML","917","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"EUR","1017","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"COM","1052","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"ROBERT","1056","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"SIX","1061","review","approved","All relationships individually reviewed and approved as MSA"
"FRI","1120","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
"THU","1248","review","rejected","All relationships individually identified as out-of-pool proper-name/abbreviation senses"
