policy,mode,size,length,indexedCandidates,uniqueCanonicalAnswers
"compatibility","en_to_ar","7","2","204","154"
"compatibility","en_to_ar","7","3","1902","1417"
"compatibility","en_to_ar","7","4","4243","3467"
"compatibility","en_to_ar","7","5","4446","3622"
"compatibility","en_to_ar","7","6","3183","2692"
"compatibility","en_to_ar","7","7","2372","1957"
"compatibility","en_to_ar","7","8","0","0"
"compatibility","en_to_ar","7","9","0","0"
"compatibility","en_to_ar","7","10","0","0"
"compatibility","en_to_ar","7","11","0","0"
"compatibility","en_to_ar","7","12","0","0"
"compatibility","en_to_ar","7","13","0","0"
"compatibility","en_to_ar","9","2","217","161"
"compatibility","en_to_ar","9","3","2164","1537"
"compatibility","en_to_ar","9","4","5141","3963"
"compatibility","en_to_ar","9","5","5776","4417"
"compatibility","en_to_ar","9","6","4318","3457"
"compatibility","en_to_ar","9","7","3705","2862"
"compatibility","en_to_ar","9","8","1726","1425"
"compatibility","en_to_ar","9","9","747","619"
"compatibility","en_to_ar","9","10","0","0"
"compatibility","en_to_ar","9","11","0","0"
"compatibility","en_to_ar","9","12","0","0"
"compatibility","en_to_ar","9","13","0","0"
"compatibility","en_to_ar","11","2","222","164"
"compatibility","en_to_ar","11","3","2250","1558"
"compatibility","en_to_ar","11","4","5429","4108"
"compatibility","en_to_ar","11","5","6402","4728"
"compatibility","en_to_ar","11","6","4807","3721"
"compatibility","en_to_ar","11","7","4339","3192"
"compatibility","en_to_ar","11","8","2143","1689"
"compatibility","en_to_ar","11","9","990","781"
"compatibility","en_to_ar","11","10","451","393"
"compatibility","en_to_ar","11","11","238","213"
"compatibility","en_to_ar","11","12","0","0"
"compatibility","en_to_ar","11","13","0","0"
"compatibility","en_to_ar","13","2","225","165"
"compatibility","en_to_ar","13","3","2264","1560"
"compatibility","en_to_ar","13","4","5490","4125"
"compatibility","en_to_ar","13","5","6589","4812"
"compatibility","en_to_ar","13","6","4946","3788"
"compatibility","en_to_ar","13","7","4588","3299"
"compatibility","en_to_ar","13","8","2287","1766"
"compatibility","en_to_ar","13","9","1109","848"
"compatibility","en_to_ar","13","10","489","420"
"compatibility","en_to_ar","13","11","265","234"
"compatibility","en_to_ar","13","12","171","156"
"compatibility","en_to_ar","13","13","102","95"
"compatibility","ar_to_en","7","2","47","47"
"compatibility","ar_to_en","7","3","629","629"
"compatibility","ar_to_en","7","4","1687","1687"
"compatibility","ar_to_en","7","5","2299","2299"
"compatibility","ar_to_en","7","6","2618","2618"
"compatibility","ar_to_en","7","7","2543","2543"
"compatibility","ar_to_en","7","8","0","0"
"compatibility","ar_to_en","7","9","0","0"
"compatibility","ar_to_en","7","10","0","0"
"compatibility","ar_to_en","7","11","0","0"
"compatibility","ar_to_en","7","12","0","0"
"compatibility","ar_to_en","7","13","0","0"
"compatibility","ar_to_en","9","2","47","47"
"compatibility","ar_to_en","9","3","629","629"
"compatibility","ar_to_en","9","4","1687","1687"
"compatibility","ar_to_en","9","5","2299","2299"
"compatibility","ar_to_en","9","6","2618","2618"
"compatibility","ar_to_en","9","7","2543","2543"
"compatibility","ar_to_en","9","8","2107","2107"
"compatibility","ar_to_en","9","9","1582","1582"
"compatibility","ar_to_en","9","10","0","0"
"compatibility","ar_to_en","9","11","0","0"
"compatibility","ar_to_en","9","12","0","0"
"compatibility","ar_to_en","9","13","0","0"
"compatibility","ar_to_en","11","2","47","47"
"compatibility","ar_to_en","11","3","629","629"
"compatibility","ar_to_en","11","4","1687","1687"
"compatibility","ar_to_en","11","5","2299","2299"
"compatibility","ar_to_en","11","6","2618","2618"
"compatibility","ar_to_en","11","7","2543","2543"
"compatibility","ar_to_en","11","8","2107","2107"
"compatibility","ar_to_en","11","9","1582","1582"
"compatibility","ar_to_en","11","10","1043","1043"
"compatibility","ar_to_en","11","11","678","678"
"compatibility","ar_to_en","11","12","0","0"
"compatibility","ar_to_en","11","13","0","0"
"compatibility","ar_to_en","13","2","47","47"
"compatibility","ar_to_en","13","3","629","629"
"compatibility","ar_to_en","13","4","1687","1687"
"compatibility","ar_to_en","13","5","2299","2299"
"compatibility","ar_to_en","13","6","2618","2618"
"compatibility","ar_to_en","13","7","2543","2543"
"compatibility","ar_to_en","13","8","2107","2107"
"compatibility","ar_to_en","13","9","1582","1582"
"compatibility","ar_to_en","13","10","1043","1043"
"compatibility","ar_to_en","13","11","678","678"
"compatibility","ar_to_en","13","12","363","363"
"compatibility","ar_to_en","13","13","192","192"
"approved-only","en_to_ar","7","2","76","67"
"approved-only","en_to_ar","7","3","518","434"
"approved-only","en_to_ar","7","4","1033","910"
"approved-only","en_to_ar","7","5","1000","894"
"approved-only","en_to_ar","7","6","752","680"
"approved-only","en_to_ar","7","7","488","452"
"approved-only","en_to_ar","7","8","0","0"
"approved-only","en_to_ar","7","9","0","0"
"approved-only","en_to_ar","7","10","0","0"
"approved-only","en_to_ar","7","11","0","0"
"approved-only","en_to_ar","7","12","0","0"
"approved-only","en_to_ar","7","13","0","0"
"approved-only","en_to_ar","9","2","80","70"
"approved-only","en_to_ar","9","3","575","470"
"approved-only","en_to_ar","9","4","1220","1042"
"approved-only","en_to_ar","9","5","1235","1065"
"approved-only","en_to_ar","9","6","945","823"
"approved-only","en_to_ar","9","7","664","593"
"approved-only","en_to_ar","9","8","262","239"
"approved-only","en_to_ar","9","9","124","122"
"approved-only","en_to_ar","9","10","0","0"
"approved-only","en_to_ar","9","11","0","0"
"approved-only","en_to_ar","9","12","0","0"
"approved-only","en_to_ar","9","13","0","0"
"approved-only","en_to_ar","11","2","80","70"
"approved-only","en_to_ar","11","3","592","478"
"approved-only","en_to_ar","11","4","1256","1066"
"approved-only","en_to_ar","11","5","1317","1122"
"approved-only","en_to_ar","11","6","995","859"
"approved-only","en_to_ar","11","7","744","654"
"approved-only","en_to_ar","11","8","287","259"
"approved-only","en_to_ar","11","9","154","143"
"approved-only","en_to_ar","11","10","49","48"
"approved-only","en_to_ar","11","11","33","33"
"approved-only","en_to_ar","11","12","0","0"
"approved-only","en_to_ar","11","13","0","0"
"approved-only","en_to_ar","13","2","80","70"
"approved-only","en_to_ar","13","3","596","480"
"approved-only","en_to_ar","13","4","1265","1069"
"approved-only","en_to_ar","13","5","1342","1143"
"approved-only","en_to_ar","13","6","1010","868"
"approved-only","en_to_ar","13","7","781","682"
"approved-only","en_to_ar","13","8","302","272"
"approved-only","en_to_ar","13","9","167","152"
"approved-only","en_to_ar","13","10","51","49"
"approved-only","en_to_ar","13","11","34","34"
"approved-only","en_to_ar","13","12","25","24"
"approved-only","en_to_ar","13","13","7","7"
"approved-only","ar_to_en","7","2","15","15"
"approved-only","ar_to_en","7","3","182","182"
"approved-only","ar_to_en","7","4","392","392"
"approved-only","ar_to_en","7","5","398","398"
"approved-only","ar_to_en","7","6","408","408"
"approved-only","ar_to_en","7","7","456","456"
"approved-only","ar_to_en","7","8","0","0"
"approved-only","ar_to_en","7","9","0","0"
"approved-only","ar_to_en","7","10","0","0"
"approved-only","ar_to_en","7","11","0","0"
"approved-only","ar_to_en","7","12","0","0"
"approved-only","ar_to_en","7","13","0","0"
"approved-only","ar_to_en","9","2","15","15"
"approved-only","ar_to_en","9","3","182","182"
"approved-only","ar_to_en","9","4","392","392"
"approved-only","ar_to_en","9","5","398","398"
"approved-only","ar_to_en","9","6","408","408"
"approved-only","ar_to_en","9","7","456","456"
"approved-only","ar_to_en","9","8","220","220"
"approved-only","ar_to_en","9","9","201","201"
"approved-only","ar_to_en","9","10","0","0"
"approved-only","ar_to_en","9","11","0","0"
"approved-only","ar_to_en","9","12","0","0"
"approved-only","ar_to_en","9","13","0","0"
"approved-only","ar_to_en","11","2","15","15"
"approved-only","ar_to_en","11","3","182","182"
"approved-only","ar_to_en","11","4","392","392"
"approved-only","ar_to_en","11","5","398","398"
"approved-only","ar_to_en","11","6","408","408"
"approved-only","ar_to_en","11","7","456","456"
"approved-only","ar_to_en","11","8","220","220"
"approved-only","ar_to_en","11","9","201","201"
"approved-only","ar_to_en","11","10","75","75"
"approved-only","ar_to_en","11","11","79","79"
"approved-only","ar_to_en","11","12","0","0"
"approved-only","ar_to_en","11","13","0","0"
"approved-only","ar_to_en","13","2","15","15"
"approved-only","ar_to_en","13","3","182","182"
"approved-only","ar_to_en","13","4","392","392"
"approved-only","ar_to_en","13","5","398","398"
"approved-only","ar_to_en","13","6","408","408"
"approved-only","ar_to_en","13","7","456","456"
"approved-only","ar_to_en","13","8","220","220"
"approved-only","ar_to_en","13","9","201","201"
"approved-only","ar_to_en","13","10","75","75"
"approved-only","ar_to_en","13","11","79","79"
"approved-only","ar_to_en","13","12","18","18"
"approved-only","ar_to_en","13","13","33","33"
