seed,size,mode,policy,reason,solverAttempts,timeoutChecks,viableTemplates,validationErrors,qualityErrors
"1","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"2","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","56","6","[]","[]"
"2","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","484","73","24","[]","[]"
"2","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","55","6","[]","[]"
"2","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"3","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","344","70","24","[]","[]"
"3","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","33","6","[]","[]"
"3","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"4","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"5","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","19","6","[]","[]"
"5","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","285","67","24","[]","[]"
"5","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","73","6","[]","[]"
"5","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"6","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","58","6","[]","[]"
"6","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","66","6","[]","[]"
"6","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"7","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","286","55","24","[]","[]"
"7","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","461","10","24","[]","[]"
"8","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","64","6","[]","[]"
"8","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"9","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","37","6","[]","[]"
"9","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","324","57","24","[]","[]"
"9","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","39","6","[]","[]"
"9","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"10","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","266","72","24","[]","[]"
"10","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"11","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","46","6","[]","[]"
"11","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","149","99","24","[]","[]"
"11","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","54","6","[]","[]"
"11","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"12","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","49","6","[]","[]"
"12","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"13","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","43","6","[]","[]"
"13","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","247","78","24","[]","[]"
"13","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
