"sourceId","english","original","categories","status","register","confidence","reasonCode","reason","proposedReplacement","applied","reviewer","sources","repetitionAssessment","headwordIndex","translationIndex","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","metadataChanged"
"h418:t4","BOX","مربع مربع","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","418","4","review","uncertain","مربع مربع","مربعمربع","مربعمربع","false"
"h439:t2","REALLY","حقا حقا","[""repeated-word""]","review","msa","medium","meaningful-repetition","حقا حقا can be emphatic, so repetition is not necessarily corruption; the intended intensity is unspecified.","حقا","false","AI-assisted linguistic review","[]","meaningful","439","2","review","uncertain","حقا حقا","حقاحقا","حقاحقا","true"
"h877:t2","STEP","خطوة خطوة","[""repeated-word""]","review","msa","medium","meaningful-repetition","خطوة خطوة is distributive, meaning step by step. It is meaningful but not an unambiguous equivalent of standalone STEP.","خطوة","false","AI-assisted linguistic review","[]","meaningful","877","2","review","uncertain","خطوة خطوة","خطوةخطوة","خطوةخطوة","true"
"h1155:t3","ASIAN","الآسيوية الآسيوية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1155","3","review","uncertain","الآسيوية الآسيوية","الآسيويةالآسيوية","الآسيويةالآسيوية","false"
"h1159:t3","INDUSTRIAL","الصناعية الصناعية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1159","3","review","uncertain","الصناعية الصناعية","الصناعيةالصناعية","الصناعيةالصناعية","false"
"h1393:t4","CHINESE","الصينية الصينية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1393","4","review","uncertain","الصينية الصينية","الصينيةالصينية","الصينيةالصينية","false"
"h1432:t4","INDIAN","هندي هندي","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1432","4","review","uncertain","هندي هندي","هنديهندي","هنديهندي","false"
"h1474:t3","MINI","ميني ميني","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1474","3","review","uncertain","ميني ميني","مينيميني","مينيميني","false"
"h1600:t2","JERSEY","جيرسي جيرسي","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1600","2","review","uncertain","جيرسي جيرسي","جيرسيجيرسي","جيرسيجيرسي","false"
"h1713:t2","ROYAL","الملكي الملكي","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1713","2","review","uncertain","الملكي الملكي","الملكيالملكي","الملكيالملكي","false"
"h1754:t2","PIECE","قطعة قطعة","[""repeated-word""]","review","msa","medium","meaningful-repetition","قطعة قطعة can mean piece by piece; do not blindly strip a meaningful distributive repetition.","قطعة","false","AI-assisted linguistic review","[]","meaningful","1754","2","review","uncertain","قطعة قطعة","قطعةقطعة","قطعةقطعة","true"
"h1803:t1","CLINICAL","السريرية السريرية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1803","1","review","uncertain","السريرية السريرية","السريريةالسريرية","السريريةالسريرية","false"
"h1830:t2","SCIENTIFIC","العلمية العلمية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1830","2","review","uncertain","العلمية العلمية","العلميةالعلمية","العلميةالعلمية","false"
"h1918:t3","WILD","البرية البرية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","1918","3","review","uncertain","البرية البرية","البريةالبرية","البريةالبرية","false"
"h2089:t2","LATIN","اللاتينية اللاتينية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2089","2","review","uncertain","اللاتينية اللاتينية","اللاتينيةاللاتينية","اللاتينيةاللاتينية","false"
"h2222:t2","ELECTRICAL","الكهربائية الكهربائية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2222","2","review","uncertain","الكهربائية الكهربائية","الكهربائيةالكهربائية","الكهربائيةالكهربائية","false"
"h2246:t2","ASSEMBLY","الجمعية الجمعية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2246","2","review","uncertain","الجمعية الجمعية","الجمعيةالجمعية","الجمعيةالجمعية","false"
"h2326:t3","SWEET","الحلو الحلو","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2326","3","review","uncertain","الحلو الحلو","الحلوالحلو","الحلوالحلو","false"
"h2339:t2","RAY","راي راي","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2339","2","review","uncertain","راي راي","رايراي","رايراي","false"
"h2605:t3","CAPE","الرأس الرأس","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2605","3","review","uncertain","الرأس الرأس","الرأسالرأس","الرأسالرأس","false"
"h2756:t4","INTERIOR","الداخلية الداخلية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2756","4","review","uncertain","الداخلية الداخلية","الداخليةالداخلية","الداخليةالداخلية","false"
"h2773:t3","SERIAL","المسلسل المسلسل","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2773","3","review","uncertain","المسلسل المسلسل","المسلسلالمسلسل","المسلسلالمسلسل","false"
"h2894:t4","GREEK","اليونانية اليونانية","[""repeated-word""]","review","uncertain","medium","unresolved-sense","Removing repetition alone does not settle the word sense, grammatical form, or whether emphasis was intended; no confident correction applied.","","false","AI-assisted linguistic review","[]","uncertain","2894","4","review","uncertain","اليونانية اليونانية","اليونانيةاليونانية","اليونانيةاليونانية","false"
