template,slot,direction,row,col,length,cells,initialCanonicalDomainSize,initialDomainRef
91376b1a948f47c9,0,across,0,0,3,"[[0, 0], [0, 1], [0, 2]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,1,across,0,5,6,"[[0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,2,across,1,0,4,"[[1, 0], [1, 1], [1, 2], [1, 3]]",392,initial_domains.json:canonicalByLength:4
91376b1a948f47c9,3,across,1,5,8,"[[1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12]]",220,initial_domains.json:canonicalByLength:8
91376b1a948f47c9,4,across,2,0,13,"[[2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12]]",33,initial_domains.json:canonicalByLength:13
91376b1a948f47c9,5,across,3,0,7,"[[3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]]",456,initial_domains.json:canonicalByLength:7
91376b1a948f47c9,6,across,3,9,4,"[[3, 9], [3, 10], [3, 11], [3, 12]]",392,initial_domains.json:canonicalByLength:4
91376b1a948f47c9,7,across,4,0,3,"[[4, 0], [4, 1], [4, 2]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,8,across,4,4,3,"[[4, 4], [4, 5], [4, 6]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,9,across,4,9,3,"[[4, 9], [4, 10], [4, 11]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,10,across,5,0,5,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 4]]",398,initial_domains.json:canonicalByLength:5
91376b1a948f47c9,11,across,5,6,3,"[[5, 6], [5, 7], [5, 8]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,12,across,5,10,3,"[[5, 10], [5, 11], [5, 12]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,13,across,6,2,3,"[[6, 2], [6, 3], [6, 4]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,14,across,6,7,6,"[[6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,15,across,7,2,4,"[[7, 2], [7, 3], [7, 4], [7, 5]]",392,initial_domains.json:canonicalByLength:4
91376b1a948f47c9,16,across,7,7,6,"[[7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,17,across,8,0,3,"[[8, 0], [8, 1], [8, 2]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,18,across,8,5,6,"[[8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,19,across,9,0,3,"[[9, 0], [9, 1], [9, 2]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,20,across,9,4,3,"[[9, 4], [9, 5], [9, 6]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,21,across,9,9,3,"[[9, 9], [9, 10], [9, 11]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,22,across,10,0,13,"[[10, 0], [10, 1], [10, 2], [10, 3], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12]]",33,initial_domains.json:canonicalByLength:13
91376b1a948f47c9,23,across,11,2,3,"[[11, 2], [11, 3], [11, 4]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,24,across,11,7,6,"[[11, 7], [11, 8], [11, 9], [11, 10], [11, 11], [11, 12]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,25,across,12,2,3,"[[12, 2], [12, 3], [12, 4]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,26,across,12,7,6,"[[12, 7], [12, 8], [12, 9], [12, 10], [12, 11], [12, 12]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,27,down,0,0,6,"[[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,28,down,8,0,3,"[[8, 0], [9, 0], [10, 0]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,29,down,0,1,6,"[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,30,down,8,1,3,"[[8, 1], [9, 1], [10, 1]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,31,down,0,2,13,"[[0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [11, 2], [12, 2]]",33,initial_domains.json:canonicalByLength:13
91376b1a948f47c9,32,down,1,3,3,"[[1, 3], [2, 3], [3, 3]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,33,down,5,3,3,"[[5, 3], [6, 3], [7, 3]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,34,down,10,3,3,"[[10, 3], [11, 3], [12, 3]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,35,down,2,4,6,"[[2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,36,down,9,4,4,"[[9, 4], [10, 4], [11, 4], [12, 4]]",392,initial_domains.json:canonicalByLength:4
91376b1a948f47c9,37,down,0,5,5,"[[0, 5], [1, 5], [2, 5], [3, 5], [4, 5]]",398,initial_domains.json:canonicalByLength:5
91376b1a948f47c9,38,down,7,5,4,"[[7, 5], [8, 5], [9, 5], [10, 5]]",392,initial_domains.json:canonicalByLength:4
91376b1a948f47c9,39,down,0,6,6,"[[0, 6], [1, 6], [2, 6], [3, 6], [4, 6], [5, 6]]",408,initial_domains.json:canonicalByLength:6
91376b1a948f47c9,40,down,8,6,3,"[[8, 6], [9, 6], [10, 6]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,41,down,0,7,3,"[[0, 7], [1, 7], [2, 7]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,42,down,5,7,4,"[[5, 7], [6, 7], [7, 7], [8, 7]]",392,initial_domains.json:canonicalByLength:4
91376b1a948f47c9,43,down,10,7,3,"[[10, 7], [11, 7], [12, 7]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,44,down,0,8,3,"[[0, 8], [1, 8], [2, 8]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,45,down,5,8,4,"[[5, 8], [6, 8], [7, 8], [8, 8]]",392,initial_domains.json:canonicalByLength:4
91376b1a948f47c9,46,down,10,8,3,"[[10, 8], [11, 8], [12, 8]]",182,initial_domains.json:canonicalByLength:3
91376b1a948f47c9,47,down,0,9,5,"[[0, 9], [1, 9], [2, 9], [3, 9], [4, 9]]",398,initial_domains.json:canonicalByLength:5
91376b1a948f47c9,48,down,6,9,7,"[[6, 9], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [12, 9]]",456,initial_domains.json:canonicalByLength:7
91376b1a948f47c9,49,down,0,10,13,"[[0, 10], [1, 10], [2, 10], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [10, 10], [11, 10], [12, 10]]",33,initial_domains.json:canonicalByLength:13
91376b1a948f47c9,50,down,1,11,7,"[[1, 11], [2, 11], [3, 11], [4, 11], [5, 11], [6, 11], [7, 11]]",456,initial_domains.json:canonicalByLength:7
91376b1a948f47c9,51,down,9,11,4,"[[9, 11], [10, 11], [11, 11], [12, 11]]",392,initial_domains.json:canonicalByLength:4
