"size","mode","seed","type","observations","runs","zeroObservations","criticallySmall"
"13","ar_to_en","1","SUPPORTED_SMALL_DOMAIN","11218","1","0","11218"
"13","ar_to_en","1","B_USED_EXHAUSTION","424","1","423","1"
"13","ar_to_en","1","A_TRUE_GAP","3270","1","994","2276"
"13","ar_to_en","1","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","2","SUPPORTED_SMALL_DOMAIN","12468","1","0","12468"
"13","ar_to_en","2","B_USED_EXHAUSTION","556","1","554","2"
"13","ar_to_en","2","A_TRUE_GAP","3821","1","1173","2648"
"13","ar_to_en","2","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","3","SUPPORTED_SMALL_DOMAIN","12489","1","0","12489"
"13","ar_to_en","3","B_USED_EXHAUSTION","529","1","529","0"
"13","ar_to_en","3","A_TRUE_GAP","3393","1","1054","2339"
"13","ar_to_en","3","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","4","SUPPORTED_SMALL_DOMAIN","12519","1","0","12519"
"13","ar_to_en","4","B_USED_EXHAUSTION","408","1","408","0"
"13","ar_to_en","4","A_TRUE_GAP","3501","1","950","2551"
"13","ar_to_en","4","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","5","SUPPORTED_SMALL_DOMAIN","12772","1","0","12772"
"13","ar_to_en","5","B_USED_EXHAUSTION","479","1","479","0"
"13","ar_to_en","5","A_TRUE_GAP","3751","1","1172","2579"
"13","ar_to_en","5","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","6","SUPPORTED_SMALL_DOMAIN","10602","1","0","10602"
"13","ar_to_en","6","B_USED_EXHAUSTION","419","1","419","0"
"13","ar_to_en","6","A_TRUE_GAP","2819","1","868","1951"
"13","ar_to_en","6","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","7","SUPPORTED_SMALL_DOMAIN","13565","1","0","13565"
"13","ar_to_en","7","B_USED_EXHAUSTION","493","1","493","0"
"13","ar_to_en","7","A_TRUE_GAP","4283","1","1134","3149"
"13","ar_to_en","7","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","8","SUPPORTED_SMALL_DOMAIN","11382","1","0","11382"
"13","ar_to_en","8","B_USED_EXHAUSTION","483","1","483","0"
"13","ar_to_en","8","A_TRUE_GAP","3156","1","950","2206"
"13","ar_to_en","8","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","9","SUPPORTED_SMALL_DOMAIN","11848","1","0","11848"
"13","ar_to_en","9","B_USED_EXHAUSTION","553","1","553","0"
"13","ar_to_en","9","A_TRUE_GAP","3322","1","915","2407"
"13","ar_to_en","9","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","10","SUPPORTED_SMALL_DOMAIN","10628","1","0","10628"
"13","ar_to_en","10","B_USED_EXHAUSTION","508","1","508","0"
"13","ar_to_en","10","A_TRUE_GAP","2850","1","724","2126"
"13","ar_to_en","10","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","11","SUPPORTED_SMALL_DOMAIN","12222","1","0","12222"
"13","ar_to_en","11","B_USED_EXHAUSTION","556","1","556","0"
"13","ar_to_en","11","A_TRUE_GAP","3597","1","998","2599"
"13","ar_to_en","11","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","12","SUPPORTED_SMALL_DOMAIN","12835","1","0","12835"
"13","ar_to_en","12","B_USED_EXHAUSTION","593","1","593","0"
"13","ar_to_en","12","A_TRUE_GAP","3751","1","965","2786"
"13","ar_to_en","12","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","13","SUPPORTED_SMALL_DOMAIN","13345","1","0","13345"
"13","ar_to_en","13","B_USED_EXHAUSTION","568","1","560","8"
"13","ar_to_en","13","A_TRUE_GAP","4188","1","1029","3159"
"13","ar_to_en","13","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","14","SUPPORTED_SMALL_DOMAIN","12283","1","0","12283"
"13","ar_to_en","14","B_USED_EXHAUSTION","522","1","522","0"
"13","ar_to_en","14","A_TRUE_GAP","3600","1","1079","2521"
"13","ar_to_en","14","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","15","SUPPORTED_SMALL_DOMAIN","12848","1","0","12848"
"13","ar_to_en","15","B_USED_EXHAUSTION","573","1","573","0"
"13","ar_to_en","15","A_TRUE_GAP","4445","1","1408","3037"
"13","ar_to_en","15","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","16","SUPPORTED_SMALL_DOMAIN","13185","1","0","13185"
"13","ar_to_en","16","B_USED_EXHAUSTION","619","1","619","0"
"13","ar_to_en","16","A_TRUE_GAP","3515","1","967","2548"
"13","ar_to_en","16","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","17","SUPPORTED_SMALL_DOMAIN","12541","1","0","12541"
"13","ar_to_en","17","B_USED_EXHAUSTION","501","1","488","13"
"13","ar_to_en","17","A_TRUE_GAP","3798","1","1160","2638"
"13","ar_to_en","17","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","18","SUPPORTED_SMALL_DOMAIN","11489","1","0","11489"
"13","ar_to_en","18","B_USED_EXHAUSTION","388","1","381","7"
"13","ar_to_en","18","A_TRUE_GAP","3634","1","1023","2611"
"13","ar_to_en","18","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","19","SUPPORTED_SMALL_DOMAIN","11903","1","0","11903"
"13","ar_to_en","19","B_USED_EXHAUSTION","433","1","433","0"
"13","ar_to_en","19","A_TRUE_GAP","3498","1","1127","2371"
"13","ar_to_en","19","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","20","SUPPORTED_SMALL_DOMAIN","10954","1","0","10954"
"13","ar_to_en","20","B_USED_EXHAUSTION","434","1","434","0"
"13","ar_to_en","20","A_TRUE_GAP","2798","1","778","2020"
"13","ar_to_en","20","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","21","SUPPORTED_SMALL_DOMAIN","13847","1","0","13847"
"13","ar_to_en","21","B_USED_EXHAUSTION","489","1","489","0"
"13","ar_to_en","21","A_TRUE_GAP","4196","1","1075","3121"
"13","ar_to_en","21","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","22","SUPPORTED_SMALL_DOMAIN","12725","1","0","12725"
"13","ar_to_en","22","B_USED_EXHAUSTION","633","1","632","1"
"13","ar_to_en","22","A_TRUE_GAP","3453","1","1073","2380"
"13","ar_to_en","22","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","23","SUPPORTED_SMALL_DOMAIN","12188","1","0","12188"
"13","ar_to_en","23","B_USED_EXHAUSTION","483","1","483","0"
"13","ar_to_en","23","A_TRUE_GAP","3827","1","1195","2632"
"13","ar_to_en","23","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","24","SUPPORTED_SMALL_DOMAIN","10824","1","0","10824"
"13","ar_to_en","24","B_USED_EXHAUSTION","348","1","348","0"
"13","ar_to_en","24","A_TRUE_GAP","2855","1","811","2044"
"13","ar_to_en","24","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","25","SUPPORTED_SMALL_DOMAIN","11713","1","0","11713"
"13","ar_to_en","25","B_USED_EXHAUSTION","496","1","494","2"
"13","ar_to_en","25","A_TRUE_GAP","3063","1","902","2161"
"13","ar_to_en","25","C_API_SAMPLING_LOSS","0","0","0","0"
"13","ar_to_en","26","SUPPORTED_SMALL_DOMAIN","12244","1","0","12244"
