"sampleIndex","sourceId","english","arabic","field","before","after","category","confidence","reason","applied"
"2","93:4","PRICE","السعر","preferredForArToEn","false","","preferred-direction issue","high","السعر is the ordinary definite price noun; PRICED is not a synonymous noun.","true"
"18","461:1","SAY","نقول","status","approved","review","serious approval/rejection error","high","نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first.","true"
"18","461:1","SAY","نقول","preferredForEnToAr","","false","preferred-direction issue","high","نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first.","true"
"18","461:1","SAY","نقول","preferredForArToEn","","false","preferred-direction issue","high","نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first.","true"
"20","35:0","IF","لو","preferredForArToEn","false","","preferred-direction issue","high","لو is valid for hypothetical/counterfactual if. A personal-name LOU collision is irrelevant to general vocabulary.","true"
"22","70:1","WEB","الويب","preferredForArToEn","false","","preferred-direction issue","high","الويب is a standard modern borrowing for the Web; WEBB is a name, not another translation of the concept.","true"
"25","138:0","AFTER","بعدما","partOfSpeech","preposition / conjunction","conjunction","POS/sense issue","high","بعدما introduces a clause meaning after; its POS here is conjunction, not the preposition after before a noun.","true"
"38","264:3","SOUTH","جنوب","preferredForArToEn","false","","preferred-direction issue","high","جنوب is the direction south. SOUTHERN is an adjective, so the logged collision is grammatically mismatched.","true"
"43","474:2","CART","عربة التسوق","status","rejected","approved","serious approval/rejection error","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"43","474:2","CART","عربة التسوق","partOfSpeech","","noun","POS/sense issue","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"43","474:2","CART","عربة التسوق","sense","","shopping cart (US usage)","POS/sense issue","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"43","474:2","CART","عربة التسوق","preferredForEnToAr","false","","preferred-direction issue","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"43","474:2","CART","عربة التسوق","preferredForArToEn","false","","preferred-direction issue","high","In US usage cart can mean a shopping cart. عربة التسوق is a legitimate sense-specific translation, not automatically an erroneous expansion.","true"
"45","438:2","LIBRARY","المكتبة العامة","status","rejected","review","semantic translation issue","high","المكتبة العامة is a real public-library subtype. Narrowness alone does not prove mistranslation; defer context/preference rather than label it categorically wrong.","true"
"46","430:2","GALLERY","معرض الصور","status","rejected","approved","serious approval/rejection error","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"46","430:2","GALLERY","معرض الصور","partOfSpeech","","noun","POS/sense issue","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"46","430:2","GALLERY","معرض الصور","sense","","display or collection of pictures","POS/sense issue","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"46","430:2","GALLERY","معرض الصور","preferredForEnToAr","false","","preferred-direction issue","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"46","430:2","GALLERY","معرض الصور","preferredForArToEn","false","","preferred-direction issue","high","A gallery may be a collection/display of pictures, including online. معرض الصور is legitimate in that sense and should not be rejected merely for two words.","true"
"50","63:0","SO","أجل.","register","uncertain","msa","register issue","high","أجل is standard affirmative yes, not a general translation of so. Register and semantic correctness must be assessed separately.","true"
"53","271:1","OWN","الخاصة بك","status","rejected","review","semantic translation issue","high","الخاصة بك can express your own in a possessive construction. It is context-bound, but categorical rejection solely for the possessive is too strong.","true"
"55","14:1","YOU","انتي","status","rejected","review","semantic translation issue","high","انتي may represent a colloquial spelling or a misspelling of standard أنتِ. Script alone does not establish dialect with high confidence; keep unresolved.","true"
"55","14:1","YOU","انتي","register","dialect","uncertain","register issue","high","انتي may represent a colloquial spelling or a misspelling of standard أنتِ. Script alone does not establish dialect with high confidence; keep unresolved.","true"
"60","279:3","AMERICAN","الامريكي","register","uncertain","msa","register issue","high","الامريكي has a recoverable hamza omission in a standard adjective. Keep orthography review, but the missing hamza is not evidence of uncertain register.","true"
"61","300:1","NORTH","شمالي","register","uncertain","msa","register issue","high","شمالي is northern/northerly. NORTH can be attributive, but that convention is not settled; the Arabic adjective itself is standard.","true"
"62","77:0","FIRST","اول","register","uncertain","msa","register issue","high","اول intends أول. Standard-register adjective with unresolved written hamza, not an unknown register.","true"
"63","252:0","PRICES","اسعار","register","uncertain","msa","register issue","high","اسعار intends أسعار, a standard plural noun; retain spelling review separately from register.","true"
"64","215:1","SEND","ارسال","register","uncertain","msa","register issue","high","ارسال intends إرسال, a verbal noun. Both hamza and verb-versus-masdar convention need review; register is standard.","true"
"65","369:0","SAVE","حفظ","register","uncertain","msa","register issue","high","حفظ can be saving/preservation or a past-form verb. It is standard Arabic, but bare SAVE needs a consistent verb-entry convention.","true"
"66","112:3","USED","استخدمت","register","uncertain","msa","register issue","high","استخدمت is a standard person-marked past form. USED can be past or adjective; context is missing, not register evidence.","true"
"68","176:2","RESEARCH","ابحاث","register","uncertain","msa","register issue","high","ابحاث intends أبحاث. It is a standard research noun with an orthographic omission, so register uncertainty conflates two different questions.","true"
"69","186:3","GAMES","العاب","register","uncertain","msa","register issue","high","العاب intends ألعاب; missing hamza merits spelling review, not a dialect/unknown-register conclusion.","true"
"70","25:1","NEW","جدد","status","review","approved","semantic translation issue","high","جدد is the legitimate masculine plural adjective new, as with new teachers. Gender/number alternatives were accepted elsewhere and should be treated consistently.","true"
"70","25:1","NEW","جدد","partOfSpeech","","adjective","POS/sense issue","high","جدد is the legitimate masculine plural adjective new, as with new teachers. Gender/number alternatives were accepted elsewhere and should be treated consistently.","true"
"71","452:0","SECOND","ثانيا","register","uncertain","msa","register issue","high","ثانيا is the adverb secondly rather than a simple ordinal noun. The Arabic is standard; grammatical correspondence still needs context.","true"
"72","354:1","ANOTHER","اخرى","register","uncertain","msa","register issue","high","اخرى intends أخرى, a standard feminine adjective. Orthography review remains appropriate.","true"
"73","26:2","MORE","اكثر","register","uncertain","msa","register issue","high","اكثر intends أكثر, a standard comparative/quantifier. Review the hamza without treating register as unknown.","true"
"74","321:3","CHANGE","غير","register","uncertain","msa","register issue","high","غير has standard adjective/noun/verb readings including other/change depending on vocalization. Unresolved POS is not uncertain register.","true"
"75","6:0","FOR","لاجل","register","uncertain","msa","register issue","high","لاجل intends لأجل, a standard prepositional expression. Keep orthography review; do not rewrite automatically.","true"
"76","96:3","TOP","الاعلى","register","uncertain","msa","register issue","high","الاعلى intends الأعلى, a standard superlative adjective. Missing hamza is a written-form issue.","true"
"77","491:0","THINGS","اشياء","register","uncertain","msa","register issue","high","اشياء intends أشياء, a standard plural noun. Retain spelling review with MSA register.","true"
"79","76:1","ONLINE","على الانترنت","register","uncertain","msa","register issue","high","على الانترنت is an ordinary online phrase with hamza omission. Multiword form is valid; only orthography remains uncertified.","true"
"80","93:3","PRICE","سعر","preferredForArToEn","false","","preferred-direction issue","high","سعر is the ordinary price noun; the past participle PRICED cannot by itself justify reverse exclusion.","true"
"83","28:1","WAS","كان","preferredForArToEn","false","","preferred-direction issue","high","كان is an ordinary was equivalent. HAD without possession/perfect context is not an independent same-sense competitor.","true"
"85","485:0","USERS","المستخدمون","preferredForArToEn","false","","preferred-direction issue","high","المستخدمون is users. An unvowelled employed reading does not justify rejecting the plural noun USERS categorically.","true"
"90","483:1","APRIL","نيسان","preferredForArToEn","false","","preferred-direction issue","high","نيسان is standard April. NISSAN is a brand and has a different length; neither is good evidence for excluding APRIL.","true"
"91","321:4","CHANGE","تغير","preferredForArToEn","false","","preferred-direction issue","high","تغير is a standard change noun when read تغيّر. The English past form CHANGED alone is not a valid exclusion argument.","true"
