SECRET|Pn Pj An Aj
LINEAR|Aj Pj Aj
MINE|Aq Pq On Pn Pn An Cn|3=explosive device;4=excavation;5=explosive device
RICE|On Rn Rn On Ru Pn
ORIGIN|On On Pn
RICH|Aj Aj Ru Aj Pj Aj
GAVE|Ov Av Ov Pv
TASK|Pn
DISC|Pn An
BRAIN|An Pn An An Cn
PARENT|Pn
DELETE|Pv Av Av Av Av
FUEL|Pn An
GENDER|Cn Pn
EVIL|An An Pn
EXPERT|Pn An An An
WIRE|An Pn
LIMIT|An Pn
CODES|Pn An
EASILY|Pb
BATH|Pn An Ru
DOUBT|An Ov Pn
EXPECT|Ov Av Pv
BEAR|An Ru Pn
DAMAGE|On On Pn An
POLL|An An Pn
SNOW|Pn An Ru
TITLES|An On Pn On
DOLLAR|An Pn
CELLS|An An Pn|1=prison cells
CALLS|An An An Pn|2=appeals or calls
COVERAGE|Cn An Pn
GONE|Av Av Pv Av
ORANGE|Ru Aj Pj Pn Aj An
SENATE|Pn
SLEEP|Pn Pv Av Av An
SEEMED|Av Ov Pv
PROFIT|On An On Pn Cn
URBAN|Cn Aj Aj Aj Pj
REDUCE|Pv
DEALER|Pn An An Cn An
LENS|Pn Cn Cn An
MATH|Pn An
RELIEF|On On Pn
ERRORS|On On Pn
ACCURATE|Aj Pj Aj
APARTMENTS|An Pn An
BIRD|An An Pn An Ru Cn Cn
SING|Av Ov Pv Av Av
SLIDE|Pv Pn An An
POSTAL|Pj Cn
EXTENT|Pn An
NECK|An An Pn An
COUPONS|Pn An
SLEEVE|An Pn
TOUCH|Av Pv Pn An Av Hn
DEPTH|Pn An
EARN|Pv Av Av
FACTS|An An An Pn
CRIME|Pn An Cn
BREAST|An Pn
EASIER|Oj Pj
INTENT|An Pn An
LUCK|Pn An Cn
SCRIPT|Pn An An An Rn|0=screenplay;1=screenplay
SHIRTS|Pn An
ALONE|Rb Ab Pj Aj Cb
PRIDE|An Pn An An
TENNIS|Pn An
DEPOSIT|Pn Cn Cn
RINGS|An Pn An An|0=loops;1=jewelry;2=loops;3=jewelry
PEARL|An Ru An Pn
ENDS|Pv Cn
WONDER|Pn
MISSED|Av Pv Cv|1=failed to catch or attend
OCEAN|Cn An Pn
STATED|Pv Av
TIDE|An Pn An
GENE|Pn
PLEASED|Cv Pj
AWARE|Pj Aj
ONES|Cn
PRIEST|An Pn An An
CLAIMS|An Pn Hn
ROMAN|Pj Cn Aj Aj
EXPLORE|Pv Av Av
CONCEPT|Pn
PURE|Aj Pj Aj
APPEAL|An An Pn An Pn|0=request;1=legal challenge;2=request;3=legal challenge;4=legal challenge
SPREAD|Av Pv Pn
BLOCKS|Pn An
TRIPLE|Aj Pj Aj
ROUTINE|Aj Pn Aj Aj An
FOOT|An Pn
ATTEND|Pv
FLIGHT|Cn An An Pn
CAMP|Ru An Pn An An
HAPPENED|Pv Av
DETAIL|An Cn Cn Pn
FINDER|Pn
PROCEED|Pv
HIDE|Ov Dv Ov Pv
MOUTH|Pn An
UNCLE|Dn Cn Pn An
PREFERENCES|Pn
FILL|Pv Ov Ov
ASSETS|On An On An Pn
MYSELF|Pq Oq
AGENDA|On Pn
ICON|An On Pn
BEE|An An Pn An
TRENDS|An An Pn
RANK|An Pn
HIRE|Cv
STANDS|Pv Av
RARE|Aj Pj Aj
DRESS|Pn An An An An
BOAT|An An Pn An An
SPIRIT|An Pn
DEFINE|Pv Av
RACING|An Pn An An
LEISURE|Pn
BORED|Cj Cn Cn
RECOVERY|An An Pn An On An|0=retrieval;1=return to health;2=return to health;3=revival;5=retrieval
FRAUD|An An An Pn An|2=deceptive person
CONFERENCES|An Pn
LEADER|An Pn
ALERTS|Pn
STYLES|An On On On On Pn
INCH|Pn On
AGREED|Pv Aj Aj
PRAY|Av Av Ov Av Pv
LOOKED|Pv Av Av|0=directed the gaze;1=seemed;2=seemed
AHEAD|Pb
DREAM|An Av Ov Pn
LACK|An An Pn
HOSTED|Pv Cv Av Aj
RECRUITMENT|An An An Pn|0=military recruitment;2=military recruitment
PASSED|Pv
PAL|Hn
DELTA|Pn
RESORT|Pn An Pn|2=recourse
CANON|Rn Cn
MEMORIAL|Aj Pn
RIP|Ru Pv Av
PLANNED|Pj Cj
INDEED|Pb
ABUSE|On On Pn
MASS|An Pn Pn An|2=religious service;3=religious service
FRAMES|On On On On Pn
REVISED|Aj Pj Aj
ENEMY|An Pn
TAPE|An Pn
SOFT|Aj Aj Aj Pj
TONIGHT|Pb
IDEAL|Aj Hn Pj
WARS|Pn An
ANYWAY|Pb
DROP|Pn Ov Ov
ROSE|Ru Pn An
SOUL|An Cn Pn
GIVING|An On Pn
RAIN|Pn An On
INVEST|Pv Av Av
CLUBS|Pn On On An
FORT|Pn An Ru
ROMANCE|Pn An
SILENT|Aj Aj Pj Aj
PRIME|Hn
SHADOW|An Pn
STEPS|An Pn
CREEK|Ru Pn|1=coastal inlet
WIDTH|Pn
FORGOT|Pv
COUPLE|An Pn An
SCALE|Pn An
BYE|Ri Ri Pi
SORTED|Pj Cv Cv
LANE|Ru
GHOST|Pn Ru An
MODIFY|Pv Av
OLDEST|Oj Oj Pj
SOLAR|Aj Pj Aj Cn
GENERATION|Pn An Pn|0=production;1=age cohort;2=age cohort
ATOM|Pn An
BATTLE|Pn Ru An
OWNED|Pj Aj
BECAME|Av Pv
PRINCE|Rn Rn On On Pn
ASPECT|Pn An
SEQUENCE|An An Pn
COLLECTIONS|An An Pn Cn
DISK|Pn An
SAYING|Pn Pv
HATE|An An Cn Pn
ARRIVED|Pv Av
REACH|Pv
EXTEND|Pv
PROCEEDINGS|On Pn
BRANCH|An Pn Ru
SEEK|Av Pv
SPECIFICATION|Cn Cn
DUTY|An Pn
