"batch","language","length","count","unit"
"1","english","1","2","headwords"
"1","english","2","21","headwords"
"1","english","3","55","headwords"
"1","english","4","125","headwords"
"1","english","5","106","headwords"
"1","english","6","65","headwords"
"1","english","7","59","headwords"
"1","english","8","39","headwords"
"1","english","9","14","headwords"
"1","english","10","7","headwords"
"1","english","11","6","headwords"
"1","english","13","1","headwords"
"1","arabic","1","1","source relationships; variants retained"
"1","arabic","2","48","source relationships; variants retained"
"1","arabic","3","192","source relationships; variants retained"
"1","arabic","4","338","source relationships; variants retained"
"1","arabic","5","373","source relationships; variants retained"
"1","arabic","6","243","source relationships; variants retained"
"1","arabic","7","217","source relationships; variants retained"
"1","arabic","8","57","source relationships; variants retained"
"1","arabic","9","27","source relationships; variants retained"
"1","arabic","10","8","source relationships; variants retained"
"1","arabic","11","9","source relationships; variants retained"
"1","arabic","12","3","source relationships; variants retained"
"1","arabic","13","3","source relationships; variants retained"
"1","arabic","14","1","source relationships; variants retained"
"1","arabic","15","1","source relationships; variants retained"
"1","arabic","16","4","source relationships; variants retained"
"1","arabic","17","1","source relationships; variants retained"
"2","english","3","25","headwords"
"2","english","4","91","headwords"
"2","english","5","101","headwords"
"2","english","6","86","headwords"
"2","english","7","73","headwords"
"2","english","8","59","headwords"
"2","english","9","32","headwords"
"2","english","10","18","headwords"
"2","english","11","6","headwords"
"2","english","12","6","headwords"
"2","english","13","2","headwords"
"2","english","14","1","headwords"
"2","arabic","2","13","source relationships; variants retained"
"2","arabic","3","160","source relationships; variants retained"
"2","arabic","4","330","source relationships; variants retained"
"2","arabic","5","392","source relationships; variants retained"
"2","arabic","6","249","source relationships; variants retained"
"2","arabic","7","238","source relationships; variants retained"
"2","arabic","8","87","source relationships; variants retained"
"2","arabic","9","41","source relationships; variants retained"
"2","arabic","10","10","source relationships; variants retained"
"2","arabic","11","8","source relationships; variants retained"
"2","arabic","12","6","source relationships; variants retained"
"2","arabic","13","3","source relationships; variants retained"
"2","arabic","14","2","source relationships; variants retained"
"2","arabic","15","3","source relationships; variants retained"
"2","arabic","16","1","source relationships; variants retained"
"3","english","2","1","headwords"
"3","english","3","16","headwords"
"3","english","4","65","headwords"
"3","english","5","72","headwords"
"3","english","6","94","headwords"
"3","english","7","88","headwords"
"3","english","8","68","headwords"
"3","english","9","34","headwords"
"3","english","10","30","headwords"
"3","english","11","16","headwords"
"3","english","12","8","headwords"
"3","english","13","5","headwords"
"3","english","14","3","headwords"
"3","arabic","2","11","source relationships; variants retained"
"3","arabic","3","130","source relationships; variants retained"
"3","arabic","4","282","source relationships; variants retained"
"3","arabic","5","345","source relationships; variants retained"
"3","arabic","6","249","source relationships; variants retained"
"3","arabic","7","211","source relationships; variants retained"
"3","arabic","8","87","source relationships; variants retained"
"3","arabic","9","53","source relationships; variants retained"
"3","arabic","10","15","source relationships; variants retained"
"3","arabic","11","7","source relationships; variants retained"
"3","arabic","12","11","source relationships; variants retained"
"3","arabic","13","2","source relationships; variants retained"
"3","arabic","14","6","source relationships; variants retained"
"3","arabic","15","4","source relationships; variants retained"
"3","arabic","16","3","source relationships; variants retained"
"3","arabic","17","1","source relationships; variants retained"
"3","arabic","18","1","source relationships; variants retained"
"4","english","3","58","headwords"
"4","english","4","23","headwords"
"4","english","5","16","headwords"
"4","english","6","20","headwords"
"4","english","7","198","headwords"
"4","english","8","11","headwords"
"4","english","9","121","headwords"
"4","english","10","5","headwords"
"4","english","11","29","headwords"
"4","english","12","1","headwords"
"4","english","13","18","headwords"
"4","arabic","2","9","source relationships; variants retained"
"4","arabic","3","146","source relationships; variants retained"
"4","arabic","4","366","source relationships; variants retained"
"4","arabic","5","264","source relationships; variants retained"
"4","arabic","6","220","source relationships; variants retained"
"4","arabic","7","166","source relationships; variants retained"
"4","arabic","8","62","source relationships; variants retained"
"4","arabic","9","29","source relationships; variants retained"
"4","arabic","10","14","source relationships; variants retained"
"4","arabic","11","9","source relationships; variants retained"
"4","arabic","12","6","source relationships; variants retained"
"4","arabic","13","5","source relationships; variants retained"
"4","arabic","14","2","source relationships; variants retained"
"4","arabic","15","2","source relationships; variants retained"
"4","arabic","16","6","source relationships; variants retained"
"4","arabic","17","1","source relationships; variants retained"
