"sampleIndex","sourceId","english","arabic","field","before","after","category","confidence","reason","applied"
"2","93:4","PRICE","السعر","preferredForArToEn","false","","preferred-direction issue","high","السعر is the ordinary definite price noun; PRICED is not a synonymous noun.","true"
"3","194:2","HOTEL","فندق","preferredForArToEn","false","","preferred-direction issue","medium","فندق is a hotel. A motel is a narrower hotel type; its existence alone should not disqualify the dominant translation.","false"
"4","358:1","CLASS","الفصل","preferredForArToEn","false","","preferred-direction issue","medium","الفصل can denote a school class or a chapter; both senses are real, but the English answer lengths differ.","false"
"6","198:3","CENTER","الوسط","preferredForArToEn","false","","preferred-direction issue","medium","الوسط can mean the middle or center; this is a valid locational sense rather than a central adjective.","false"
"10","495:3","TAX","الضريبة","preferredForArToEn","false","","preferred-direction issue","medium","الضريبة is singular tax; no plural or tax-related adjective has been introduced.","false"
"11","173:2","SET","مجموعة","preferredForArToEn","false","","preferred-direction issue","medium","مجموعة is a collection or set; the collection sense is coherent even though not uniquely reverse-translatable.","false"
"13","242:4","FORUM","الملتقى","preferredForArToEn","false","","preferred-direction issue","medium","الملتقى can name a forum or gathering; geographical confluence is a different sense, not proof every forum clue is unfair.","false"
"14","68:3","BUSINESS","الأعمال","preferredForArToEn","false","","preferred-direction issue","medium","الأعمال is idiomatic for business activities; plural Arabic is legitimate for this English mass/activity noun.","false"
"15","514:4","STORES","مخازن","preferredForArToEn","false","","preferred-direction issue","medium","مخازن denotes stores/storehouses, not just retail shops; this is a valid storage-place sense.","false"
"16","187:3","WAY","الطريقة","preferredForArToEn","false","","preferred-direction issue","medium","الطريقة means a method or way; ordinary equivalence, with different-length common English alternatives.","false"
"18","461:1","SAY","نقول","status","approved","review","serious approval/rejection error","high","نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first.","true"
"18","461:1","SAY","نقول","preferredForEnToAr","","false","preferred-direction issue","high","نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first.","true"
"18","461:1","SAY","نقول","preferredForArToEn","","false","preferred-direction issue","high","نقول explicitly means we say. Certifying an unqualified SAY lemma while rejecting other person-marked forms is inconsistent; require the verb-form convention first.","true"
"20","35:0","IF","لو","preferredForArToEn","false","","preferred-direction issue","high","لو is valid for hypothetical/counterfactual if. A personal-name LOU collision is irrelevant to general vocabulary.","true"
"21","460:2","BETTER","أفضل","preferredForArToEn","false","","preferred-direction issue","medium","أفضل legitimately expresses better or best depending on construction; the English answer length resolves BETTER versus BEST.","false"
"22","70:1","WEB","الويب","preferredForArToEn","false","","preferred-direction issue","high","الويب is a standard modern borrowing for the Web; WEBB is a name, not another translation of the concept.","true"
"25","138:0","AFTER","بعدما","partOfSpeech","preposition / conjunction","conjunction","POS/sense issue","high","بعدما introduces a clause meaning after; its POS here is conjunction, not the preposition after before a noun.","true"
"26","490:2","FINANCIAL","المالية","preferredForArToEn","false","","preferred-direction issue","medium","المالية is a feminine definite financial adjective in context; FINANCE is a different grammatical reading and length.","false"
"32","516:3","ACT","تصرف","preferredForArToEn","false","","preferred-direction issue","medium","تصرف can name an act or behavior. CONDUCT and DISPOSITION are different lengths; collision counting overstates exclusion evidence.","false"
"35","266:1","PROJECT","المشروع","preferredForArToEn","false","","preferred-direction issue","medium","المشروع is a project; its proposal/draft readings do not automatically make PROJECT an unfair answer.","false"
"37","320:1","LOCATION","الموقع","preferredForArToEn","false","","preferred-direction issue","medium","الموقع can be a location or site; both ordinary meanings are valid, but word lengths differ.","false"
