experiment,seed,size,mode,policy,success,reason,templatesDiscovered,viableTemplates,templatesAttempted,solverAttempts,constructEmpty,maximumDepth,slotSelections,selectedDomainTotal,lookups,examined,duplicateVisits,lookupMs,placementMs,validationMs,backtracks,forwardFailures,mrvDeadEnds,observedDeadlineExits,buildRejections,validationErrors
"baseline","1","7","ar_to_en","compatibility","true","success","24","24","1","1","0","22","42","1050","494","null","null","4.682624999990139","0.038788999999269436","0.5060419999999795","20","40","0","0","[]","[]"
"baseline","1","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","24","24","16","106113","306606","1712630","null","null","2061.5647919994444","22.51242600012779","0","106136","194726","47","129","[]","[]"
"baseline","1","9","ar_to_en","compatibility","true","success","24","24","8","8","7","31","52950","123841","656361","null","null","913.5739820014242","7.656651999938731","0.1480410000003758","52924","65963","12","67","[]","[]"
"baseline","1","9","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","37","37","15","77358","217426","2056320","null","null","2706.4307889967104","16.6065779999808","0","77474","138285","153","76","[]","[]"
"baseline","1","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","31","50969","161318","1685912","null","null","3140.031350995083","11.621427999478328","0","50962","99713","17","136","[]","[]"
"baseline","1","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","189","189","15","45337","99424","1704060","null","null","3041.5404199927852","9.470446999315755","0","45344","53450","195","61","[]","[]"
"baseline","1","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","21","38249","124641","1795163","null","null","3107.1619200027308","9.70065600014641","0","38230","78014","5","128","[]","[]"
"baseline","1","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","24","24","24","480","480","0","480","7680","75900","null","null","70.66330899943569","1.0304149995754415","0","0","7680","0","0","[]","[]"
"baseline","1","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","6","6","1","2","2","24","6523","22273","374471","null","null","1281.9779500026161","1.4509899997538014","0","6521","15190","0","35","[]","[]"
"baseline","1","13","en_to_ar","approved-only","false","observed_deadline_no_complete_fill","6","6","5","82","82","12","9343","24740","611423","null","null","1252.3676930025176","1.7987790001716348","0","9261","15399","0","14","[]","[]"
"baseline","2","7","ar_to_en","compatibility","true","success","24","24","1","1","0","21","4334","11475","70063","null","null","87.87790899991523","0.7503950002283091","0.10345899999811081","4332","6262","19","0","[]","[]"
"baseline","2","7","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","24","24","16","111551","315402","1850961","null","null","2082.219087998561","23.825099000969203","0","111548","198478","18","120","[]","[]"
"baseline","2","9","ar_to_en","compatibility","true","success","24","24","2","2","1","32","6392","17027","121394","null","null","226.60577300357545","1.2575519996717048","0.16604199999710545","6359","9426","0","5","[]","[]"
"baseline","2","9","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","36","36","18","83973","242423","2246210","null","null","2715.521095998738","18.600684998458746","0","84136","156291","198","97","[]","[]"
"baseline","2","11","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","19","49632","156659","1684350","null","null","3139.208325012223","12.582814000052167","0","49641","96342","33","126","[]","[]"
"baseline","2","11","ar_to_en","approved-only","false","observed_deadline_no_complete_fill","24","24","24","158","158","18","45696","101532","1718523","null","null","3074.521074001146","9.46328700054437","0","45739","54921","201","59","[]","[]"
"baseline","2","13","ar_to_en","compatibility","false","observed_deadline_no_complete_fill","24","24","24","24","24","19","40151","126118","1903541","null","null","3112.293221998305","10.608769001075416","0","40151","77505","24","128","[]","[]"
"baseline","2","13","ar_to_en","approved-only","false","no_complete_fill_deadline_not_established","24","24","24","480","480","0","480","7680","75580","null","null","70.6134399998773","1.0555850004748208","0","0","7680","0","0","[]","[]"
"baseline","2","13","en_to_ar","compatibility","false","observed_deadline_no_complete_fill","6","6","1","2","2","57","38118","117902","836534","null","null","1265.409328996735","6.352444999058207","0","38116","78769","0","80","[]","[]"
