"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason","preferredForEnToAr","preferredForArToEn"
"4","0","A","أداة تنكير","review","msa","medium","needs-linguistic-confirmation","A → أداة تنكير: Arabic has no direct indefinite article; this is a grammatical explanation rather than a standalone equivalent.","AI-assisted linguistic review","","false","stage3a:h4:t0","review","uncertain","أداة تنكير","أداةتنكير","أداةتنكير","أداة تنكير","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"7","0","IS","هو كذلك","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds a subject and “so”; a whole response is not the isolated copula.","AI-assisted linguistic review","","false","stage3a:h7:t0","review","uncertain","هو كذلك","هوكذلك","هوكذلك","هو كذلك","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"9","0","THAT","هذا","review","uncertain","medium","needs-linguistic-confirmation","THAT → هذا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h9:t0","review","uncertain","هذا","هذا","هذا","هذا","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"13","0","I","أولاً","rejected","msa","high","incorrect-or-mismatched-equivalent","Ordinal “first”, not the first-person pronoun.","AI-assisted linguistic review","","false","stage3a:h13:t0","review","uncertain","أولاً","أولا","أولا","أولاً","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"18","0","ARE","نعم.","rejected","msa","high","incorrect-or-mismatched-equivalent","Affirmative “yes”, not a form of be.","AI-assisted linguistic review","","false","stage3a:h18:t0","review","uncertain","نعم.","نعم","نعم","نعم.","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"21","0","AS","حسب","review","uncertain","medium","needs-linguistic-confirmation","AS → حسب: According to is context-specific; cannot certify it as a general standalone equivalent.","AI-assisted linguistic review","","false","stage3a:h21:t0","review","uncertain","حسب","حسب","حسب","حسب","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"24","1","HAVE","قد","review","msa","medium","needs-linguistic-confirmation","HAVE → قد: Possession and perfect auxiliary uses require sentence context; first-person عندي and auxiliary قد are not general equivalents.","AI-assisted linguistic review","","false","stage3a:h24:t1","review","uncertain","قد","قد","قد","قد","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"27","0","AN","أداة تنكير","review","msa","medium","needs-linguistic-confirmation","AN → أداة تنكير: Arabic has no direct indefinite article; this is a grammatical explanation rather than a standalone equivalent.","AI-assisted linguistic review","","false","stage3a:h27:t0","review","uncertain","أداة تنكير","أداةتنكير","أداةتنكير","أداة تنكير","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"30","0","WILL","ويل","review","uncertain","medium","needs-linguistic-confirmation","WILL → ويل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h30:t0","review","uncertain","ويل","ويل","ويل","ويل","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"33","0","US","نحن","rejected","msa","high","incorrect-or-mismatched-equivalent","Subject pronoun “we”; does not represent the object pronoun us.","AI-assisted linguistic review","","false","stage3a:h33:t0","review","uncertain","نحن","نحن","نحن","نحن","true","Reference supports a relationship not certified by this review; reference is not authoritative.","false","false"
"40","0","FREE","مجانا","review","uncertain","medium","needs-linguistic-confirmation","FREE → مجانا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h40:t0","review","uncertain","مجانا","مجانا","مجانا","مجانا","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"53","4","WHAT","ما هذا؟","review","uncertain","medium","needs-linguistic-confirmation","WHAT → ما هذا؟: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","stage3a:h53:t4","review","uncertain","ما هذا؟","ماهذا","ماهذا","ما هذا؟","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
"55","0","THEIR","لهم","review","msa","medium","needs-linguistic-confirmation","THEIR → لهم: Possessive vs prepositional pronoun construction needs context.","AI-assisted linguistic review","","false","stage3a:h55:t0","review","uncertain","لهم","لهم","لهم","لهم","true","Reference supports a relationship not certified by this review; reference is not authoritative.","",""
