"sourceId","originalDecision","revisedDecision","reason","confidence"
"1783:0","{""headwordIndex"":1783,""translationIndex"":0,""english"":""WHOSE"",""original"":""الذين"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""pronoun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""WHOSE — الذين: الذين is a nonpossessive plural relative pronoun. Whose introduces possession; the supplied form omits that essential relation. Second pass: The relative pronoun omits the possession relation required by whose. A full sentence could add possession elsewhere, but the standalone relationship lacks it."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1783,""translationIndex"":0,""english"":""WHOSE"",""original"":""الذين"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""pronoun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The supplied relative pronoun lacks the possession relation expressed by whose."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The supplied relative pronoun lacks the possession relation expressed by whose.","high"
"6749:0","{""headwordIndex"":6749,""translationIndex"":0,""english"":""UNCLE"",""original"":""عمو"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""dialect"",""reason"":""UNCLE — عمو: عمو is a colloquial/familiar uncle address form; standard عم is separately preserved and approved. Second pass: The familiar vocative عمو is colloquial. The natural MSA عم relationship already remains separately available."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":6749,""translationIndex"":0,""english"":""UNCLE"",""original"":""عمو"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""This familiar uncle address is colloquial; standard عم remains a separate valid relationship."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","This familiar uncle address is colloquial; standard عم remains a separate valid relationship.","high"
"5024:0","{""headwordIndex"":5024,""translationIndex"":0,""english"":""LIVER"",""original"":""كب"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""uncertain"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""LIVER — كب: كب is a verb such as poured/toppled, not the organ liver; deletion of د creates a different word. Second pass: The truncated spelling names no liver-organ sense. Under a standard Arabic reading it is an unrelated pouring/toppling verb."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":5024,""translationIndex"":0,""english"":""LIVER"",""original"":""كب"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""uncertain"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The truncated word has no supported organ sense; POS for the intended relationship is unresolved."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The truncated word has no supported organ sense; POS for the intended relationship is unresolved.","high"
"2717:1","{""headwordIndex"":2717,""translationIndex"":1,""english"":""HIDE"",""original"":""تبي"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""dialect"",""reason"":""HIDE — تبي: تبي is a Gulf colloquial want expression, not MSA hide. Preserve but reject this relationship for dialect and meaning. Second pass: The Gulf colloquial verb means want, not hide. Both non-MSA register and wrong meaning support exclusion without rewriting."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2717,""translationIndex"":1,""english"":""HIDE"",""original"":""تبي"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The Gulf want expression is neither MSA nor a translation of hide."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The Gulf want expression is neither MSA nor a translation of hide.","high"
"2452:2","{""headwordIndex"":2452,""translationIndex"":2,""english"":""BATH"",""original"":""باث"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""BATH — باث: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2452,""translationIndex"":2,""english"":""BATH"",""original"":""باث"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""A Bath name transliteration does not supply the ordinary bathing noun."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","A Bath name transliteration does not supply the ordinary bathing noun.","high"
"3859:1","{""headwordIndex"":3859,""translationIndex"":1,""english"":""STEREO"",""original"":""ستيريو"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""register-review"",""reason"":""STEREO — ستيريو: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3859,""translationIndex"":1,""english"":""STEREO"",""original"":""ستيريو"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The sound-system borrowing is recognizable, but this pass does not establish its standalone MSA register convention."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The sound-system borrowing is recognizable, but this pass does not establish its standalone MSA register convention.","high"
"2483:0","{""headwordIndex"":2483,""translationIndex"":0,""english"":""BETA"",""original"":""بيتا"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""register-review"",""reason"":""BETA — بيتا: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2483,""translationIndex"":0,""english"":""BETA"",""original"":""بيتا"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The Greek-letter borrowing is plausible; retain review pending register/learner-scope evidence rather than automatic approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The Greek-letter borrowing is plausible; retain review pending register/learner-scope evidence rather than automatic approval.","high"
"3809:0","{""headwordIndex"":3809,""translationIndex"":0,""english"":""GRACE"",""original"":""جريس"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""GRACE — جريس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3809,""translationIndex"":0,""english"":""GRACE"",""original"":""جريس"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""This reads a name transliteration, not the grace/blessing noun."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","This reads a name transliteration, not the grace/blessing noun.","high"
"2400:1","{""headwordIndex"":2400,""translationIndex"":1,""english"":""ANIME"",""original"":""أنيمي"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""register-review"",""reason"":""ANIME — أنيمي: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2400,""translationIndex"":1,""english"":""ANIME"",""original"":""أنيمي"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The borrowed genre spelling needs register/orthographic support, not automatic dialect rejection."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The borrowed genre spelling needs register/orthographic support, not automatic dialect rejection.","high"
"2158:0","{""headwordIndex"":2158,""translationIndex"":0,""english"":""CAMP"",""original"":""كامب"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""CAMP — كامب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2158,""translationIndex"":0,""english"":""CAMP"",""original"":""كامب"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The transliteration is not established as a natural MSA camp noun."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The transliteration is not established as a natural MSA camp noun.","high"
