# First-pass AI-assisted per-headword notes; decisions.json contains the final second-pass judgments. Zero-based translation indices in Stage 3A.
# English|approved indices (preferred first)|part of speech; '-' means no approval.
OF|0|preposition
AND|1|conjunction
TO|0|preposition
A|-|article
IN|0|preposition
FOR|1|preposition
IS|-|verb
ON|0|preposition
THAT|1|demonstrative
BY|0|preposition
THIS|0,1|demonstrative
WITH|0|preposition
I|-|pronoun
YOU|2|pronoun
OR|0|conjunction
ARE|-|verb
FROM|0|preposition
AT|0|preposition
AS|0|conjunction
YOUR|1|possessive
ALL|3,2,4|determiner
HAVE|-|verb
NEW|0,2,3|adjective
MORE|3,0|quantifier
AN|-|article
WAS|1,0|verb
WE|0|pronoun
WILL|2|auxiliary verb
HOME|2,0,1,3|noun
CAN|0,1|auxiliary verb
US|-|pronoun
ABOUT|3,0,2|preposition
IF|0|conjunction
PAGE|0,1|noun
HAS|0|verb
SEARCH|2,1,0|noun / verb
FREE|2,3,1|adjective
BUT|0,2|conjunction
ONE|2,1|numeral
OTHER|1|adjective
DO|0|verb
NO|0|particle
INFORMATION|2,1|noun
TIME|0,1,2,3,4|noun
THEY|0|pronoun
SITE|0|noun
HE|0|pronoun
UP|0|adverb
MAY|0,2|auxiliary verb / month noun
WHAT|1,0|interrogative
WHICH|1,3|relative pronoun
THEIR|-|possessive
NEWS|-|noun
USE|2,1,3,0,4|noun / verb
ANY|-|determiner
THERE|0|adverb
SEE|2,0|verb
ONLY|0|adverb
SO|-|adverb / conjunction
HIS|-|possessive
WHEN|2,1,0|adverb / conjunction
CONTACT|1,2,3|noun
HERE|0|adverb
BUSINESS|3,0,2|noun
WHO|0|pronoun
WEB|0,1,2,3|noun
ALSO|2|adverb
NOW|2|adverb
HELP|1,0,2|noun / verb
GET|0,3|verb
VIEW|1,0,2|noun / verb
ONLINE|-|adjective / adverb
FIRST|-|ordinal / adverb
AM|-|verb
BEEN|-|verb
WOULD|-|auxiliary verb
WERE|0|verb
ME|-|pronoun
SERVICES|0,1|noun
SOME|1,0|determiner
THESE|0,1|demonstrative
CLICK|2,3,4,1|noun / verb
ITS|-|possessive
LIKE|0|preposition
SERVICE|1,0|noun
FIND|-|verb
PRICE|3,4,0|noun
DATE|3,2,0,1|noun
BACK|5,0|noun
TOP|2,0,4|noun / adjective
PEOPLE|3,4|noun
HAD|-|verb
LIST|0,2|noun
NAME|0,1|noun
JUST|1,0|adverb
OVER|0|preposition
STATE|1,4,2,0,3|noun
