"size","mode","seed","attempt","row","col","slotDirection","length","pattern","constraints","liveZero","critical","type","fullCount","sampledCount","windowCount","fullUnused","sampledUnused","windowUnused","usedMatches","omittedAnswers","retainedPct","samplingZero","samplingHealthyToSmall"
"13","ar_to_en","1","1","3","4","across","3","?T?","[{""position"":0,""characters"":[""B"",""C"",""D"",""F"",""G"",""H"",""J"",""L"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""W"",""X"",""Y""]},{""position"":1,""characters"":[""T""]},{""position"":2,""characters"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""K"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""Y""]}]","true","false","A_TRUE_GAP","0","0","0","0","0","0","[]","[]","","false","false"
"13","ar_to_en","1","1","1","9","across","4","????","[{""position"":0,""characters"":[""A"",""E""]},{""position"":1,""characters"":[""A"",""I""]},{""position"":2,""characters"":[""A"",""C"",""E"",""G"",""H"",""I"",""N"",""R"",""S"",""T"",""U"",""Y""]},{""position"":3,""characters"":[""A"",""O"",""R"",""U""]}]","true","false","A_TRUE_GAP","0","0","0","0","0","0","[]","[]","","false","false"
"13","ar_to_en","1","1","10","0","across","13","??I???????I??","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U""]},{""position"":2,""characters"":[""I""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T""]},{""position"":5,""characters"":[""A"",""C"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""S"",""T""]},{""position"":10,""characters"":[""I""]},{""position"":11,""characters"":[""A"",""D"",""E"",""L"",""N"",""O"",""P"",""R"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","true","false","A_TRUE_GAP","0","0","0","0","0","0","[]","[]","","false","false"
"13","ar_to_en","1","1","0","2","down","13","??C??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""U"",""V""]},{""position"":2,""characters"":[""C""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","true","false","B_USED_EXHAUSTION","1","1","1","0","0","0","[""CIRCUMSTANCES""]","[]","100","false","false"
"13","ar_to_en","1","1","0","2","down","13","??G??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""U"",""V""]},{""position"":2,""characters"":[""G""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""A"",""C"",""D"",""E"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","true","false","B_USED_EXHAUSTION","1","1","1","0","0","0","[""ORGANISATIONS""]","[]","100","false","false"
"13","ar_to_en","1","1","0","10","down","13","??G??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":2,""characters"":[""G""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":4,""characters"":[""A"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""C"",""E"",""F"",""I"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T""]},{""position"":10,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","true","false","B_USED_EXHAUSTION","1","1","1","0","0","0","[""ORGANISATIONS""]","[]","100","false","false"
"13","ar_to_en","1","1","0","2","down","13","??D??????????","[{""position"":0,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]},{""position"":1,""characters"":[""A"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""U"",""V""]},{""position"":2,""characters"":[""D""]},{""position"":3,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T""]},{""position"":4,""characters"":[""A"",""C"",""E"",""F"",""I"",""N"",""O"",""R"",""T"",""U""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":6,""characters"":[""A"",""B"",""C"",""H"",""I"",""L"",""N"",""O"",""S"",""T"",""U""]},{""position"":7,""characters"":[""A"",""C"",""E"",""F"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""X""]},{""position"":8,""characters"":[""A"",""E"",""F"",""I"",""M"",""N"",""O"",""R"",""T"",""U""]},{""position"":9,""characters"":[""A"",""C"",""D"",""E"",""F"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U""]},{""position"":10,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""V""]},{""position"":11,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""N"",""O"",""P"",""R"",""T"",""U"",""V""]},{""position"":12,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""Y""]}]","true","false","B_USED_EXHAUSTION","1","1","1","0","0","0","[""UNDERSTANDING""]","[]","100","false","false"
"13","ar_to_en","1","1","1","0","across","8","????????","[{""position"":0,""characters"":[""A"",""E"",""U""]},{""position"":1,""characters"":[""A"",""C"",""D"",""E"",""G"",""I"",""K"",""N"",""O"",""R"",""S"",""T"",""U""]},{""position"":2,""characters"":[""N"",""R"",""U""]},{""position"":3,""characters"":[""C"",""K"",""L"",""N""]},{""position"":4,""characters"":[""A"",""E""]},{""position"":5,""characters"":[""A"",""C"",""E"",""G"",""H"",""L"",""N"",""O"",""R"",""T""]},{""position"":6,""characters"":[""A"",""E"",""L"",""U""]},{""position"":7,""characters"":[""C"",""K"",""L"",""N""]}]","true","false","A_TRUE_GAP","0","0","0","0","0","0","[]","[]","","false","false"
"13","ar_to_en","1","1","1","0","across","8","????????","[{""position"":0,""characters"":[""A"",""E"",""I"",""T""]},{""position"":1,""characters"":[""C"",""D"",""E"",""G"",""H"",""K"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""U"",""V""]},{""position"":2,""characters"":[""D"",""E"",""O""]},{""position"":3,""characters"":[""A"",""E"",""I"",""R"",""U""]},{""position"":4,""characters"":[""B"",""C"",""D"",""E"",""F"",""G"",""H"",""M"",""N"",""O"",""P"",""R"",""S"",""T"",""Y""]},{""position"":5,""characters"":[""A"",""C"",""D"",""E"",""I"",""L"",""O"",""T"",""U""]},{""position"":6,""characters"":[""A"",""C"",""D"",""E"",""F"",""G"",""H"",""L"",""M"",""N"",""O"",""P"",""R"",""S"",""U"",""V""]},{""position"":7,""characters"":[""A"",""O"",""R"",""U""]}]","true","false","A_TRUE_GAP","0","0","0","0","0","0","[]","[]","","false","false"
"13","ar_to_en","1","1","0","1","down","5","??D??","[{""position"":0,""characters"":[""A"",""I""]},{""position"":1,""characters"":[""E"",""R""]},{""position"":2,""characters"":[""D""]},{""position"":3,""characters"":[""A"",""D"",""E"",""I"",""N"",""O"",""U""]},{""position"":4,""characters"":[""A"",""C"",""D"",""H"",""I"",""L"",""M"",""O"",""R"",""S"",""T"",""W"",""X"",""Y""]}]","true","false","A_TRUE_GAP","0","0","0","0","0","0","[]","[]","","false","false"
