experiment,seed,size,mode,policy,rank,slot,pattern,used,reason,depth,prefixCounts
"baseline","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""across"",""length"":3}","TET","[""CAUSING"",""COT"",""ITO"",""ETA"",""PURSUIT""]","forward_zero","5","[{""position"":0,""letter"":""T"",""remaining"":54},{""position"":1,""letter"":""E"",""remaining"":11},{""position"":2,""letter"":""T"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""across"",""length"":3}","TET","[""CAUSING"",""COT"",""ITO"",""ETA"",""CIRCUIT""]","forward_zero","5","[{""position"":0,""letter"":""T"",""remaining"":54},{""position"":1,""letter"":""E"",""remaining"":11},{""position"":2,""letter"":""T"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":3,""col"":2,""direction"":""across"",""length"":3}","Q??","[""CAUSING"",""COT"",""ITO"",""ETA"",""MARQUIS""]","forward_zero","5","[{""position"":0,""letter"":""Q"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":1,""direction"":""down"",""length"":3}","?AA","[""CAUSING"",""COT"",""LAO""]","forward_zero","3","[{""position"":1,""letter"":""A"",""remaining"":180},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":1,""col"":4,""direction"":""across"",""length"":3}","SRA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PUT"",""URN"",""ZIONIST""]","forward_zero","11","[{""position"":0,""letter"":""S"",""remaining"":50},{""position"":1,""letter"":""R"",""remaining"":1},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":1,""col"":4,""direction"":""across"",""length"":3}","NRA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PUT"",""URN"",""REPRINT""]","forward_zero","11","[{""position"":0,""letter"":""N"",""remaining"":47},{""position"":1,""letter"":""R"",""remaining"":0},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":1,""col"":4,""direction"":""across"",""length"":3}","RRA","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PUT"",""URN"",""TRIBUNE""]","forward_zero","11","[{""position"":0,""letter"":""R"",""remaining"":45},{""position"":1,""letter"":""R"",""remaining"":1},{""position"":2,""letter"":""A"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":3,""col"":2,""direction"":""across"",""length"":3}","D?U","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""INQUIRY""]","forward_zero","11","[{""position"":0,""letter"":""D"",""remaining"":57},{""position"":2,""letter"":""U"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""across"",""length"":7}","??AWI??","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""SAW""]","forward_zero","14","[{""position"":2,""letter"":""A"",""remaining"":78},{""position"":3,""letter"":""W"",""remaining"":1},{""position"":4,""letter"":""I"",""remaining"":0}]"
"baseline","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""across"",""length"":7}","??ABI??","[""CAUSING"",""COT"",""AGO"",""AGE"",""GRADUAL"",""TEL"",""GAR"",""GAP"",""PAY"",""AIN"",""ABILITY"",""TIA"",""DAL"",""BAS""]","forward_zero","14","[{""position"":2,""letter"":""A"",""remaining"":78},{""position"":3,""letter"":""B"",""remaining"":3},{""position"":4,""letter"":""I"",""remaining"":0}]"
