"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","effectiveTranslation"
"531","2","CREATE","انشاء","review","msa","medium","","","","","verb","orthography-review","CREATE — انشاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","531:2","إنشاء","false","{""arabic"":""انشاء"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}"
"531","3","CREATE","انشئ","review","msa","medium","","","","","verb","orthography-review","CREATE — انشئ: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","531:3","إنشاء","false","{""arabic"":""انشئ"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}"
"534","3","YOUNG","الشباب","review","msa","medium","","","","","adjective","construction-or-sense-review","YOUNG — الشباب: الشباب is youth/young people; an isolated adjective-to-collective reading needs confirmation.","AI-assisted linguistic review","[]","534:3","الشباب","true","{""arabic"":""الشباب"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}"
"539","1","EAST","ايست","review","uncertain","high","false","false","false","false","noun/adjective/adverb","unsuitable-unclassified","EAST — ايست: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","539:1","الشرق","false","{""arabic"":""ايست"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun/adjective/adverb"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"543","1","ACTIVITIES","انشطة","review","msa","medium","","","","","noun","orthography-review","ACTIVITIES — انشطة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","543:1","الأنشطة","false","{""arabic"":""انشطة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"543","2","ACTIVITIES","الانشطة","review","msa","medium","","","","","noun","orthography-review","ACTIVITIES — الانشطة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","543:2","الأنشطة","false","{""arabic"":""الانشطة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"544","2","CLUB","نادى","review","msa","medium","","","","","noun","orthography-review","CLUB — نادى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","544:2","النادي","false","{""arabic"":""نادى"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"544","4","CLUB","كلوب","review","uncertain","medium","","","","","noun","register-review","CLUB — كلوب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","544:4","النادي","false","{""arabic"":""كلوب"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}"
"546","3","GIRLS","لبنات","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","GIRLS — لبنات: لبنات denotes bricks/building blocks or contains an intrusive ل; it is not a natural translation of girls.","AI-assisted linguistic review","[]","546:3","بنات","false","{""arabic"":""لبنات"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false}"
"549","0","LATEST","الاحدث","review","msa","medium","","","","","adjective/noun","orthography-review","LATEST — الاحدث: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","549:0","آخر الأخبار","false","{""arabic"":""الاحدث"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective/noun""}"
"549","1","LATEST","آخر الأخبار","review","msa","medium","","","","","adjective/noun","construction-or-sense-review","LATEST — آخر الأخبار: آخر الأخبار means latest news, not every use of latest; retain for construction review rather than a synonym veto.","AI-assisted linguistic review","[]","549:1","آخر الأخبار","true","{""arabic"":""آخر الأخبار"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective/noun""}"
"550","1","SOMETHING","شئ","review","msa","medium","","","","","pronoun","orthography-review","SOMETHING — شئ: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","550:1","شيء ما","false","{""arabic"":""شئ"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""pronoun""}"
"550","3","SOMETHING","شي","review","msa","medium","","","","","pronoun","orthography-review","SOMETHING — شي: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","550:3","شيء ما","false","{""arabic"":""شي"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""pronoun""}"
"552","2","GIFT","هديه","review","msa","medium","","","","","noun","orthography-review","GIFT — هديه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","552:2","هدية","false","{""arabic"":""هديه"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
"558","1","PAY","الاجر","review","msa","medium","","","","","verb/noun","orthography-review","PAY — الاجر: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","558:1","الدفع","false","{""arabic"":""الاجر"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb/noun""}"
"559","0","FOUR","اربع","review","msa","medium","","","","","numeral","orthography-review","FOUR — اربع: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","559:0","أربعة","false","{""arabic"":""اربع"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""numeral""}"
"559","1","FOUR","اربعة","review","msa","medium","","","","","numeral","orthography-review","FOUR — اربعة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","559:1","أربعة","false","{""arabic"":""اربعة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""numeral""}"
"559","2","FOUR","اربعه","review","msa","medium","","","","","numeral","orthography-review","FOUR — اربعه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","559:2","أربعة","false","{""arabic"":""اربعه"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""numeral""}"
"563","0","ISSUE","المسالة","review","msa","medium","","","","","noun","orthography-review","ISSUE — المسالة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","563:0","المسألة","false","{""arabic"":""المسالة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}"
