seed,policy,family,success,ms,words,intersections,whitePct,checkedPct,averageLength,shortPct,three,long,fullLength,twoCount,two,signature
1,approved-only,current,False,953.2220419999999,0,0,,,,,0,0,0,0,[],
1,approved-only,unchecked,True,56.53691699999945,52,85,70.41420118343196,71.42857142857143,3.923076923076923,59.61538461538461,31,1,1,0,[],0011101010111/1110111011101/1010111110101/1111010101110/0011101110111/0011110011111/1111101011111/0010011101110/1110011100100/0011110111001/1111111001111/1011100111111/1111111001111
1,approved-only,symmetric-unchecked,True,48.927708000000166,55,88,70.41420118343196,73.94957983193278,3.7636363636363637,60,33,0,0,0,[],1010111100101/1110111001111/1111111011101/0111001111010/0111100111111/1010011100111/1011101011101/1110011100101/1111110011110/0101111001110/1011101111111/1111001110111/1010011110101
1,compatibility,current,True,2564.3909170000006,58,129,76.33136094674556,100,4.448275862068965,50,29,4,4,0,[],0011110011100/0011110011100/1111111111111/1111001111111/1110111100111/0011111110111/1111110011100/1111001111100/1110011101111/0011111110111/1111111111111/1111111011110/1110111001110
1,compatibility,unchecked,True,91.77279199999975,52,85,70.41420118343196,71.42857142857143,3.923076923076923,59.61538461538461,31,1,1,0,[],0011101010111/1110111011101/1010111110101/1111010101110/0011101110111/0011110011111/1111101011111/0010011101110/1110011100100/0011110111001/1111111001111/1011100111111/1111111001111
1,compatibility,symmetric-unchecked,True,91.54966700000023,55,88,70.41420118343196,73.94957983193278,3.7636363636363637,60,33,0,0,0,[],1010111100101/1110111001111/1111111011101/0111001111010/0111100111111/1010011100111/1011101011101/1110011100101/1111110011110/0101111001110/1011101111111/1111001110111/1010011110101
2,compatibility,current,True,844.059792,63,130,76.92307692307693,100,4.126984126984127,58.730158730158735,37,4,4,0,[],1110011100111/1111011110111/1111111111111/0011110011100/1110111101110/1111001110111/1111011110111/0011111011111/0011111001110/1111100111100/1111111111111/1110011110111/1110011100111
2,compatibility,unchecked,True,146.10654199999954,51,90,70.41420118343196,75.63025210084034,4.098039215686274,47.05882352941176,24,0,0,0,[],0011111011101/1001111100111/1111111110111/1111111101110/1110010111100/1111100111001/0100111011111/0101111010101/1010011100111/1010101001110/1111110111111/0011111111001/0111010111001
2,compatibility,symmetric-unchecked,True,82.19849999999951,53,94,70.41420118343196,78.99159663865547,4.018867924528302,56.60377358490566,30,2,2,0,[],1111001011100/1111011110101/1111111010111/0010111001111/1110100101110/0111110111100/1110111110111/0011110111110/0111010010111/1111001110100/1110101111111/1010111101111/0011101001111
2,approved-only,current,False,1145.8305840000003,0,0,,,,,0,0,0,0,[],
2,approved-only,unchecked,True,605.5612920000003,48,84,70.41420118343196,70.58823529411765,4.229166666666667,56.25,27,2,2,0,[],0111010100111/0101010101111/1111111111111/0101011101010/1110011100101/1110111011111/1011100111101/0011100111100/0111011101110/1010111100111/1111111111111/1010111100101/0111001110111
2,approved-only,symmetric-unchecked,True,37.8994160000002,53,94,70.41420118343196,78.99159663865547,4.018867924528302,56.60377358490566,30,2,2,0,[],1111001011100/1111011110101/1111111010111/0010111001111/1110100101110/0111110111100/1110111110111/0011110111110/0111010010111/1111001110100/1110101111111/1010111101111/0011101001111
3,approved-only,current,False,1140.004832999999,0,0,,,,,0,0,0,0,[],
3,approved-only,unchecked,True,68.8376249999983,51,89,70.41420118343196,74.78991596638656,4.078431372549019,41.17647058823529,21,0,0,0,[],1011100101111/1111100100101/1111111110111/0101111001111/1110011111110/1110010101111/1111100111101/1001011111001/0111101110010/1111001001110/1110111111111/1011110101110/0010111101010
3,approved-only,symmetric-unchecked,True,230.95299999999952,54,87,70.41420118343196,73.10924369747899,3.814814814814815,55.55555555555556,30,0,0,0,[],0111010111010/1011110101010/1011111101111/1110101011101/0111011110111/1111001111001/0011111111100/1001111001111/1110111101110/1011101010111/1111011111101/0101010111101/0101110101110
3,compatibility,current,True,1045.9837499999994,60,131,77.51479289940828,100,4.366666666666666,63.33333333333333,38,4,4,0,[],1111001110111/1111111110111/1111111111111/0011110011100/0111001111100/1111001110111/1110111110111/1110111001111/0011111001110/0011100111100/1111111111111/1110111111111/1110111001111
