"sourceId","english","arabic","field","before","after","confidence","applied","reason"
"351:0","TITLE","اللقب","allowedForEnToAr","","true","high","true","اللقب legitimately names a title/appellation; nickname and surname alternatives are not exclusion grounds."
"516:3","ACT","تصرف","allowedForEnToAr","","true","high","true","تصرف can name an act or behavior; ordinary related senses remain usable with crossings."
"173:2","SET","مجموعة","allowedForEnToAr","","true","high","true","مجموعة is a valid set/collection noun; synonyms do not invalidate it."
"285:3","CARE","الرعاية","allowedForEnToAr","","true","high","true","الرعاية expresses care; its sponsorship applications do not make this sense misleading."
"266:1","PROJECT","المشروع","allowedForEnToAr","","true","high","true","المشروع is a normal project noun, even though draft and venture can overlap."
"201:3","STORE","متجر","allowedForEnToAr","","true","high","true","متجر is a store or shop; either legitimate crossword answer is allowed."
"404:2","CREDIT","رصيد","allowedForEnToAr","","true","high","true","رصيد denotes account credit/balance; shared financial synonyms are acceptable."
"275:0","RELATED","ذات صلة","allowedForEnToAr","","true","high","true","ذات صلة is a natural related/relevant expression. Multiple answers are resolved by the puzzle."
"201:1","STORE","المخزن","allowedForEnToAr","","true","high","true","المخزن is a store in the storage-place sense; warehouse is a legitimate alternative, not a ban."
"194:2","HOTEL","فندق","allowedForEnToAr","","true","high","true","فندق is the natural hotel noun. A motel alternative does not make HOTEL misleading."
"478:1","FEEDBACK","ردود الفعل","allowedForEnToAr","","true","high","true","ردود الفعل can express feedback as responses. REACTIONS does not make that sense invalid."
"380:0","ARTICLE","مقالة","allowedForEnToAr","","true","high","true","مقالة is an article or essay; both are legitimate dictionary relationships."
"503:4","PAYMENT","دفع","allowedForEnToAr","","true","high","true","دفع is payment in the financial sense. Its pushing sense needs a sense label, not a synonym exclusion."
"242:4","FORUM","الملتقى","allowedForEnToAr","","true","high","true","الملتقى can name a forum/gathering; other meeting-place senses are legitimate polysemy."
"320:1","LOCATION","الموقع","allowedForEnToAr","","true","high","true","الموقع is a valid location/site noun; neither commonness nor answer length determines eligibility."
"155:3","LINKS","الروابط","allowedForEnToAr","","true","high","true","الروابط naturally means links/ties; retain both mappings."
"331:0","RETURN","العودة","allowedForEnToAr","","true","high","true","العودة is a normal return/comeback noun, with no misleading mismatch."
"514:4","STORES","مخازن","allowedForEnToAr","","true","high","true","مخازن is plural stores/storehouses; the storage sense is a legitimate alternative to retail stores."
"68:3","BUSINESS","الأعمال","allowedForEnToAr","","true","high","true","الأعمال naturally denotes business activities. English mass/activity nouns need not match Arabic surface number."
