# Index | A approved, R unresolved, X rejected, U wrong mapping with uncertain register | M MSA, D dialect, U uncertain | independent validation reason.
0|A|M|اللقب legitimately names a title/appellation; nickname and surname alternatives are not exclusion grounds.
1|A|M|تصرف can name an act or behavior; ordinary related senses remain usable with crossings.
2|A|M|مجموعة is a valid set/collection noun; synonyms do not invalidate it.
3|A|M|الرعاية expresses care; its sponsorship applications do not make this sense misleading.
4|A|M|المشروع is a normal project noun, even though draft and venture can overlap.
5|A|M|متجر is a store or shop; either legitimate crossword answer is allowed.
6|A|M|رصيد denotes account credit/balance; shared financial synonyms are acceptable.
7|A|M|ذات صلة is a natural related/relevant expression. Multiple answers are resolved by the puzzle.
8|A|M|المخزن is a store in the storage-place sense; warehouse is a legitimate alternative, not a ban.
9|A|M|فندق is the natural hotel noun. A motel alternative does not make HOTEL misleading.
10|A|M|ردود الفعل can express feedback as responses. REACTIONS does not make that sense invalid.
11|A|M|مقالة is an article or essay; both are legitimate dictionary relationships.
12|A|M|دفع is payment in the financial sense. Its pushing sense needs a sense label, not a synonym exclusion.
13|A|M|الملتقى can name a forum/gathering; other meeting-place senses are legitimate polysemy.
14|A|M|الموقع is a valid location/site noun; neither commonness nor answer length determines eligibility.
15|A|M|الروابط naturally means links/ties; retain both mappings.
16|A|M|العودة is a normal return/comeback noun, with no misleading mismatch.
17|A|M|مخازن is plural stores/storehouses; the storage sense is a legitimate alternative to retail stores.
18|A|M|الأعمال naturally denotes business activities. English mass/activity nouns need not match Arabic surface number.
19|A|M|فنادق means hotels. MOTELS may overlap, but synonym/type ambiguity alone is not pedagogical unsuitability.
20|A|M|الطريقة is a normal way/method expression; allow the intended sense.
21|A|M|أفضل can mean better or best depending on construction. A legitimate comparative reading remains usable.
22|A|M|الضريبة is a natural singular tax noun; levy synonyms do not undermine correctness.
23|A|M|البريد الإلكتروني is a valid electronic-mail sense of MAIL; EMAIL is also legitimate.
24|A|M|الفصل can denote a school class as well as a chapter. The school sense is valid.
25|A|M|المالية is a natural feminine definite financial adjective; the English adjective need not encode Arabic gender.
26|A|M|انظر is the normal Arabic imperative for look; an English base verb may map to a natural imperative.
27|A|M|تعلم can be a learn imperative or finite form. The learning-event meaning is preserved without exact morphology.
28|A|M|حسنا works for well/all right in a discourse or manner use; OKAY does not justify exclusion.
29|A|M|المحلية is an inflected local adjective; agreement differences do not change the property.
30|A|M|المراهق is a teen/teenager noun. These are legitimate synonyms, not competing invalid answers.
31|A|M|تيار denotes a current/stream. Retain the flow sense without requiring uniqueness.
32|A|M|أعلى can express top/highest in an attributive sense; superlative morphology is natural here.
33|A|M|الوسط is middle/center in the spatial sense; allow both equivalents.
34|A|M|تصنيف can denote a rating/classification; the classification sense is legitimate.
