"sampleIndex","sourceId","english","arabic","oldDecision","revisedDecision","reason","confidence","fieldConfidence","sources","reviewer","stratum","effectiveDecision","proposalArAllowed","proposalAgreement"
"35","417:2","ESTATE","العقارات","{""arabic"":""العقارات"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","العقارات denotes real property; ESTATE can overlap but the recorded bare sense needs clarification before approval.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""العقارات"",""status"":""review"",""register"":""msa""}","","true"
"37","354:1","ANOTHER","اخرى","{""arabic"":""اخرى"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","اخرى has a hamza omission. Standard-register intention is clear; preserve writing and keep orthography review.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""اخرى"",""status"":""review"",""register"":""msa""}","","true"
"38","76:1","ONLINE","على الانترنت","{""arabic"":""على الانترنت"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","على الانترنت is a natural online phrase with a hamza omission. Keep spelling review, not a dialect classification.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""على الانترنت"",""status"":""review"",""register"":""msa""}","","true"
"39","14:1","YOU","انتي","{""arabic"":""انتي"",""status"":""review"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false}","{""status"":""review"",""register"":""uncertain"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":false,""preferredForArToEn"":false}","انتي could be colloquial writing or a misspelling of أنتِ. Register and written form remain uncertain; do not approve or rewrite.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""انتي"",""status"":""review"",""register"":""uncertain"",""preferredForEnToAr"":false,""preferredForArToEn"":false,""allowedForEnToAr"":false,""allowedForArToEn"":false}","","true"
"40","77:0","FIRST","اول","{""arabic"":""اول"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","اول intends a standard ordinal but needs its written hamza reviewed; no automatic correction.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""اول"",""status"":""review"",""register"":""msa""}","","true"
"41","26:2","MORE","اكثر","{""arabic"":""اكثر"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","اكثر is recognizable standard comparative vocabulary with a hamza omission; retain spelling review.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""اكثر"",""status"":""review"",""register"":""msa""}","","true"
"42","321:3","CHANGE","غير","{""arabic"":""غير"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","غير has several unvowelled readings, including other and change. The intended grammatical sense needs review, not categorical rejection.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""غير"",""status"":""review"",""register"":""msa""}","","true"
"43","279:3","AMERICAN","الامريكي","{""arabic"":""الامريكي"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","الامريكي is a recognizable standard adjective with hamza omission; preserve it for orthographic review.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""الامريكي"",""status"":""review"",""register"":""msa""}","","true"
"45","154:0","EACH","لكل منها","{""arabic"":""لكل منها"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","لكل منها adds a preposition and complement to each. Such a construction may be natural in context, but bare-entry suitability is unresolved.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""لكل منها"",""status"":""review"",""register"":""msa""}","","true"
"47","21:0","AS","حسب","{""arabic"":""حسب"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","حسب can mean according to/as, but the intended relation for the broad function word needs context. Do not reject it solely for being contextual.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""حسب"",""status"":""review"",""register"":""msa""}","","true"
"48","6:0","FOR","لاجل","{""arabic"":""لاجل"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","لاجل is standard لأجل with unresolved hamza spelling. Preserve the text and the review status.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""لاجل"",""status"":""review"",""register"":""msa""}","","true"
"50","176:2","RESEARCH","ابحاث","{""arabic"":""ابحاث"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","ابحاث is a standard research noun with missing hamza; keep orthography review.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""ابحاث"",""status"":""review"",""register"":""msa""}","","true"
"51","491:0","THINGS","اشياء","{""arabic"":""اشياء"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","اشياء is a standard things plural with missing hamza; do not silently repair.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""اشياء"",""status"":""review"",""register"":""msa""}","","true"
"52","96:3","TOP","الاعلى","{""arabic"":""الاعلى"",""status"":""review"",""register"":""msa""}","{""status"":""review"",""register"":""msa"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null}","الاعلى requires orthographic verification of الأعلى. Register is standard, written approval remains pending.","medium","{""status"":""high"",""register"":""high"",""allowedForEnToAr"":""medium"",""allowedForArToEn"":""medium"",""preferredForEnToAr"":""medium"",""preferredForArToEn"":""medium""}","[]","Explicit second-pass AI-assisted judgment; frozen policy proposals were prepared first; not independent human certification","register-disagreement","{""arabic"":""الاعلى"",""status"":""review"",""register"":""msa""}","","true"
