template,slotA,slotB,positionA,positionB,lengthA,lengthB,row,col
91376b1a948f47c9,0,27,0,0,3,6,0,0
91376b1a948f47c9,2,27,0,1,4,6,1,0
91376b1a948f47c9,4,27,0,2,13,6,2,0
91376b1a948f47c9,5,27,0,3,7,6,3,0
91376b1a948f47c9,7,27,0,4,3,6,4,0
91376b1a948f47c9,10,27,0,5,5,6,5,0
91376b1a948f47c9,17,28,0,0,3,3,8,0
91376b1a948f47c9,19,28,0,1,3,3,9,0
91376b1a948f47c9,22,28,0,2,13,3,10,0
91376b1a948f47c9,0,29,1,0,3,6,0,1
91376b1a948f47c9,2,29,1,1,4,6,1,1
91376b1a948f47c9,4,29,1,2,13,6,2,1
91376b1a948f47c9,5,29,1,3,7,6,3,1
91376b1a948f47c9,7,29,1,4,3,6,4,1
91376b1a948f47c9,10,29,1,5,5,6,5,1
91376b1a948f47c9,17,30,1,0,3,3,8,1
91376b1a948f47c9,19,30,1,1,3,3,9,1
91376b1a948f47c9,22,30,1,2,13,3,10,1
91376b1a948f47c9,0,31,2,0,3,13,0,2
91376b1a948f47c9,2,31,2,1,4,13,1,2
91376b1a948f47c9,4,31,2,2,13,13,2,2
91376b1a948f47c9,5,31,2,3,7,13,3,2
91376b1a948f47c9,7,31,2,4,3,13,4,2
91376b1a948f47c9,10,31,2,5,5,13,5,2
91376b1a948f47c9,13,31,0,6,3,13,6,2
91376b1a948f47c9,15,31,0,7,4,13,7,2
91376b1a948f47c9,17,31,2,8,3,13,8,2
91376b1a948f47c9,19,31,2,9,3,13,9,2
91376b1a948f47c9,22,31,2,10,13,13,10,2
91376b1a948f47c9,23,31,0,11,3,13,11,2
91376b1a948f47c9,25,31,0,12,3,13,12,2
91376b1a948f47c9,2,32,3,0,4,3,1,3
91376b1a948f47c9,4,32,3,1,13,3,2,3
91376b1a948f47c9,5,32,3,2,7,3,3,3
91376b1a948f47c9,10,33,3,0,5,3,5,3
91376b1a948f47c9,13,33,1,1,3,3,6,3
91376b1a948f47c9,15,33,1,2,4,3,7,3
91376b1a948f47c9,22,34,3,0,13,3,10,3
91376b1a948f47c9,23,34,1,1,3,3,11,3
91376b1a948f47c9,25,34,1,2,3,3,12,3
91376b1a948f47c9,4,35,4,0,13,6,2,4
91376b1a948f47c9,5,35,4,1,7,6,3,4
91376b1a948f47c9,8,35,0,2,3,6,4,4
91376b1a948f47c9,10,35,4,3,5,6,5,4
91376b1a948f47c9,13,35,2,4,3,6,6,4
91376b1a948f47c9,15,35,2,5,4,6,7,4
91376b1a948f47c9,20,36,0,0,3,4,9,4
91376b1a948f47c9,22,36,4,1,13,4,10,4
91376b1a948f47c9,23,36,2,2,3,4,11,4
91376b1a948f47c9,25,36,2,3,3,4,12,4
91376b1a948f47c9,1,37,0,0,6,5,0,5
91376b1a948f47c9,3,37,0,1,8,5,1,5
91376b1a948f47c9,4,37,5,2,13,5,2,5
91376b1a948f47c9,5,37,5,3,7,5,3,5
91376b1a948f47c9,8,37,1,4,3,5,4,5
91376b1a948f47c9,15,38,3,0,4,4,7,5
91376b1a948f47c9,18,38,0,1,6,4,8,5
91376b1a948f47c9,20,38,1,2,3,4,9,5
91376b1a948f47c9,22,38,5,3,13,4,10,5
91376b1a948f47c9,1,39,1,0,6,6,0,6
91376b1a948f47c9,3,39,1,1,8,6,1,6
91376b1a948f47c9,4,39,6,2,13,6,2,6
91376b1a948f47c9,5,39,6,3,7,6,3,6
91376b1a948f47c9,8,39,2,4,3,6,4,6
91376b1a948f47c9,11,39,0,5,3,6,5,6
91376b1a948f47c9,18,40,1,0,6,3,8,6
91376b1a948f47c9,20,40,2,1,3,3,9,6
91376b1a948f47c9,22,40,6,2,13,3,10,6
91376b1a948f47c9,1,41,2,0,6,3,0,7
91376b1a948f47c9,3,41,2,1,8,3,1,7
91376b1a948f47c9,4,41,7,2,13,3,2,7
91376b1a948f47c9,11,42,1,0,3,4,5,7
91376b1a948f47c9,14,42,0,1,6,4,6,7
91376b1a948f47c9,16,42,0,2,6,4,7,7
91376b1a948f47c9,18,42,2,3,6,4,8,7
91376b1a948f47c9,22,43,7,0,13,3,10,7
91376b1a948f47c9,24,43,0,1,6,3,11,7
91376b1a948f47c9,26,43,0,2,6,3,12,7
91376b1a948f47c9,1,44,3,0,6,3,0,8
91376b1a948f47c9,3,44,3,1,8,3,1,8
91376b1a948f47c9,4,44,8,2,13,3,2,8
