lengthA,lengthB,crossings,interpretation
3,13,16583,All census layouts fail; frequency is not evidence of independent causality.
3,3,10171,All census layouts fail; frequency is not evidence of independent causality.
3,4,8561,All census layouts fail; frequency is not evidence of independent causality.
3,5,6489,All census layouts fail; frequency is not evidence of independent causality.
3,6,5579,All census layouts fail; frequency is not evidence of independent causality.
4,13,5455,All census layouts fail; frequency is not evidence of independent causality.
5,13,4249,All census layouts fail; frequency is not evidence of independent causality.
6,13,3285,All census layouts fail; frequency is not evidence of independent causality.
13,13,3106,All census layouts fail; frequency is not evidence of independent causality.
4,5,3088,All census layouts fail; frequency is not evidence of independent causality.
4,6,2791,All census layouts fail; frequency is not evidence of independent causality.
5,6,2634,All census layouts fail; frequency is not evidence of independent causality.
3,7,2590,All census layouts fail; frequency is not evidence of independent causality.
4,4,1800,All census layouts fail; frequency is not evidence of independent causality.
5,5,1528,All census layouts fail; frequency is not evidence of independent causality.
3,8,1422,All census layouts fail; frequency is not evidence of independent causality.
7,13,1265,All census layouts fail; frequency is not evidence of independent causality.
5,7,1206,All census layouts fail; frequency is not evidence of independent causality.
6,7,1163,All census layouts fail; frequency is not evidence of independent causality.
4,7,1094,All census layouts fail; frequency is not evidence of independent causality.
6,6,1032,All census layouts fail; frequency is not evidence of independent causality.
3,9,898,All census layouts fail; frequency is not evidence of independent causality.
6,8,683,All census layouts fail; frequency is not evidence of independent causality.
4,8,647,All census layouts fail; frequency is not evidence of independent causality.
8,13,596,All census layouts fail; frequency is not evidence of independent causality.
5,8,556,All census layouts fail; frequency is not evidence of independent causality.
3,11,417,All census layouts fail; frequency is not evidence of independent causality.
9,13,398,All census layouts fail; frequency is not evidence of independent causality.
5,9,341,All census layouts fail; frequency is not evidence of independent causality.
6,9,337,All census layouts fail; frequency is not evidence of independent causality.
7,7,253,All census layouts fail; frequency is not evidence of independent causality.
4,9,227,All census layouts fail; frequency is not evidence of independent causality.
7,8,226,All census layouts fail; frequency is not evidence of independent causality.
11,13,178,All census layouts fail; frequency is not evidence of independent causality.
7,9,173,All census layouts fail; frequency is not evidence of independent causality.
3,12,164,All census layouts fail; frequency is not evidence of independent causality.
5,11,125,All census layouts fail; frequency is not evidence of independent causality.
8,8,108,All census layouts fail; frequency is not evidence of independent causality.
6,11,106,All census layouts fail; frequency is not evidence of independent causality.
8,9,96,All census layouts fail; frequency is not evidence of independent causality.
12,13,65,All census layouts fail; frequency is not evidence of independent causality.
3,10,51,All census layouts fail; frequency is not evidence of independent causality.
4,11,50,All census layouts fail; frequency is not evidence of independent causality.
6,12,50,All census layouts fail; frequency is not evidence of independent causality.
7,11,45,All census layouts fail; frequency is not evidence of independent causality.
5,12,35,All census layouts fail; frequency is not evidence of independent causality.
9,9,28,All census layouts fail; frequency is not evidence of independent causality.
10,13,25,All census layouts fail; frequency is not evidence of independent causality.
8,11,18,All census layouts fail; frequency is not evidence of independent causality.
7,12,17,All census layouts fail; frequency is not evidence of independent causality.
6,10,16,All census layouts fail; frequency is not evidence of independent causality.
4,10,10,All census layouts fail; frequency is not evidence of independent causality.
7,10,10,All census layouts fail; frequency is not evidence of independent causality.
8,12,10,All census layouts fail; frequency is not evidence of independent causality.
9,11,10,All census layouts fail; frequency is not evidence of independent causality.
5,10,6,All census layouts fail; frequency is not evidence of independent causality.
4,12,5,All census layouts fail; frequency is not evidence of independent causality.
11,11,4,All census layouts fail; frequency is not evidence of independent causality.
9,12,2,All census layouts fail; frequency is not evidence of independent causality.
8,10,2,All census layouts fail; frequency is not evidence of independent causality.
