"headwordIndex","english","referenceArabic","beforeStatus","status","relationships","approved","review","rejected","reason"
"1","OF","من","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"2","AND","و","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"3","TO","من أجل","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"4","A","أداة تنكير","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"5","IN","في","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"6","FOR","من أجل","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"7","IS","هو كذلك","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"8","ON","على","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"9","THAT","هذا","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"10","BY","بواسطة","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"11","THIS","هذا","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"12","WITH","مع","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"13","I","أولاً","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"14","YOU","أنت.","review","approved","3","1","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"17","OR","أو","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"18","ARE","نعم.","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"19","FROM","من","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"20","AT","في","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"21","AS","حسب","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"22","YOUR","الخاص بك","review","approved","2","1","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"23","ALL","الكل","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
