policy,mode,size,length,indexedCandidates,uniqueCanonicalAnswers
"compatibility","en_to_ar","7","2","207","157"
"compatibility","en_to_ar","7","3","1909","1423"
"compatibility","en_to_ar","7","4","4246","3470"
"compatibility","en_to_ar","7","5","4451","3624"
"compatibility","en_to_ar","7","6","3184","2693"
"compatibility","en_to_ar","7","7","2373","1957"
"compatibility","en_to_ar","7","8","0","0"
"compatibility","en_to_ar","7","9","0","0"
"compatibility","en_to_ar","7","10","0","0"
"compatibility","en_to_ar","7","11","0","0"
"compatibility","en_to_ar","7","12","0","0"
"compatibility","en_to_ar","7","13","0","0"
"compatibility","en_to_ar","9","2","220","164"
"compatibility","en_to_ar","9","3","2173","1544"
"compatibility","en_to_ar","9","4","5144","3966"
"compatibility","en_to_ar","9","5","5781","4419"
"compatibility","en_to_ar","9","6","4319","3458"
"compatibility","en_to_ar","9","7","3706","2862"
"compatibility","en_to_ar","9","8","1729","1428"
"compatibility","en_to_ar","9","9","749","620"
"compatibility","en_to_ar","9","10","0","0"
"compatibility","en_to_ar","9","11","0","0"
"compatibility","en_to_ar","9","12","0","0"
"compatibility","en_to_ar","9","13","0","0"
"compatibility","en_to_ar","11","2","225","167"
"compatibility","en_to_ar","11","3","2259","1565"
"compatibility","en_to_ar","11","4","5432","4111"
"compatibility","en_to_ar","11","5","6407","4730"
"compatibility","en_to_ar","11","6","4808","3722"
"compatibility","en_to_ar","11","7","4340","3192"
"compatibility","en_to_ar","11","8","2147","1693"
"compatibility","en_to_ar","11","9","992","782"
"compatibility","en_to_ar","11","10","452","394"
"compatibility","en_to_ar","11","11","242","216"
"compatibility","en_to_ar","11","12","0","0"
"compatibility","en_to_ar","11","13","0","0"
"compatibility","en_to_ar","13","2","228","168"
"compatibility","en_to_ar","13","3","2273","1567"
"compatibility","en_to_ar","13","4","5493","4128"
"compatibility","en_to_ar","13","5","6594","4814"
"compatibility","en_to_ar","13","6","4947","3789"
"compatibility","en_to_ar","13","7","4589","3299"
"compatibility","en_to_ar","13","8","2291","1770"
"compatibility","en_to_ar","13","9","1111","849"
"compatibility","en_to_ar","13","10","490","421"
"compatibility","en_to_ar","13","11","269","237"
"compatibility","en_to_ar","13","12","175","160"
"compatibility","en_to_ar","13","13","103","96"
"compatibility","ar_to_en","7","2","47","47"
"compatibility","ar_to_en","7","3","630","630"
"compatibility","ar_to_en","7","4","1687","1687"
"compatibility","ar_to_en","7","5","2302","2302"
"compatibility","ar_to_en","7","6","2618","2618"
"compatibility","ar_to_en","7","7","2545","2545"
"compatibility","ar_to_en","7","8","0","0"
"compatibility","ar_to_en","7","9","0","0"
"compatibility","ar_to_en","7","10","0","0"
"compatibility","ar_to_en","7","11","0","0"
"compatibility","ar_to_en","7","12","0","0"
"compatibility","ar_to_en","7","13","0","0"
"compatibility","ar_to_en","9","2","47","47"
"compatibility","ar_to_en","9","3","630","630"
"compatibility","ar_to_en","9","4","1687","1687"
"compatibility","ar_to_en","9","5","2302","2302"
"compatibility","ar_to_en","9","6","2618","2618"
"compatibility","ar_to_en","9","7","2545","2545"
"compatibility","ar_to_en","9","8","2108","2108"
"compatibility","ar_to_en","9","9","1582","1582"
"compatibility","ar_to_en","9","10","0","0"
"compatibility","ar_to_en","9","11","0","0"
"compatibility","ar_to_en","9","12","0","0"
"compatibility","ar_to_en","9","13","0","0"
"compatibility","ar_to_en","11","2","47","47"
"compatibility","ar_to_en","11","3","630","630"
"compatibility","ar_to_en","11","4","1687","1687"
"compatibility","ar_to_en","11","5","2302","2302"
"compatibility","ar_to_en","11","6","2618","2618"
"compatibility","ar_to_en","11","7","2545","2545"
"compatibility","ar_to_en","11","8","2108","2108"
"compatibility","ar_to_en","11","9","1582","1582"
"compatibility","ar_to_en","11","10","1043","1043"
"compatibility","ar_to_en","11","11","678","678"
"compatibility","ar_to_en","11","12","0","0"
"compatibility","ar_to_en","11","13","0","0"
"compatibility","ar_to_en","13","2","47","47"
"compatibility","ar_to_en","13","3","630","630"
"compatibility","ar_to_en","13","4","1687","1687"
"compatibility","ar_to_en","13","5","2302","2302"
"compatibility","ar_to_en","13","6","2618","2618"
"compatibility","ar_to_en","13","7","2545","2545"
"compatibility","ar_to_en","13","8","2108","2108"
"compatibility","ar_to_en","13","9","1582","1582"
"compatibility","ar_to_en","13","10","1043","1043"
"compatibility","ar_to_en","13","11","678","678"
"compatibility","ar_to_en","13","12","363","363"
"compatibility","ar_to_en","13","13","192","192"
"approved-only","en_to_ar","7","2","47","40"
"approved-only","en_to_ar","7","3","324","277"
"approved-only","en_to_ar","7","4","617","567"
"approved-only","en_to_ar","7","5","656","596"
"approved-only","en_to_ar","7","6","475","438"
"approved-only","en_to_ar","7","7","320","296"
"approved-only","en_to_ar","7","8","0","0"
"approved-only","en_to_ar","7","9","0","0"
"approved-only","en_to_ar","7","10","0","0"
"approved-only","en_to_ar","7","11","0","0"
"approved-only","en_to_ar","7","12","0","0"
"approved-only","en_to_ar","7","13","0","0"
"approved-only","en_to_ar","9","2","50","42"
"approved-only","en_to_ar","9","3","356","300"
"approved-only","en_to_ar","9","4","709","636"
"approved-only","en_to_ar","9","5","806","712"
"approved-only","en_to_ar","9","6","596","536"
"approved-only","en_to_ar","9","7","435","390"
"approved-only","en_to_ar","9","8","167","155"
"approved-only","en_to_ar","9","9","75","73"
"approved-only","en_to_ar","9","10","0","0"
"approved-only","en_to_ar","9","11","0","0"
"approved-only","en_to_ar","9","12","0","0"
"approved-only","en_to_ar","9","13","0","0"
"approved-only","en_to_ar","11","2","50","42"
"approved-only","en_to_ar","11","3","364","305"
"approved-only","en_to_ar","11","4","727","649"
"approved-only","en_to_ar","11","5","853","749"
"approved-only","en_to_ar","11","6","624","557"
"approved-only","en_to_ar","11","7","483","431"
"approved-only","en_to_ar","11","8","178","163"
"approved-only","en_to_ar","11","9","88","83"
"approved-only","en_to_ar","11","10","22","22"
"approved-only","en_to_ar","11","11","16","16"
"approved-only","en_to_ar","11","12","0","0"
"approved-only","en_to_ar","11","13","0","0"
"approved-only","en_to_ar","13","2","50","42"
"approved-only","en_to_ar","13","3","367","306"
"approved-only","en_to_ar","13","4","731","651"
"approved-only","en_to_ar","13","5","870","764"
"approved-only","en_to_ar","13","6","631","562"
"approved-only","en_to_ar","13","7","502","445"
"approved-only","en_to_ar","13","8","180","165"
"approved-only","en_to_ar","13","9","94","88"
"approved-only","en_to_ar","13","10","24","23"
"approved-only","en_to_ar","13","11","16","16"
"approved-only","en_to_ar","13","12","13","13"
"approved-only","en_to_ar","13","13","2","2"
"approved-only","ar_to_en","7","2","15","15"
"approved-only","ar_to_en","7","3","120","120"
"approved-only","ar_to_en","7","4","269","269"
"approved-only","ar_to_en","7","5","266","266"
"approved-only","ar_to_en","7","6","239","239"
"approved-only","ar_to_en","7","7","219","219"
"approved-only","ar_to_en","7","8","0","0"
"approved-only","ar_to_en","7","9","0","0"
"approved-only","ar_to_en","7","10","0","0"
"approved-only","ar_to_en","7","11","0","0"
"approved-only","ar_to_en","7","12","0","0"
"approved-only","ar_to_en","7","13","0","0"
"approved-only","ar_to_en","9","2","15","15"
"approved-only","ar_to_en","9","3","120","120"
"approved-only","ar_to_en","9","4","269","269"
"approved-only","ar_to_en","9","5","266","266"
"approved-only","ar_to_en","9","6","239","239"
"approved-only","ar_to_en","9","7","219","219"
"approved-only","ar_to_en","9","8","167","167"
"approved-only","ar_to_en","9","9","78","78"
"approved-only","ar_to_en","9","10","0","0"
"approved-only","ar_to_en","9","11","0","0"
"approved-only","ar_to_en","9","12","0","0"
"approved-only","ar_to_en","9","13","0","0"
