"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","sense"
"6489","0","PRACTITIONERS","الممارسين","approved","msa","high","true","true","false","false","noun","valid-alternative","PRACTITIONERS — الممارسين: MSA plural for people practicing a profession; nominative and oblique case variants are both legitimate.","AI-assisted linguistic review","[]","6489:0","الممارسون","false",""
"6489","1","PRACTITIONERS","الممارسون","approved","msa","high","true","true","true","true","noun","natural-preferred","PRACTITIONERS — الممارسون: MSA plural for people practicing a profession; nominative and oblique case variants are both legitimate.","AI-assisted linguistic review","[]","6489:1","الممارسون","false",""
"6356","0","MODIFICATIONS","تعديلات","approved","msa","high","true","true","true","true","noun","natural-preferred","MODIFICATIONS — تعديلات: Natural plural meaning changes or alterations; article variants remain valid.","AI-assisted linguistic review","[]","6356:0","التعديلات","false",""
"6356","1","MODIFICATIONS","التعديلات","approved","msa","high","true","true","false","false","noun","valid-alternative","MODIFICATIONS — التعديلات: Natural plural meaning changes or alterations; article variants remain valid.","AI-assisted linguistic review","[]","6356:1","التعديلات","false",""
"4419","0","INSTITUTIONAL","مؤسسية","approved","msa","high","true","true","true","true","adjective","natural-preferred","INSTITUTIONAL — مؤسسية: Natural feminine relational adjective meaning pertaining to institutions; cross-language agreement is not exclusion evidence.","AI-assisted linguistic review","[]","4419:0","المؤسسية","false",""
"4419","1","INSTITUTIONAL","المؤسسية","approved","msa","high","true","true","false","false","adjective","valid-alternative","INSTITUTIONAL — المؤسسية: Natural feminine relational adjective meaning pertaining to institutions; cross-language agreement is not exclusion evidence.","AI-assisted linguistic review","[]","4419:1","المؤسسية","false",""
"3108","0","ATTRACTIONS","الجذب","review","msa","medium","","","","","noun","construction-or-sense-review","ATTRACTIONS — الجذب: Abstract attraction/drawing power is recognizable MSA, but the plural headword mapping is not established without context. Preserve for review, not automatic rejection.","AI-assisted linguistic review","[]","3108:0","مناطق الجذب السياحي","false",""
"3108","1","ATTRACTIONS","مناطق الجذب السياحي","approved","msa","high","true","true","true","true","noun","natural-preferred","ATTRACTIONS — مناطق الجذب السياحي: Tourist attractions are a legitimate everyday sense, but attraction as an abstract process requires separate scrutiny.","AI-assisted linguistic review","[]","3108:1","مناطق الجذب السياحي","false",""
"6997","0","NOTIFICATIONS","إخطارات","approved","msa","high","true","true","true","true","noun","natural-preferred","NOTIFICATIONS — إخطارات: Natural MSA plural for notices or notifications.","AI-assisted linguistic review","[]","6997:0","إخطارات","false",""
"9080","0","COMMISSIONERS","المفوضين","approved","msa","high","true","true","false","false","noun","valid-alternative","COMMISSIONERS — المفوضين: Natural plural for commissioners; Arabic case variants do not change the lexical meaning.","AI-assisted linguistic review","[]","9080:0","المفوضون","false",""
"9080","1","COMMISSIONERS","المفوضون","approved","msa","high","true","true","true","true","noun","natural-preferred","COMMISSIONERS — المفوضون: Natural plural for commissioners; Arabic case variants do not change the lexical meaning.","AI-assisted linguistic review","[]","9080:1","المفوضون","false",""
"6564","0","DOWNLOADING","تنزيل","approved","msa","high","true","true","true","true","noun","natural-preferred","DOWNLOADING — تنزيل: Both downloading/rendering choices occur naturally for retrieving digital content; loading ambiguity is resolved by crossword context.","AI-assisted linguistic review","[]","6564:0","تحميل","false",""
"6564","1","DOWNLOADING","تحميل","approved","msa","high","true","true","false","false","noun","valid-alternative","DOWNLOADING — تحميل: Both downloading/rendering choices occur naturally for retrieving digital content; loading ambiguity is resolved by crossword context.","AI-assisted linguistic review","[]","6564:1","تحميل","false",""
"3777","0","ORGANISATIONS","منظمات","approved","msa","high","true","true","true","true","noun","natural-preferred","ORGANISATIONS — منظمات: Natural plural for organisations; British spelling is valid and retained.","AI-assisted linguistic review","[]","3777:0","منظمات","false",""
"3777","1","ORGANISATIONS","المنظمات","approved","msa","high","true","true","false","false","noun","valid-alternative","ORGANISATIONS — المنظمات: Natural plural for organisations; British spelling is valid and retained.","AI-assisted linguistic review","[]","3777:1","منظمات","false",""
"6013","0","ASSESSMENTS","التقييمات","approved","msa","high","true","true","true","true","noun","natural-preferred","ASSESSMENTS — التقييمات: Natural plural noun for evaluations or assessments.","AI-assisted linguistic review","[]","6013:0","التقييمات","false",""
"4434","0","SOLO","سولو","review","uncertain","medium","","","","","noun","register-review","SOLO — سولو: Adjectival and adverbial uses are valid separately; Arabic gender agreement is not a reason for exclusion.","AI-assisted linguistic review","[]","4434:0","منفردا","false",""
