seed,size,mode,policy,reason,solverAttempts,timeoutChecks,viableTemplates,validationErrors,qualityErrors
"1","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"2","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","54","6","[]","[]"
"2","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","248","82","24","[]","[]"
"2","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","61","6","[]","[]"
"2","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"3","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","265","63","24","[]","[]"
"3","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","34","6","[]","[]"
"3","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"4","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"5","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","15","6","[]","[]"
"5","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","111","74","24","[]","[]"
"5","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","74","6","[]","[]"
"5","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"6","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","60","6","[]","[]"
"6","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","64","6","[]","[]"
"6","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"7","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","207","58","24","[]","[]"
"7","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","461","2","24","[]","[]"
"8","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","67","6","[]","[]"
"8","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","461","2","24","[]","[]"
"8","13","ar_to_en","compatibility","solver_deadline_observed_root_cause_unestablished","24","142","24","[]","[]"
"9","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","38","6","[]","[]"
"9","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","111","72","24","[]","[]"
"9","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","42","6","[]","[]"
"9","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"10","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","131","72","24","[]","[]"
"10","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"11","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","54","6","[]","[]"
"11","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","92","90","24","[]","[]"
"11","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","63","6","[]","[]"
"11","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"12","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","54","6","[]","[]"
"12","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"13","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","35","6","[]","[]"
"13","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","92","77","24","[]","[]"
"13","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"14","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","43","6","[]","[]"
"14","11","en_to_ar","compatibility","solver_deadline_observed_root_cause_unestablished","2","71","6","[]","[]"
"14","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","37","6","[]","[]"
"14","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"15","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"16","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","67","6","[]","[]"
"16","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"17","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","130","77","24","[]","[]"
"17","13","en_to_ar","compatibility","solver_deadline_observed_root_cause_unestablished","2","8","6","[]","[]"
"17","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","62","6","[]","[]"
"17","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"18","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","49","6","[]","[]"
"18","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"19","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","169","79","24","[]","[]"
"19","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"20","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","33","6","[]","[]"
"20","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","169","83","24","[]","[]"
"20","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","28","6","[]","[]"
"20","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"21","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","45","6","[]","[]"
"21","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","149","100","24","[]","[]"
"21","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"22","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","130","78","24","[]","[]"
"22","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","65","6","[]","[]"
"22","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"23","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","189","73","24","[]","[]"
"23","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"24","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","29","6","[]","[]"
"24","13","en_to_ar","compatibility","solver_deadline_observed_root_cause_unestablished","2","56","6","[]","[]"
"24","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"25","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"26","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","40","6","[]","[]"
"26","11","en_to_ar","compatibility","solver_deadline_observed_root_cause_unestablished","2","63","6","[]","[]"
"26","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","92","76","24","[]","[]"
"26","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"27","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","129","86","24","[]","[]"
"27","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"28","7","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","127","24","[]","[]"
"28","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","42","6","[]","[]"
"28","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","92","88","24","[]","[]"
"28","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","64","6","[]","[]"
"28","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"29","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","149","81","24","[]","[]"
"29","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
"30","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","111","88","24","[]","[]"
"30","13","ar_to_en","approved-only","bounded_search_no_solution_reason_unestablished","480","0","24","[]","[]"
