"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","preferredForEnToAr","preferredForArToEn","directionReason","partOfSpeech","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason","sense"
"1","0","OF","من","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of OF. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to FROM, THAN, WHO, WHOM. Does not restrict EN → AR.","preposition","stage3a:h1:t0","review","uncertain","من","من","من","من","false","",""
"2","0","AND","وال","review","uncertain","medium","needs-linguistic-confirmation","AND → وال: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h2:t0","review","uncertain","وال","وال","وال","و","false","",""
"2","1","AND","و","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of AND. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to HELLO. Does not restrict EN → AR.","conjunction","stage3a:h2:t1","review","uncertain","و","و","و","و","false","",""
"3","0","TO","من أجل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of TO. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to FOR. Does not restrict EN → AR.","preposition","stage3a:h3:t0","review","uncertain","من أجل","منأجل","منأجل","من أجل","false","",""
"4","0","A","أداة تنكير","review","msa","medium","needs-linguistic-confirmation","A → أداة تنكير: Arabic has no direct indefinite article; this is a grammatical explanation rather than a standalone equivalent.","AI-assisted linguistic review","","false","","","","","stage3a:h4:t0","review","uncertain","أداة تنكير","أداةتنكير","أداةتنكير","أداة تنكير","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"5","0","IN","في","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of IN. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to AT. Does not restrict EN → AR.","preposition","stage3a:h5:t0","review","uncertain","في","في","في","في","false","",""
"6","0","FOR","لاجل","review","uncertain","medium","needs-linguistic-confirmation","FOR → لاجل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h6:t0","review","uncertain","لاجل","لاجل","لاجل","من أجل","false","",""
"6","1","FOR","من أجل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of FOR. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to TO. Does not restrict EN → AR.","preposition","stage3a:h6:t1","review","msa","من أجل","منأجل","منأجل","من أجل","false","",""
"7","0","IS","هو كذلك","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds a subject and “so”; a whole response is not the isolated copula.","AI-assisted linguistic review","","false","false","false","","","stage3a:h7:t0","review","uncertain","هو كذلك","هوكذلك","هوكذلك","هو كذلك","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"8","0","ON","على","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ON. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to ONTO. Does not restrict EN → AR.","preposition","stage3a:h8:t0","review","uncertain","على","على","على","على","false","",""
