"sampleStratum","baselineStatus","baselineRegister","baselinePos","baselineSense","baselineEnPreference","baselineArPreference","baselineReverseReason","referenceConflict","sampleIndex","headwordIndex","translationIndex","english","arabic","headwordSuitability","semanticAssessment","naturalDisplayAssessment","qaStatus","qaRegister","statusAgreement","registerAgreement","posAgreement","senseAgreement","enPreferenceAgreement","arPreferenceAgreement","reverseClassification","reverseRestrictionAgreement","reason","reviewer","sources","changes"
"approved","approved","msa","noun","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to RESEARCH, SEARCHED, SEARCHING, SEEKING. Does not restrict EN → AR.","false","0","39","2","SEARCH","بحث","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","probably justified","true","بحث names a search or investigation; ordinary noun, but RESEARCH is a real competing sense.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","auxiliary verb","","true","","","false","1","123","0","SHOULD","ينبغي","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","","","ينبغي expresses recommendation or obligation; a sound should equivalent, not a promise or future marker.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to PRICED. Does not restrict EN → AR.","false","2","93","4","PRICE","السعر","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","clearly too restrictive","false","السعر is the ordinary definite price noun; PRICED is not a synonymous noun.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""high"",""reason"":""السعر is the ordinary definite price noun; PRICED is not a synonymous noun."",""applied"":true}]"
"approved","approved","msa","noun","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to MOTEL. Does not restrict EN → AR.","false","3","194","2","HOTEL","فندق","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","probably too restrictive","false","فندق is a hotel. A motel is a narrower hotel type; its existence alone should not disqualify the dominant translation.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""فندق is a hotel. A motel is a narrower hotel type; its existence alone should not disqualify the dominant translation."",""applied"":false}]"
"approved","approved","msa","noun","school class","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CHAPTER. Does not restrict EN → AR.","false","4","358","1","CLASS","الفصل","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","true","","","probably too restrictive","false","الفصل can denote a school class or a chapter; both senses are real, but the English answer lengths differ.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""الفصل can denote a school class or a chapter; both senses are real, but the English answer lengths differ."",""applied"":false}]"
"approved","approved","msa","noun","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DISPLAY, DISPLAYED, DISPLAYING, OFFER, OFFERING, PRESENTATION, PRESENTED, SHOWCASE, SHOWING, SUPPLY, VIEW, WIDTH. Does not restrict EN → AR.","false","5","247","1","SHOW","عرض","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","clearly justified","true","عرض is a show/presentation noun. Bare Arabic also permits OFFER or DISPLAY and needs reverse caution.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","middle","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CENTRAL, MIDDLE. Does not restrict EN → AR.","false","6","198","3","CENTER","الوسط","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","true","","","probably too restrictive","false","الوسط can mean the middle or center; this is a valid locational sense rather than a central adjective.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""الوسط can mean the middle or center; this is a valid locational sense rather than a central adjective."",""applied"":false}]"
"approved","approved","msa","quantifier","","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to LOT, LOTS, MANY, PLENTY. Does not restrict EN → AR.","false","7","257","1","MUCH","الكثير","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","true","","clearly justified","true","الكثير expresses a large quantity. MUCH and MANY are equally short plausible English answers without countability context.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","adjective / quantifier","small amount","true","","","false","8","367","1","LITTLE","قليل","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","true","true","","","","قليل expresses a small amount, the quantifier sense of little rather than small physical size.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","","","","false","9","427","1","NOTE","ملحوظة","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","","","ملحوظة is a normal MSA note/observation; the spelling is a valid alternative to ملاحظة.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
"approved","approved","msa","noun","","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to LEVY, TAXATION. Does not restrict EN → AR.","false","10","495","3","TAX","الضريبة","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","","","","probably too restrictive","false","الضريبة is singular tax; no plural or tax-related adjective has been introduced.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""الضريبة is singular tax; no plural or tax-related adjective has been introduced."",""applied"":false}]"
"approved","approved","msa","noun","collection","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to BUNCH, CLUSTER, COLLECTION, GROUP. Does not restrict EN → AR.","false","11","173","2","SET","مجموعة","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","true","true","","probably too restrictive","false","مجموعة is a collection or set; the collection sense is coherent even though not uniquely reverse-translatable.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[{""field"":""preferredForArToEn"",""before"":false,""after"":null,""category"":""preferred-direction issue"",""confidence"":""medium"",""reason"":""مجموعة is a collection or set; the collection sense is coherent even though not uniquely reverse-translatable."",""applied"":false}]"
"approved","approved","msa","noun","formal request","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DEMAND, ORDER, ORDERING, REQUEST, REQUESTED, REQUESTING. Does not restrict EN → AR.","false","12","473","0","APPLICATION","الطلب","suitable general vocabulary","correct in the identified sense","standard Arabic expression","approved","msa","true","true","true","true","","","probably justified","true","الطلب can mean a formal application/request; generic demand/order readings make reverse use context-sensitive.","Fresh AI-assisted QA pass by the same assistant; not independent human or blinded certification","[]","[]"
